eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,423,Switzerland,0,FirstHalf,Start,Successful,0,0,,
2,,,346,Argentina,0,FirstHalf,Start,Successful,0,0,,
3,89401,Granit Xhaka,423,Switzerland,0,FirstHalf,Pass,Successful,50,50,31.5,53.3
4,297390,Manuel Akanji,423,Switzerland,0,FirstHalf,Pass,Successful,36,54.9,53.5,2.6
5,252419,Denis Zakaria,423,Switzerland,0,FirstHalf,Pass,Successful,53.4,3.7,36.5,15.9
6,243534,Nico Elvedi,423,Switzerland,0,FirstHalf,Pass,Successful,36.9,18.5,33.7,45.1
7,297390,Manuel Akanji,423,Switzerland,0,FirstHalf,Pass,Successful,33.5,48.4,38,39.5
8,302691,Remo Freuler,423,Switzerland,0,FirstHalf,Pass,Successful,38,39.5,31.4,50.1
9,297390,Manuel Akanji,423,Switzerland,0,FirstHalf,Pass,Successful,32.8,47.6,40.1,75.7
10,89401,Granit Xhaka,423,Switzerland,0,FirstHalf,Pass,Successful,42,77,96.6,75.3
11,398414,Dan Ndoye,423,Switzerland,0,FirstHalf,Pass,Unsuccessful,97.7,74.8,87.6,32.7
12,317630,Djibril Sow,423,Switzerland,0,FirstHalf,Aerial,Successful,87.6,32.7,,
3,83809,Nicolás Tagliafico,346,Argentina,0,FirstHalf,Aerial,Unsuccessful,12.4,67.3,,
16,317630,Djibril Sow,423,Switzerland,0,FirstHalf,BallTouch,Successful,86.2,27.4,,
13,252419,Denis Zakaria,423,Switzerland,0,FirstHalf,SavedShot,Successful,85.7,26.8,,
5,83809,Nicolás Tagliafico,346,Argentina,0,FirstHalf,Save,Successful,12,69.1,,
14,252419,Denis Zakaria,423,Switzerland,0,FirstHalf,BallTouch,Successful,85.6,24.1,,
6,345319,Alexis Mac Allister,346,Argentina,0,FirstHalf,BallRecovery,Successful,4.5,92.8,,
7,345319,Alexis Mac Allister,346,Argentina,0,FirstHalf,Foul,Successful,6.8,94.9,,
15,252419,Denis Zakaria,423,Switzerland,0,FirstHalf,Foul,Unsuccessful,93.2,5.1,,
8,102248,Emiliano Martínez,346,Argentina,1,FirstHalf,Pass,Unsuccessful,13.2,85.9,66.5,89.1
17,252419,Denis Zakaria,423,Switzerland,1,FirstHalf,Clearance,Successful,35.7,10.6,45.6,17.3
9,93700,Leandro Paredes,346,Argentina,1,FirstHalf,Aerial,Successful,54.4,82.7,,
18,404193,Fabian Rieder,423,Switzerland,1,FirstHalf,Aerial,Unsuccessful,45.6,17.3,,
10,93700,Leandro Paredes,346,Argentina,1,FirstHalf,Pass,Unsuccessful,54.4,82.7,58,84.1
19,404193,Fabian Rieder,423,Switzerland,1,FirstHalf,BallTouch,Successful,45.6,17.3,,
20,317630,Djibril Sow,423,Switzerland,1,FirstHalf,Pass,Unsuccessful,44.6,10.6,70.8,11.7
11,323663,Cristian Romero,346,Argentina,1,FirstHalf,Clearance,Successful,31,81.6,25.2,100
22,252419,Denis Zakaria,423,Switzerland,1,FirstHalf,Pass,Successful,73.1,0,41.9,11.4
23,243534,Nico Elvedi,423,Switzerland,1,FirstHalf,Pass,Successful,41.3,13.5,37.2,38.5
24,297390,Manuel Akanji,423,Switzerland,1,FirstHalf,Pass,Successful,37,40.4,34.3,81.2
25,61610,Ricardo Rodríguez,423,Switzerland,1,FirstHalf,Pass,Successful,34.3,81.2,52.7,93
26,398414,Dan Ndoye,423,Switzerland,1,FirstHalf,Pass,Successful,52.6,93,42.6,82.4
27,404193,Fabian Rieder,423,Switzerland,1,FirstHalf,Pass,Successful,42.4,80.8,31.3,94.2
28,61610,Ricardo Rodríguez,423,Switzerland,1,FirstHalf,Pass,Successful,25.5,94.8,5.2,73.9
29,336028,Gregor Kobel,423,Switzerland,1,FirstHalf,Pass,Unsuccessful,6.9,82.1,74.5,76.6
13,323663,Cristian Romero,346,Argentina,2,FirstHalf,BallRecovery,Successful,24.5,20.2,,
14,323663,Cristian Romero,346,Argentina,2,FirstHalf,Pass,Successful,22.3,26.2,8.3,47.2
15,102248,Emiliano Martínez,346,Argentina,2,FirstHalf,Pass,Unsuccessful,18.6,53.1,90.1,18.3
44,336028,Gregor Kobel,423,Switzerland,2,FirstHalf,KeeperSweeper,Successful,13.3,72.9,,
30,336028,Gregor Kobel,423,Switzerland,2,FirstHalf,BallRecovery,Successful,12.6,80.6,,
31,336028,Gregor Kobel,423,Switzerland,2,FirstHalf,Pass,Successful,12.6,80.6,21.9,92.4
32,61610,Ricardo Rodríguez,423,Switzerland,2,FirstHalf,Foul,Successful,26.9,96.6,,
16,365409,Julián Alvarez,346,Argentina,2,FirstHalf,Foul,Unsuccessful,73,3.4,,
33,61610,Ricardo Rodríguez,423,Switzerland,2,FirstHalf,Pass,Successful,29.9,96.2,23.6,80.8
34,297390,Manuel Akanji,423,Switzerland,2,FirstHalf,Pass,Successful,23.6,80.2,27.7,28.8
35,243534,Nico Elvedi,423,Switzerland,2,FirstHalf,Pass,Unsuccessful,40,21.6,56.6,66.3
17,125547,Rodrigo De Paul,346,Argentina,2,FirstHalf,Pass,Unsuccessful,42.8,31.5,55.7,18.4
36,61610,Ricardo Rodríguez,423,Switzerland,2,FirstHalf,Pass,Successful,54.5,75.1,61.9,93
18,303728,Nahuel Molina,346,Argentina,2,FirstHalf,Challenge,Unsuccessful,34.2,5.8,,
37,398414,Dan Ndoye,423,Switzerland,2,FirstHalf,TakeOn,Successful,65.8,94.2,,
38,398414,Dan Ndoye,423,Switzerland,2,FirstHalf,Pass,Unsuccessful,97,87.2,96.8,85.4
19,303728,Nahuel Molina,346,Argentina,2,FirstHalf,Clearance,Successful,3.2,14.6,,
39,398414,Dan Ndoye,423,Switzerland,2,FirstHalf,BallTouch,Successful,96.8,86,,
21,323663,Cristian Romero,346,Argentina,3,FirstHalf,Pass,Successful,4.7,39.7,3.8,49.5
22,102248,Emiliano Martínez,346,Argentina,3,FirstHalf,Pass,Unsuccessful,12.9,46.6,65.4,48.7
41,243534,Nico Elvedi,423,Switzerland,3,FirstHalf,Clearance,Successful,29.7,39.1,38.8,37.6
