eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,328,Australia,0,FirstHalf,Start,Successful,0,0,,
2,,,333,Turkiye,0,FirstHalf,Start,Successful,0,0,,
3,481083,Mohamed Touré,328,Australia,0,FirstHalf,Pass,Successful,49.8,50.3,31.7,49.8
4,344380,Harry Souttar,328,Australia,0,FirstHalf,Pass,Unsuccessful,31.4,46.6,74.7,23.5
3,108073,Abdülkerim Bardakci,333,Turkiye,0,FirstHalf,Aerial,Successful,25.3,76.5,,
5,442302,Connor Metcalfe,328,Australia,0,FirstHalf,Aerial,Unsuccessful,74.7,23.5,,
4,108073,Abdülkerim Bardakci,333,Turkiye,0,FirstHalf,Clearance,Successful,25.3,76.5,36.4,78.3
6,323097,Aiden O'Neill,328,Australia,0,FirstHalf,Pass,Successful,70.4,12.7,77.5,16
7,442302,Connor Metcalfe,328,Australia,0,FirstHalf,BallTouch,Successful,79.8,17,,
8,445546,Jacob Italiano,328,Australia,0,FirstHalf,BallTouch,Unsuccessful,82.1,19.2,,
5,321958,Ferdi Kadioglu,333,Turkiye,0,FirstHalf,BallRecovery,Successful,8.8,91.7,,
6,321958,Ferdi Kadioglu,333,Turkiye,0,FirstHalf,Pass,Unsuccessful,6.3,96.4,8.4,96.5
9,445546,Jacob Italiano,328,Australia,0,FirstHalf,BlockedPass,Successful,91.6,3.5,,
8,321958,Ferdi Kadioglu,333,Turkiye,0,FirstHalf,Pass,Successful,12.4,100,7.5,84.7
9,108073,Abdülkerim Bardakci,333,Turkiye,0,FirstHalf,Pass,Successful,9.7,92.6,33.1,78.3
1133,355870,Orkun Kökçü,333,Turkiye,0,FirstHalf,TakeOn,Unsuccessful,29.1,79.9,,
10,355870,Orkun Kökçü,333,Turkiye,0,FirstHalf,Foul,Successful,35.2,76.6,,
11,323097,Aiden O'Neill,328,Australia,0,FirstHalf,Foul,Unsuccessful,64.8,23.4,,
11,110373,Hakan Çalhanoglu,333,Turkiye,0,FirstHalf,Pass,Successful,31.5,70.6,35.9,65.6
12,415181,Arda Güler,333,Turkiye,0,FirstHalf,Pass,Successful,35.8,65.6,32.7,70.6
13,110373,Hakan Çalhanoglu,333,Turkiye,0,FirstHalf,Pass,Successful,37.3,61.8,33.5,40.6
14,362555,Merih Demiral,333,Turkiye,0,FirstHalf,Pass,Successful,33,43.9,33.1,62.7
15,108073,Abdülkerim Bardakci,333,Turkiye,0,FirstHalf,Pass,Successful,38.6,70.2,45.1,66.2
16,110373,Hakan Çalhanoglu,333,Turkiye,0,FirstHalf,Pass,Successful,45,66.4,36.4,69.4
17,108073,Abdülkerim Bardakci,333,Turkiye,0,FirstHalf,Pass,Successful,40.3,71.7,43.8,65.6
18,110373,Hakan Çalhanoglu,333,Turkiye,0,FirstHalf,Pass,Successful,44.8,66.4,36,44.7
19,362555,Merih Demiral,333,Turkiye,0,FirstHalf,Pass,Successful,37.8,38.5,39.4,30.9
20,409291,Ismail Yüksek,333,Turkiye,1,FirstHalf,Pass,Successful,45.1,32.1,31.4,46.1
21,362555,Merih Demiral,333,Turkiye,1,FirstHalf,Pass,Successful,32.4,46.5,32.5,62.3
22,108073,Abdülkerim Bardakci,333,Turkiye,1,FirstHalf,Pass,Successful,32.1,62.6,13.4,55.9
23,258840,Ugurcan Çakir,333,Turkiye,1,FirstHalf,Pass,Successful,13.6,55.9,15.8,84.3
24,108073,Abdülkerim Bardakci,333,Turkiye,1,FirstHalf,Pass,Successful,17,86.1,41.1,95.2
25,421779,Baris Alper Yilmaz,333,Turkiye,1,FirstHalf,Pass,Unsuccessful,41.1,94.7,32.7,88.1
12,442302,Connor Metcalfe,328,Australia,1,FirstHalf,BallRecovery,Successful,70.1,13.4,,
26,110373,Hakan Çalhanoglu,333,Turkiye,1,FirstHalf,Challenge,Unsuccessful,20.4,94.6,,
13,442302,Connor Metcalfe,328,Australia,1,FirstHalf,TakeOn,Successful,79.6,5.4,,
