eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,409,Brazil,0,FirstHalf,Start,Successful,0,0,,
2,,,2693,Haiti,0,FirstHalf,Start,Successful,0,0,,
3,319756,Lucas Paquetá,409,Brazil,0,FirstHalf,Pass,Successful,50.2,49.9,28.7,49
4,114147,Alisson Becker,409,Brazil,0,FirstHalf,Pass,Successful,35.2,42.3,80.7,26.7
5,88300,Danilo,409,Brazil,0,FirstHalf,Pass,Unsuccessful,80.7,26.7,80.8,62.5
3,313385,Carlens Arcus,2693,Haiti,0,FirstHalf,Clearance,Successful,19.4,38.5,34,55.1
6,334087,Gabriel Magalhães,409,Brazil,0,FirstHalf,Pass,Successful,62,48,71.9,42.1
7,362758,Matheus Cunha,409,Brazil,0,FirstHalf,Aerial,Successful,71.9,42.1,,
4,367189,Hannes Delcroix,2693,Haiti,0,FirstHalf,Aerial,Unsuccessful,28.1,57.9,,
8,362758,Matheus Cunha,409,Brazil,0,FirstHalf,BallTouch,Unsuccessful,71.9,42,,
5,431360,Danley Jean Jacques,2693,Haiti,0,FirstHalf,BallRecovery,Successful,32,55.5,,
6,431360,Danley Jean Jacques,2693,Haiti,0,FirstHalf,Pass,Successful,32,55.8,38.8,41.5
7,486042,Josué Casimir,2693,Haiti,0,FirstHalf,Pass,Successful,38.8,41.5,28.1,38.2
8,374992,Jean-Kévin Duverne,2693,Haiti,0,FirstHalf,Pass,Unsuccessful,23.5,28.6,76.9,0
10,115097,Douglas Santos,409,Brazil,0,FirstHalf,Pass,Successful,30.5,100,16.5,87
11,334087,Gabriel Magalhães,409,Brazil,0,FirstHalf,Pass,Successful,21.9,75.3,34,70.3
12,88526,Casemiro,409,Brazil,0,FirstHalf,Pass,Successful,36.2,64.8,36.5,36.3
13,101949,Marquinhos,409,Brazil,0,FirstHalf,Pass,Successful,36.5,36.3,37.7,57.4
14,88526,Casemiro,409,Brazil,0,FirstHalf,Pass,Successful,38.1,57.6,48.6,93
15,115097,Douglas Santos,409,Brazil,0,FirstHalf,Pass,Successful,51.6,94.9,59.7,96.9
16,337782,Vinícius Júnior,409,Brazil,0,FirstHalf,Pass,Successful,45.1,74.1,42.2,27.6
17,88300,Danilo,409,Brazil,0,FirstHalf,Pass,Successful,42.2,27.6,39.2,39.9
18,101949,Marquinhos,409,Brazil,1,FirstHalf,Pass,Successful,39.1,38.2,57.1,4.8
19,300447,Raphinha,409,Brazil,1,FirstHalf,Pass,Successful,57.1,4.8,58.5,26.5
20,338780,Bruno Guimarães,409,Brazil,1,FirstHalf,Dispossessed,Successful,63.6,26.2,,
12,367189,Hannes Delcroix,2693,Haiti,1,FirstHalf,Tackle,Unsuccessful,36.4,73.8,,
21,338780,Bruno Guimarães,409,Brazil,1,FirstHalf,Pass,Successful,58.8,24.8,62.3,26
22,362758,Matheus Cunha,409,Brazil,1,FirstHalf,Pass,Successful,64.4,27,74.8,27
23,300447,Raphinha,409,Brazil,1,FirstHalf,TakeOn,Unsuccessful,77.6,26.8,,
13,145264,Ricardo Adé,2693,Haiti,1,FirstHalf,Tackle,Successful,22.4,73.2,,
37,300447,Raphinha,409,Brazil,1,FirstHalf,BallTouch,Unsuccessful,73.8,28.8,,
14,431360,Danley Jean Jacques,2693,Haiti,1,FirstHalf,BallTouch,Successful,18.7,72.7,,
24,362758,Matheus Cunha,409,Brazil,1,FirstHalf,Pass,Unsuccessful,75.1,37.2,80.2,49.9
15,313385,Carlens Arcus,2693,Haiti,1,FirstHalf,Pass,Successful,21.9,44,23.6,55.8
16,555256,Martin Expérience,2693,Haiti,1,FirstHalf,Foul,Successful,26.7,54.6,,
25,338780,Bruno Guimarães,409,Brazil,1,FirstHalf,Foul,Unsuccessful,73.4,45.4,,
17,367189,Hannes Delcroix,2693,Haiti,1,FirstHalf,Pass,Successful,29.3,62.5,34,57.2
18,320242,Jean-Ricner Bellegarde,2693,Haiti,1,FirstHalf,Pass,Successful,34,57.2,31.1,67
19,367189,Hannes Delcroix,2693,Haiti,1,FirstHalf,Pass,Successful,31.1,67,24.7,54.6
20,34069,Johny Placide,2693,Haiti,1,FirstHalf,Pass,Successful,27.4,48.9,28.2,30.2
21,145264,Ricardo Adé,2693,Haiti,1,FirstHalf,Pass,Successful,28.1,28.4,36.3,8.9
22,374992,Jean-Kévin Duverne,2693,Haiti,2,FirstHalf,Pass,Unsuccessful,36.5,8.1,100,10.4
26,334087,Gabriel Magalhães,409,Brazil,2,FirstHalf,ShieldBallOpp,Successful,6.7,82.9,,
28,114147,Alisson Becker,409,Brazil,2,FirstHalf,Pass,Successful,4.4,53.8,8.3,34
29,101949,Marquinhos,409,Brazil,2,FirstHalf,Pass,Successful,29.7,33.4,32.5,22.8
30,338780,Bruno Guimarães,409,Brazil,2,FirstHalf,Pass,Successful,32.4,22.8,42.7,5.1
31,88300,Danilo,409,Brazil,2,FirstHalf,Pass,Successful,42.7,5.1,34.1,25.6
32,338780,Bruno Guimarães,409,Brazil,2,FirstHalf,Pass,Successful,34.1,25.6,30.4,44.1
33,101949,Marquinhos,409,Brazil,2,FirstHalf,Pass,Successful,31.2,45.6,37,91.2
34,319756,Lucas Paquetá,409,Brazil,2,FirstHalf,Pass,Successful,37.4,90.7,54,92.1
26,374992,Jean-Kévin Duverne,2693,Haiti,2,FirstHalf,Challenge,Unsuccessful,38.4,8.6,,
41,337782,Vinícius Júnior,409,Brazil,2,FirstHalf,TakeOn,Successful,61.6,91.4,,
35,337782,Vinícius Júnior,409,Brazil,2,FirstHalf,TakeOn,Unsuccessful,55.2,92.5,,
24,431360,Danley Jean Jacques,2693,Haiti,2,FirstHalf,Tackle,Successful,44.8,7.5,,
11042,362758,Matheus Cunha,409,Brazil,3,FirstHalf,OffsideGiven,Unsuccessful,75.2,70.5,,
38,115097,Douglas Santos,409,Brazil,3,FirstHalf,Pass,Successful,53.4,100,40.7,87.1
70,334087,Gabriel Magalhães,409,Brazil,3,FirstHalf,Pass,Successful,34.5,86.1,42.1,90.2
39,319756,Lucas Paquetá,409,Brazil,3,FirstHalf,Pass,Successful,44.9,80.5,57.4,92.1
40,115097,Douglas Santos,409,Brazil,3,FirstHalf,Foul,Successful,59.2,92.4,,
27,313385,Carlens Arcus,2693,Haiti,3,FirstHalf,Foul,Unsuccessful,40.7,7.6,,
28,313385,Carlens Arcus,2693,Haiti,3,FirstHalf,Card,Successful,0,0,,
42,319756,Lucas Paquetá,409,Brazil,3,FirstHalf,OffsidePass,Successful,57,91,75.2,70.5
29,145264,Ricardo Adé,2693,Haiti,3,FirstHalf,OffsideProvoked,Successful,26.1,27.5,,
30,34069,Johny Placide,2693,Haiti,4,FirstHalf,Pass,Successful,21.3,34.6,25.8,27.9
31,145264,Ricardo Adé,2693,Haiti,4,FirstHalf,Pass,Successful,33.7,37.2,34.5,68.3
32,367189,Hannes Delcroix,2693,Haiti,4,FirstHalf,Pass,Successful,34.5,68.3,15.4,52.2
33,34069,Johny Placide,2693,Haiti,4,FirstHalf,Pass,Unsuccessful,14.8,57.6,56.3,73.5
43,101949,Marquinhos,409,Brazil,4,FirstHalf,Aerial,Successful,43.7,26.5,,
34,443795,Frantzdy Pierrot,2693,Haiti,4,FirstHalf,Aerial,Unsuccessful,56.3,73.5,,
44,101949,Marquinhos,409,Brazil,4,FirstHalf,Pass,Unsuccessful,43.7,26.5,44,26.1
35,443795,Frantzdy Pierrot,2693,Haiti,4,FirstHalf,BallTouch,Successful,56.3,73.5,,
45,338780,Bruno Guimarães,409,Brazil,4,FirstHalf,Pass,Successful,52.1,28.9,40.7,34.2
46,88526,Casemiro,409,Brazil,4,FirstHalf,BallRecovery,Successful,40.1,37.9,,
47,88526,Casemiro,409,Brazil,4,FirstHalf,Pass,Successful,40.1,37.9,38.4,67.3
48,334087,Gabriel Magalhães,409,Brazil,4,FirstHalf,Pass,Successful,38.4,67.3,43.3,50.2
49,88526,Casemiro,409,Brazil,4,FirstHalf,Pass,Unsuccessful,44.4,52.2,100,22.3
37,34069,Johny Placide,2693,Haiti,5,FirstHalf,CornerAwarded,Unsuccessful,2.4,65.8,,
51,,,409,Brazil,5,FirstHalf,CornerAwarded,Successful,97.6,34.3,,
52,300447,Raphinha,409,Brazil,5,FirstHalf,Pass,Unsuccessful,99.5,0.5,94.4,43.5
38,443795,Frantzdy Pierrot,2693,Haiti,5,FirstHalf,Clearance,Successful,3.4,58.7,24.6,85.4
54,300447,Raphinha,409,Brazil,5,FirstHalf,Pass,Successful,71.7,16.3,61.9,28.3
55,362758,Matheus Cunha,409,Brazil,5,FirstHalf,Pass,Successful,58.7,28.6,53.4,34.2
56,319756,Lucas Paquetá,409,Brazil,5,FirstHalf,Pass,Successful,53.1,36.6,57.1,31.9
57,362758,Matheus Cunha,409,Brazil,5,FirstHalf,Pass,Successful,58.8,33.4,42.7,43.5
58,319756,Lucas Paquetá,409,Brazil,5,FirstHalf,Pass,Successful,45.2,46,48.2,88.9
59,115097,Douglas Santos,409,Brazil,5,FirstHalf,Pass,Successful,47.7,88.6,36.8,59.4
60,319756,Lucas Paquetá,409,Brazil,5,FirstHalf,Pass,Successful,37.4,56.8,41.2,28.2
61,88300,Danilo,409,Brazil,5,FirstHalf,Pass,Successful,39.9,29.5,36.8,41.2
62,101949,Marquinhos,409,Brazil,5,FirstHalf,Pass,Successful,38.1,42.4,43.7,67.9
63,319756,Lucas Paquetá,409,Brazil,5,FirstHalf,Pass,Successful,44.7,67.3,56.4,96
64,115097,Douglas Santos,409,Brazil,6,FirstHalf,Pass,Successful,55.5,94.8,40.8,79
65,334087,Gabriel Magalhães,409,Brazil,6,FirstHalf,Pass,Successful,41,78.1,40.8,45
66,101949,Marquinhos,409,Brazil,6,FirstHalf,Pass,Successful,41.8,41.8,46.5,13
67,88300,Danilo,409,Brazil,6,FirstHalf,Pass,Successful,45.4,12.1,99,3.1
68,300447,Raphinha,409,Brazil,6,FirstHalf,BallTouch,Successful,99.1,3,,
40,555256,Martin Expérience,2693,Haiti,6,FirstHalf,Pass,Successful,4.4,100,26.2,92.1
41,404551,Ruben Providence,2693,Haiti,6,FirstHalf,Pass,Unsuccessful,26.2,92.1,25.2,92.1
71,300447,Raphinha,409,Brazil,6,FirstHalf,BlockedPass,Successful,74.8,7.9,,
72,338780,Bruno Guimarães,409,Brazil,6,FirstHalf,Pass,Unsuccessful,77.1,14.6,78.2,16.6
83,320242,Jean-Ricner Bellegarde,2693,Haiti,6,FirstHalf,BallTouch,Successful,21.4,82,,
42,145264,Ricardo Adé,2693,Haiti,6,FirstHalf,Pass,Successful,19.7,52.8,23.2,28.4
43,374992,Jean-Kévin Duverne,2693,Haiti,6,FirstHalf,Pass,Successful,31.6,22.9,53.4,18.7
44,486042,Josué Casimir,2693,Haiti,6,FirstHalf,Pass,Unsuccessful,66,24.4,92.8,38.5
73,114147,Alisson Becker,409,Brazil,6,FirstHalf,Smother,Successful,7.2,61.5,,
74,114147,Alisson Becker,409,Brazil,6,FirstHalf,KeeperPickup,Successful,10.9,64.9,,
75,114147,Alisson Becker,409,Brazil,6,FirstHalf,Pass,Successful,11.1,59.1,21,61.5
