eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,409,Brazil,0,FirstHalf,Start,Successful,0,0,,
2,,,986,Japan,0,FirstHalf,Start,Successful,0,0,,
3,319756,Lucas Paquetá,409,Brazil,0,FirstHalf,Pass,Successful,49.8,50.4,27.4,49.8
4,114147,Alisson Becker,409,Brazil,0,FirstHalf,Pass,Unsuccessful,28,48.3,73.8,37.2
3,509815,Kaishu Sano,986,Japan,0,FirstHalf,Pass,Unsuccessful,28.4,60,37.1,66.3
5,88300,Danilo,409,Brazil,0,FirstHalf,Dispossessed,Successful,65.3,37.6,,
4,377287,Daizen Maeda,986,Japan,0,FirstHalf,Tackle,Successful,34.7,62.4,,
5,370255,Junya Ito,986,Japan,0,FirstHalf,Pass,Unsuccessful,36.5,57.2,65.5,84.5
6,101949,Marquinhos,409,Brazil,0,FirstHalf,Pass,Successful,33.2,21,33.8,52.8
7,334087,Gabriel Magalhães,409,Brazil,0,FirstHalf,Pass,Successful,34.9,53.1,41.4,63.4
8,319756,Lucas Paquetá,409,Brazil,0,FirstHalf,Pass,Successful,41.6,63,36.2,35.2
9,101949,Marquinhos,409,Brazil,0,FirstHalf,Pass,Successful,37.5,35.1,60.1,3.9
10,472122,Rayan,409,Brazil,0,FirstHalf,Pass,Successful,60.1,4,42.3,19.2
11,88300,Danilo,409,Brazil,0,FirstHalf,Pass,Successful,42.3,19.2,36,51.3
12,101949,Marquinhos,409,Brazil,0,FirstHalf,Pass,Successful,35.7,53.2,28.4,74.4
13,334087,Gabriel Magalhães,409,Brazil,0,FirstHalf,Pass,Successful,28.2,74.8,36.5,95.1
14,115097,Douglas Santos,409,Brazil,0,FirstHalf,Pass,Successful,35.7,94.5,14.9,92.8
15,334087,Gabriel Magalhães,409,Brazil,0,FirstHalf,Pass,Successful,14.4,93.3,9.8,76.5
16,114147,Alisson Becker,409,Brazil,0,FirstHalf,Pass,Unsuccessful,9.8,76.5,30,86.7
6,343435,Ritsu Doan,986,Japan,0,FirstHalf,BallTouch,Unsuccessful,69.6,6.2,,
17,115097,Douglas Santos,409,Brazil,0,FirstHalf,BallTouch,Successful,26.4,90.1,,
7,343435,Ritsu Doan,986,Japan,0,FirstHalf,Dispossessed,Successful,70.2,12.2,,
57,115097,Douglas Santos,409,Brazil,0,FirstHalf,Tackle,Unsuccessful,29.8,87.8,,
34,343435,Ritsu Doan,986,Japan,0,FirstHalf,BallTouch,Successful,72.6,16.2,,
18,319756,Lucas Paquetá,409,Brazil,0,FirstHalf,Foul,Successful,28.8,80.5,,
8,377283,Takehiro Tomiyasu,986,Japan,0,FirstHalf,Foul,Unsuccessful,71.2,19.6,,
19,334087,Gabriel Magalhães,409,Brazil,1,FirstHalf,Pass,Successful,29.3,81.4,32.6,73.8
20,88526,Casemiro,409,Brazil,1,FirstHalf,Pass,Successful,33.4,69.7,81.8,6.1
21,472122,Rayan,409,Brazil,1,FirstHalf,Pass,Successful,80.7,13.8,75.6,28.5
22,338780,Bruno Guimarães,409,Brazil,1,FirstHalf,Pass,Successful,75.4,28.3,77.5,12.7
23,88300,Danilo,409,Brazil,1,FirstHalf,Pass,Successful,77.2,11.8,74.1,31.9
24,88526,Casemiro,409,Brazil,1,FirstHalf,Pass,Unsuccessful,74.1,31.9,80.2,41.2
9,509815,Kaishu Sano,986,Japan,1,FirstHalf,Pass,Successful,20.6,63.6,24.5,68.4
10,377288,Ayase Ueda,986,Japan,1,FirstHalf,BallRecovery,Successful,24.5,68.4,,
11,377288,Ayase Ueda,986,Japan,1,FirstHalf,Pass,Unsuccessful,24.4,69.6,21.6,71.8
25,338780,Bruno Guimarães,409,Brazil,1,FirstHalf,BlockedPass,Successful,78.4,28.2,,
680,377288,Ayase Ueda,986,Japan,1,FirstHalf,Error,Successful,23.1,71.8,,
26,472122,Rayan,409,Brazil,1,FirstHalf,BallTouch,Successful,78.7,36.6,,
29,338780,Bruno Guimarães,409,Brazil,1,FirstHalf,BallRecovery,Successful,78.4,31.9,,
27,338780,Bruno Guimarães,409,Brazil,1,FirstHalf,SavedShot,Successful,85.1,33,,
12,143724,Shogo Taniguchi,986,Japan,1,FirstHalf,Save,Successful,12.9,64.6,,
13,143724,Shogo Taniguchi,986,Japan,1,FirstHalf,CornerAwarded,Unsuccessful,12,63.6,,
28,338780,Bruno Guimarães,409,Brazil,1,FirstHalf,CornerAwarded,Successful,100,39.7,,
30,338780,Bruno Guimarães,409,Brazil,2,FirstHalf,Pass,Unsuccessful,99.4,0.2,89.7,35.2
14,370255,Junya Ito,986,Japan,2,FirstHalf,Clearance,Successful,8.6,66.6,31.4,100
32,88300,Danilo,409,Brazil,2,FirstHalf,Pass,Successful,69.3,0,50.3,14.8
33,101949,Marquinhos,409,Brazil,2,FirstHalf,Pass,Successful,50.5,15.1,46.7,51.7
34,334087,Gabriel Magalhães,409,Brazil,2,FirstHalf,Pass,Successful,45.9,49.8,42.7,31
35,101949,Marquinhos,409,Brazil,2,FirstHalf,Pass,Unsuccessful,42.7,30.6,43.6,0
17,379700,Keito Nakamura,986,Japan,2,FirstHalf,Pass,Successful,54.4,100,30.8,96.5
18,422717,Hiroki Ito,986,Japan,2,FirstHalf,Pass,Successful,31.5,92.1,36.2,79.6
19,344166,Daichi Kamada,986,Japan,2,FirstHalf,Pass,Successful,36.2,79.6,31.2,94.8
20,422717,Hiroki Ito,986,Japan,2,FirstHalf,Pass,Unsuccessful,31.2,94.8,75.2,84.5
37,101949,Marquinhos,409,Brazil,2,FirstHalf,Pass,Successful,30.2,19.5,32.7,10.8
38,88300,Danilo,409,Brazil,2,FirstHalf,Pass,Unsuccessful,32.7,10.8,28.2,16.2
681,377287,Daizen Maeda,986,Japan,2,FirstHalf,Interception,Successful,72.2,93.2,,
21,377287,Daizen Maeda,986,Japan,3,FirstHalf,Dispossessed,Successful,90,84.6,,
40,101949,Marquinhos,409,Brazil,3,FirstHalf,Tackle,Unsuccessful,10,15.4,,
22,377287,Daizen Maeda,986,Japan,3,FirstHalf,BallTouch,Successful,91.6,85.7,,
42,334087,Gabriel Magalhães,409,Brazil,3,FirstHalf,Pass,Successful,4,60.1,3.1,43.8
43,114147,Alisson Becker,409,Brazil,3,FirstHalf,Pass,Unsuccessful,8,44.4,67.5,59.1
24,377283,Takehiro Tomiyasu,986,Japan,3,FirstHalf,Clearance,Successful,34.5,41.2,42.5,73.2
44,362758,Matheus Cunha,409,Brazil,3,FirstHalf,BallTouch,Unsuccessful,74.7,20.8,,
25,379700,Keito Nakamura,986,Japan,3,FirstHalf,BallRecovery,Successful,22.3,92.1,,
26,379700,Keito Nakamura,986,Japan,3,FirstHalf,Pass,Successful,25.2,90.3,8.7,71.7
27,422717,Hiroki Ito,986,Japan,3,FirstHalf,Pass,Successful,9.1,69.6,23.8,8.2
28,377283,Takehiro Tomiyasu,986,Japan,3,FirstHalf,Pass,Successful,23.8,8.2,47.2,45.8
29,377288,Ayase Ueda,986,Japan,3,FirstHalf,BallTouch,Unsuccessful,47.2,45.8,,
30,377288,Ayase Ueda,986,Japan,3,FirstHalf,Challenge,Unsuccessful,38.5,42.6,,
46,88526,Casemiro,409,Brazil,3,FirstHalf,TakeOn,Successful,61.5,57.4,,
47,88526,Casemiro,409,Brazil,3,FirstHalf,Pass,Successful,66.4,51.9,46.4,48.3
48,101949,Marquinhos,409,Brazil,3,FirstHalf,BallRecovery,Successful,46.4,48.3,,
49,101949,Marquinhos,409,Brazil,3,FirstHalf,Pass,Successful,46.4,48.3,38.2,60.6
50,334087,Gabriel Magalhães,409,Brazil,4,FirstHalf,Pass,Successful,38.2,60.6,44.9,68.2
51,319756,Lucas Paquetá,409,Brazil,4,FirstHalf,Pass,Unsuccessful,45.2,67.8,86.7,69
31,447570,Zion Suzuki,986,Japan,4,FirstHalf,KeeperSweeper,Successful,14.8,36,,
32,447570,Zion Suzuki,986,Japan,4,FirstHalf,Punch,Unsuccessful,14.8,36.1,27.1,0
53,115097,Douglas Santos,409,Brazil,4,FirstHalf,Pass,Successful,73.7,100,64.2,91.6
54,319756,Lucas Paquetá,409,Brazil,4,FirstHalf,Pass,Successful,64,90.3,64.4,68.4
55,88526,Casemiro,409,Brazil,4,FirstHalf,Pass,Successful,64.4,70.3,62.9,89.5
56,319756,Lucas Paquetá,409,Brazil,4,FirstHalf,Pass,Successful,62.8,87.7,52.9,44.8
58,101949,Marquinhos,409,Brazil,4,FirstHalf,Pass,Successful,53.8,43.8,56.4,57.7
59,88526,Casemiro,409,Brazil,4,FirstHalf,Pass,Successful,57.3,58.9,53.6,70
60,334087,Gabriel Magalhães,409,Brazil,4,FirstHalf,Pass,Successful,53.8,70.8,57.8,64.3
61,88526,Casemiro,409,Brazil,4,FirstHalf,Pass,Successful,57.9,65.2,66,77.1
62,319756,Lucas Paquetá,409,Brazil,4,FirstHalf,Pass,Successful,66.2,78.1,71.4,93.4
63,115097,Douglas Santos,409,Brazil,4,FirstHalf,Pass,Successful,71.4,93.4,64.1,86.7
64,319756,Lucas Paquetá,409,Brazil,4,FirstHalf,BallTouch,Unsuccessful,64.4,87.1,,
36,377283,Takehiro Tomiyasu,986,Japan,4,FirstHalf,Pass,Successful,24.6,0,10.4,26.8
37,143724,Shogo Taniguchi,986,Japan,4,FirstHalf,Pass,Successful,10.7,27.3,6.2,57.5
38,447570,Zion Suzuki,986,Japan,4,FirstHalf,Pass,Successful,7,58.5,13.4,81.5
39,422717,Hiroki Ito,986,Japan,5,FirstHalf,Pass,Unsuccessful,21.6,84.1,75,77.2
66,88526,Casemiro,409,Brazil,5,FirstHalf,BallRecovery,Successful,29.9,22.9,,
67,88526,Casemiro,409,Brazil,5,FirstHalf,Pass,Successful,27.8,22.8,19.9,34.5
68,114147,Alisson Becker,409,Brazil,5,FirstHalf,Pass,Successful,19.9,34.5,25.3,32.8
69,88526,Casemiro,409,Brazil,5,FirstHalf,Pass,Successful,25.3,32.8,30.4,61.3
70,334087,Gabriel Magalhães,409,Brazil,5,FirstHalf,Pass,Successful,35.5,66.3,43.6,91.8
71,319756,Lucas Paquetá,409,Brazil,5,FirstHalf,Pass,Successful,47.6,93.4,53.3,73.2
72,362758,Matheus Cunha,409,Brazil,5,FirstHalf,Pass,Successful,53.3,75,47.7,89.1
