eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,495,Morocco,0,FirstHalf,Start,Successful,0,0,,
2,,,409,Brazil,0,FirstHalf,Start,Successful,0,0,,
3,392361,Azzedine Ounahi,495,Morocco,0,FirstHalf,Pass,Unsuccessful,50,50,85.5,100
4,341525,Roger Ibañez,409,Brazil,0,FirstHalf,Pass,Successful,16.5,0,10.9,20.1
5,101949,Marquinhos,409,Brazil,0,FirstHalf,Pass,Unsuccessful,11.6,18,66.6,31.8
5,300359,Issa Diop,495,Morocco,0,FirstHalf,Pass,Unsuccessful,34.9,62.5,41.3,69.6
6,319756,Lucas Paquetá,409,Brazil,0,FirstHalf,Aerial,Successful,58.7,30.4,,
6,504830,Ayyoub Bouaddi,495,Morocco,0,FirstHalf,Aerial,Unsuccessful,41.3,69.6,,
7,319756,Lucas Paquetá,409,Brazil,0,FirstHalf,Pass,Unsuccessful,58.7,30.4,60.6,33
7,504830,Ayyoub Bouaddi,495,Morocco,0,FirstHalf,BallTouch,Successful,41.1,69.7,,
8,300447,Raphinha,409,Brazil,0,FirstHalf,BallTouch,Unsuccessful,61.8,34.2,,
8,504830,Ayyoub Bouaddi,495,Morocco,0,FirstHalf,BallRecovery,Successful,37.6,67.2,,
9,504830,Ayyoub Bouaddi,495,Morocco,0,FirstHalf,Pass,Successful,37.6,67.2,30.8,82.2
10,349932,Noussair Mazraoui,495,Morocco,0,FirstHalf,Pass,Successful,30.8,82.2,37.4,93.1
11,433572,Bilal El Khannouss,495,Morocco,0,FirstHalf,Pass,Successful,35.3,93.1,32.8,83.2
12,504830,Ayyoub Bouaddi,495,Morocco,0,FirstHalf,Pass,Successful,32.7,83.2,41.1,90.7
13,392361,Azzedine Ounahi,495,Morocco,0,FirstHalf,Pass,Successful,41.1,90.7,36.9,95.6
14,433572,Bilal El Khannouss,495,Morocco,0,FirstHalf,TakeOn,Unsuccessful,44.6,90.8,,
9,338780,Bruno Guimarães,409,Brazil,0,FirstHalf,Tackle,Successful,55.4,9.2,,
10,338780,Bruno Guimarães,409,Brazil,0,FirstHalf,BallRecovery,Successful,48.5,10.8,,
11,338780,Bruno Guimarães,409,Brazil,0,FirstHalf,Pass,Successful,47.7,10.6,35.8,7.6
12,101949,Marquinhos,409,Brazil,0,FirstHalf,Pass,Successful,35.9,7.6,28.9,13.8
13,341525,Roger Ibañez,409,Brazil,0,FirstHalf,Pass,Successful,28.9,13.8,37.9,20.8
14,88526,Casemiro,409,Brazil,0,FirstHalf,Pass,Successful,36.8,21.1,10.5,34.3
15,114147,Alisson Becker,409,Brazil,0,FirstHalf,Pass,Successful,12.3,35.7,27.4,53.2
16,88526,Casemiro,409,Brazil,0,FirstHalf,Pass,Successful,27.6,52.8,12.5,37.3
17,114147,Alisson Becker,409,Brazil,0,FirstHalf,Pass,Successful,12.5,37.2,20.2,23.5
18,101949,Marquinhos,409,Brazil,0,FirstHalf,Pass,Successful,20.2,23.7,28.1,16.2
19,338780,Bruno Guimarães,409,Brazil,0,FirstHalf,Pass,Successful,27.6,16.5,34.1,14.8
20,319756,Lucas Paquetá,409,Brazil,0,FirstHalf,Pass,Successful,34.1,14.8,26.6,13.2
21,338780,Bruno Guimarães,409,Brazil,0,FirstHalf,Pass,Successful,26.7,15.4,27.3,71.5
22,334087,Gabriel Magalhães,409,Brazil,0,FirstHalf,Pass,Successful,29.1,72.6,37.6,92.7
23,115097,Douglas Santos,409,Brazil,1,FirstHalf,Pass,Unsuccessful,37.6,92.7,59,88.8
15,486734,Neil El Aynaoui,495,Morocco,1,FirstHalf,Interception,Successful,41,11.2,,
16,486734,Neil El Aynaoui,495,Morocco,1,FirstHalf,BallRecovery,Successful,38.9,7.6,,
17,486734,Neil El Aynaoui,495,Morocco,1,FirstHalf,Pass,Successful,38.9,7.6,53.9,10.1
18,317541,Brahim Díaz,495,Morocco,1,FirstHalf,Foul,Successful,55.6,9.6,,
24,115097,Douglas Santos,409,Brazil,1,FirstHalf,Foul,Unsuccessful,44.4,90.4,,
19,486734,Neil El Aynaoui,495,Morocco,1,FirstHalf,Pass,Successful,54.6,7.1,37.5,23.7
20,300359,Issa Diop,495,Morocco,1,FirstHalf,Pass,Successful,37.5,23.7,29.3,53.8
21,454342,Chadi Riad,495,Morocco,1,FirstHalf,Pass,Successful,30.4,68.7,34,87
22,349932,Noussair Mazraoui,495,Morocco,1,FirstHalf,Pass,Successful,34,87,23,73.1
23,454342,Chadi Riad,495,Morocco,1,FirstHalf,Pass,Successful,22.9,72.6,30.2,46.1
24,486734,Neil El Aynaoui,495,Morocco,1,FirstHalf,TakeOn,Successful,35.2,51,,
25,300447,Raphinha,409,Brazil,1,FirstHalf,Challenge,Unsuccessful,64.8,49,,
25,486734,Neil El Aynaoui,495,Morocco,1,FirstHalf,Pass,Successful,31.5,42.7,42.8,24
26,404776,Ismael Saibari,495,Morocco,1,FirstHalf,Pass,Successful,61.5,20.3,70.2,5.6
27,320834,Achraf Hakimi,495,Morocco,1,FirstHalf,TakeOn,Unsuccessful,84.2,12,,
26,115097,Douglas Santos,409,Brazil,1,FirstHalf,Tackle,Successful,15.8,88,,
27,115097,Douglas Santos,409,Brazil,1,FirstHalf,BallRecovery,Successful,11.9,88,,
28,115097,Douglas Santos,409,Brazil,1,FirstHalf,Pass,Unsuccessful,13.1,89.2,58.4,81.3
28,300359,Issa Diop,495,Morocco,1,FirstHalf,BallRecovery,Successful,45,14.8,,
29,300359,Issa Diop,495,Morocco,1,FirstHalf,Pass,Successful,44,17,34.6,41.3
30,454342,Chadi Riad,495,Morocco,1,FirstHalf,Pass,Successful,34.1,44,36.5,72.4
31,349932,Noussair Mazraoui,495,Morocco,1,FirstHalf,Pass,Successful,36.3,73.3,55.2,75.8
32,392361,Azzedine Ounahi,495,Morocco,1,FirstHalf,Pass,Successful,57,89.6,55.9,74.1
33,486734,Neil El Aynaoui,495,Morocco,1,FirstHalf,Pass,Successful,55.7,74.1,56.7,92.1
34,392361,Azzedine Ounahi,495,Morocco,1,FirstHalf,Pass,Successful,59.8,91.4,62.5,95.6
35,433572,Bilal El Khannouss,495,Morocco,1,FirstHalf,Pass,Successful,62.5,95.6,42.8,92.6
36,349932,Noussair Mazraoui,495,Morocco,2,FirstHalf,TakeOn,Unsuccessful,53.3,90.6,,
29,319756,Lucas Paquetá,409,Brazil,2,FirstHalf,Tackle,Unsuccessful,46.7,9.4,,
37,349932,Noussair Mazraoui,495,Morocco,2,FirstHalf,BallTouch,Unsuccessful,54.9,94.9,,
31,341525,Roger Ibañez,409,Brazil,2,FirstHalf,Pass,Successful,43.6,0,62.7,13.3
32,443784,Igor Thiago,409,Brazil,2,FirstHalf,Aerial,Successful,62.7,13.3,,
39,349932,Noussair Mazraoui,495,Morocco,2,FirstHalf,Aerial,Unsuccessful,37.3,86.7,,
33,443784,Igor Thiago,409,Brazil,2,FirstHalf,Pass,Successful,62.7,13.3,53.8,33
34,300447,Raphinha,409,Brazil,2,FirstHalf,Pass,Unsuccessful,53.8,33,42.4,26.8
40,392361,Azzedine Ounahi,495,Morocco,2,FirstHalf,BallRecovery,Successful,55.5,65,,
41,392361,Azzedine Ounahi,495,Morocco,2,FirstHalf,Pass,Successful,53.2,57.3,65.8,85.4
42,433572,Bilal El Khannouss,495,Morocco,2,FirstHalf,Foul,Successful,76.6,86.4,,
35,341525,Roger Ibañez,409,Brazil,2,FirstHalf,Foul,Unsuccessful,23.4,13.6,,
43,433572,Bilal El Khannouss,495,Morocco,3,FirstHalf,Pass,Unsuccessful,73.5,90.9,86.8,55.6
38,319756,Lucas Paquetá,409,Brazil,3,FirstHalf,Clearance,Successful,12.7,30.6,7.2,62.8
44,404776,Ismael Saibari,495,Morocco,3,FirstHalf,BallTouch,Unsuccessful,93.8,29.6,,
36,443784,Igor Thiago,409,Brazil,3,FirstHalf,BallRecovery,Successful,6.3,85,,
37,443784,Igor Thiago,409,Brazil,3,FirstHalf,Pass,Unsuccessful,7.5,86.8,42.5,72
45,320834,Achraf Hakimi,495,Morocco,3,FirstHalf,BallRecovery,Successful,63.4,22.4,,
46,320834,Achraf Hakimi,495,Morocco,3,FirstHalf,Pass,Successful,63.4,22.4,45.5,32.6
47,349932,Noussair Mazraoui,495,Morocco,3,FirstHalf,Pass,Successful,46.9,30.4,54.7,6.4
48,320834,Achraf Hakimi,495,Morocco,3,FirstHalf,Pass,Successful,55.3,9.9,41.1,64.9
49,504830,Ayyoub Bouaddi,495,Morocco,3,FirstHalf,Pass,Successful,41.1,70.2,44.3,60.7
50,349932,Noussair Mazraoui,495,Morocco,3,FirstHalf,Pass,Successful,47.9,65.5,60.1,94.1
51,433572,Bilal El Khannouss,495,Morocco,3,FirstHalf,Pass,Successful,63.3,94.8,53.6,86.2
52,504830,Ayyoub Bouaddi,495,Morocco,3,FirstHalf,Pass,Successful,47.9,84.2,34.9,58.3
53,454342,Chadi Riad,495,Morocco,3,FirstHalf,Pass,Successful,34.9,58.3,31.8,26.1
54,300359,Issa Diop,495,Morocco,3,FirstHalf,Pass,Successful,32.1,18.7,38.9,5.2
55,317541,Brahim Díaz,495,Morocco,4,FirstHalf,Pass,Successful,36.3,30.9,34.6,68.6
56,349932,Noussair Mazraoui,495,Morocco,4,FirstHalf,Pass,Successful,38.5,71.6,60.1,75.6
57,404776,Ismael Saibari,495,Morocco,4,FirstHalf,Pass,Successful,60.1,75.6,62.6,94.9
58,433572,Bilal El Khannouss,495,Morocco,4,FirstHalf,Pass,Unsuccessful,62.6,95.1,68.1,83
39,88526,Casemiro,409,Brazil,4,FirstHalf,BallTouch,Successful,31.3,17.2,,
40,341525,Roger Ibañez,409,Brazil,4,FirstHalf,BallRecovery,Successful,29.4,10.5,,
41,341525,Roger Ibañez,409,Brazil,4,FirstHalf,Pass,Successful,29.4,10.5,39.3,11.1
59,349932,Noussair Mazraoui,495,Morocco,4,FirstHalf,Challenge,Unsuccessful,56.6,91.1,,
42,319756,Lucas Paquetá,409,Brazil,4,FirstHalf,TakeOn,Successful,43.4,8.9,,
43,319756,Lucas Paquetá,409,Brazil,4,FirstHalf,TakeOn,Unsuccessful,60.2,10,,
60,349932,Noussair Mazraoui,495,Morocco,4,FirstHalf,Tackle,Unsuccessful,39.8,90,,
44,319756,Lucas Paquetá,409,Brazil,4,FirstHalf,BallTouch,Successful,55.4,11.4,,
61,349932,Noussair Mazraoui,495,Morocco,4,FirstHalf,Pass,Successful,33.5,93.1,37.3,77.8
45,319756,Lucas Paquetá,409,Brazil,4,FirstHalf,Challenge,Unsuccessful,59.6,23,,
62,433572,Bilal El Khannouss,495,Morocco,4,FirstHalf,TakeOn,Successful,40.4,77,,
63,433572,Bilal El Khannouss,495,Morocco,4,FirstHalf,BallRecovery,Successful,34,73.3,,
64,433572,Bilal El Khannouss,495,Morocco,4,FirstHalf,Pass,Successful,34,73.3,2.7,65.7
65,136220,Yassine Bounou,495,Morocco,4,FirstHalf,Pass,Successful,4.1,63.5,8,84
66,454342,Chadi Riad,495,Morocco,4,FirstHalf,Pass,Unsuccessful,13.8,87.6,67.4,84.7
46,341525,Roger Ibañez,409,Brazil,4,FirstHalf,Clearance,Successful,27.6,13.2,39.7,6.9
67,433572,Bilal El Khannouss,495,Morocco,4,FirstHalf,Pass,Successful,60.7,94.1,60.7,72.1
