eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,334,Norway,0,FirstHalf,Start,Successful,0,0,,
2,,,409,Brazil,0,FirstHalf,Start,Successful,0,0,,
3,247454,Martin Ødegaard,334,Norway,0,FirstHalf,Pass,Successful,50.1,50.1,18.3,51.8
4,39187,Ørjan Nyland,334,Norway,0,FirstHalf,Pass,Unsuccessful,18.2,50,100,17.9
4,334087,Gabriel Magalhães,409,Brazil,0,FirstHalf,Pass,Successful,4.6,59.8,3.8,47.8
5,114147,Alisson Becker,409,Brazil,0,FirstHalf,Pass,Unsuccessful,7,48.1,89.9,76.5
6,39187,Ørjan Nyland,334,Norway,0,FirstHalf,KeeperPickup,Successful,12.7,25.2,,
8,39187,Ørjan Nyland,334,Norway,1,FirstHalf,Pass,Successful,14.9,53.9,60.1,9.1
9,302497,Alexander Sørloth,334,Norway,1,FirstHalf,Pass,Unsuccessful,60.1,9.1,40.4,0
7,115097,Douglas Santos,409,Brazil,1,FirstHalf,Pass,Successful,48.8,100,29.8,84.4
8,334087,Gabriel Magalhães,409,Brazil,1,FirstHalf,Pass,Successful,29.8,84.4,15,63.3
9,114147,Alisson Becker,409,Brazil,1,FirstHalf,Pass,Successful,14.4,60.7,15.1,17.1
10,101949,Marquinhos,409,Brazil,1,FirstHalf,Pass,Successful,15.1,17.1,17.3,5.4
11,88300,Danilo,409,Brazil,1,FirstHalf,Pass,Unsuccessful,17.3,5.4,38.3,4.9
11,415341,David Møller Wolfe,334,Norway,1,FirstHalf,BallTouch,Unsuccessful,68.4,90.2,,
12,88300,Danilo,409,Brazil,1,FirstHalf,Clearance,Successful,23.2,10.1,26.1,0
13,415341,David Møller Wolfe,334,Norway,1,FirstHalf,Pass,Successful,76,100,45.4,85.7
14,364336,Torbjørn Heggem,334,Norway,1,FirstHalf,Pass,Successful,46.2,85.2,38.5,63.2
15,321085,Kristoffer Ajer,334,Norway,1,FirstHalf,Pass,Successful,37.2,63.4,40.9,65
16,321020,Sander Berge,334,Norway,1,FirstHalf,Pass,Successful,41.5,56.1,45.8,53.9
17,247454,Martin Ødegaard,334,Norway,1,FirstHalf,Pass,Successful,45.8,53.9,39.9,59
18,321020,Sander Berge,334,Norway,1,FirstHalf,Pass,Successful,39.9,59,36.5,51.9
19,247454,Martin Ødegaard,334,Norway,1,FirstHalf,Pass,Successful,35.8,47.9,42.3,20.3
20,320436,Julian Ryerson,334,Norway,1,FirstHalf,Pass,Successful,42.2,19.5,60,4.9
21,302497,Alexander Sørloth,334,Norway,1,FirstHalf,Pass,Successful,42.9,5.3,27.9,6.5
11034,302497,Alexander Sørloth,334,Norway,2,FirstHalf,OffsideGiven,Unsuccessful,77.9,18.6,,
22,320436,Julian Ryerson,334,Norway,2,FirstHalf,Pass,Successful,36,10,43.3,18.3
23,247454,Martin Ødegaard,334,Norway,2,FirstHalf,Pass,Successful,41.9,18.9,27.8,6.1
24,320436,Julian Ryerson,334,Norway,2,FirstHalf,Pass,Unsuccessful,24.6,2.5,27.8,2.1
15,362758,Matheus Cunha,409,Brazil,2,FirstHalf,BlockedPass,Successful,72.2,97.9,,
26,320436,Julian Ryerson,334,Norway,2,FirstHalf,Pass,Successful,35.6,0,46.5,2.9
27,302497,Alexander Sørloth,334,Norway,2,FirstHalf,Pass,Successful,46.5,2.9,35.2,7.6
28,320436,Julian Ryerson,334,Norway,2,FirstHalf,Pass,Successful,34.9,3.3,41.9,2.1
29,302497,Alexander Sørloth,334,Norway,2,FirstHalf,Pass,Unsuccessful,39.5,1.5,42,9.6
17,88526,Casemiro,409,Brazil,2,FirstHalf,BallRecovery,Successful,59.7,90.4,,
18,88526,Casemiro,409,Brazil,2,FirstHalf,Pass,Successful,62.8,91,59.7,92.7
19,115097,Douglas Santos,409,Brazil,2,FirstHalf,Pass,Successful,59.7,92.7,58.2,86.4
20,338780,Bruno Guimarães,409,Brazil,2,FirstHalf,Pass,Unsuccessful,58.2,86.4,44.9,76.9
31,315227,Erling Haaland,334,Norway,2,FirstHalf,Interception,Successful,55.1,23.1,,
32,320436,Julian Ryerson,334,Norway,2,FirstHalf,BallRecovery,Successful,45.7,8.6,,
33,320436,Julian Ryerson,334,Norway,2,FirstHalf,Pass,Successful,47.2,9,59.7,20.5
34,247454,Martin Ødegaard,334,Norway,2,FirstHalf,OffsidePass,Successful,69.5,31.1,77.9,18.6
21,334087,Gabriel Magalhães,409,Brazil,2,FirstHalf,OffsideProvoked,Successful,25.4,63.2,,
22,114147,Alisson Becker,409,Brazil,3,FirstHalf,Pass,Unsuccessful,26.8,83.4,94.6,34.9
36,39187,Ørjan Nyland,334,Norway,3,FirstHalf,BallRecovery,Successful,12,68.7,,
37,39187,Ørjan Nyland,334,Norway,3,FirstHalf,Pass,Successful,8.4,61.7,22,42.2
38,321020,Sander Berge,334,Norway,3,FirstHalf,Pass,Successful,19.2,47.4,7.3,60.2
39,39187,Ørjan Nyland,334,Norway,3,FirstHalf,Pass,Successful,8,60.3,67.7,59.7
40,315227,Erling Haaland,334,Norway,3,FirstHalf,Pass,Successful,64.7,61.7,61.4,65.6
41,320986,Patrick Berg,334,Norway,3,FirstHalf,Pass,Successful,65.5,73,56.8,63.1
42,321020,Sander Berge,334,Norway,3,FirstHalf,Pass,Successful,58.5,77.1,40.1,69.1
43,364336,Torbjørn Heggem,334,Norway,3,FirstHalf,Pass,Successful,40.1,69.1,45.5,66.6
44,247454,Martin Ødegaard,334,Norway,3,FirstHalf,Pass,Successful,45,66.6,39,37.7
45,321085,Kristoffer Ajer,334,Norway,3,FirstHalf,Pass,Successful,39.4,37.9,39.2,58.7
46,364336,Torbjørn Heggem,334,Norway,3,FirstHalf,Pass,Successful,36.9,57.6,36.9,37.7
47,321085,Kristoffer Ajer,334,Norway,4,FirstHalf,Pass,Successful,35.5,37,44,36.2
48,247454,Martin Ødegaard,334,Norway,4,FirstHalf,Pass,Successful,42.3,31.9,62.2,17.4
49,302497,Alexander Sørloth,334,Norway,4,FirstHalf,Pass,Successful,60.3,23.3,46.5,7.4
50,320436,Julian Ryerson,334,Norway,4,FirstHalf,Pass,Successful,47.2,7.6,48.9,14.3
51,247454,Martin Ødegaard,334,Norway,4,FirstHalf,Pass,Successful,46.7,19.9,41.9,10.4
52,320436,Julian Ryerson,334,Norway,4,FirstHalf,Pass,Successful,41.9,10.4,33.4,32.2
53,321085,Kristoffer Ajer,334,Norway,4,FirstHalf,Pass,Successful,33.2,32.1,33.7,59.9
54,364336,Torbjørn Heggem,334,Norway,4,FirstHalf,Pass,Successful,40.1,68.8,39.4,92.3
55,415341,David Møller Wolfe,334,Norway,4,FirstHalf,Pass,Successful,37.5,90.2,16.7,63.6
56,39187,Ørjan Nyland,334,Norway,4,FirstHalf,Pass,Successful,18.7,55.2,69.2,6.6
57,302497,Alexander Sørloth,334,Norway,4,FirstHalf,Pass,Successful,88.2,8.8,68.1,8.3
58,320436,Julian Ryerson,334,Norway,4,FirstHalf,Pass,Successful,68.1,8.3,68.3,15.9
59,247454,Martin Ødegaard,334,Norway,4,FirstHalf,Pass,Successful,67.8,37.9,62,67.8
60,415341,David Møller Wolfe,334,Norway,4,FirstHalf,Pass,Successful,62,67.8,68.4,87.1
61,416030,Antonio Nusa,334,Norway,4,FirstHalf,Pass,Successful,72.7,85.9,69.5,72.6
62,247454,Martin Ødegaard,334,Norway,4,FirstHalf,Pass,Successful,69.5,65.5,68.4,50.9
63,321020,Sander Berge,334,Norway,4,FirstHalf,Pass,Successful,68.4,47.6,71.9,17.4
64,320436,Julian Ryerson,334,Norway,5,FirstHalf,Pass,Successful,71.9,17.4,80.9,7.3
65,302497,Alexander Sørloth,334,Norway,5,FirstHalf,Pass,Unsuccessful,97,8.2,98.1,11.6
23,115097,Douglas Santos,409,Brazil,5,FirstHalf,Clearance,Successful,1.9,88.4,,
66,302497,Alexander Sørloth,334,Norway,5,FirstHalf,CornerAwarded,Successful,98.2,11,,
24,115097,Douglas Santos,409,Brazil,5,FirstHalf,CornerAwarded,Unsuccessful,1.9,89,,
67,247454,Martin Ødegaard,334,Norway,6,FirstHalf,Pass,Unsuccessful,99.6,0.2,93.7,51.3
25,88300,Danilo,409,Brazil,6,FirstHalf,Clearance,Successful,5.8,51.7,8.2,27.7
26,115097,Douglas Santos,409,Brazil,6,FirstHalf,Clearance,Successful,8.2,27.7,35.2,21
68,416030,Antonio Nusa,334,Norway,6,FirstHalf,Pass,Unsuccessful,69.4,72.8,72.4,49.7
27,88526,Casemiro,409,Brazil,6,FirstHalf,BallTouch,Unsuccessful,26.8,49.1,,
69,247454,Martin Ødegaard,334,Norway,6,FirstHalf,BallTouch,Unsuccessful,66,35.2,,
28,380706,Gabriel Martinelli,409,Brazil,6,FirstHalf,BallRecovery,Successful,40,70.8,,
29,380706,Gabriel Martinelli,409,Brazil,6,FirstHalf,Pass,Successful,42.6,76,43.6,90.3
30,337782,Vinícius Júnior,409,Brazil,6,FirstHalf,TakeOn,Unsuccessful,44.1,90,,
71,321020,Sander Berge,334,Norway,6,FirstHalf,Pass,Successful,45.1,18,68.8,10.3
72,302497,Alexander Sørloth,334,Norway,6,FirstHalf,BallRecovery,Successful,68.8,10.3,,
73,302497,Alexander Sørloth,334,Norway,6,FirstHalf,Pass,Successful,68.8,10.3,59.6,11
74,247454,Martin Ødegaard,334,Norway,6,FirstHalf,Pass,Successful,60.1,40.1,57.1,30
75,321020,Sander Berge,334,Norway,6,FirstHalf,Pass,Successful,57.1,30,66.6,21.8
76,320986,Patrick Berg,334,Norway,6,FirstHalf,Pass,Successful,66.7,18.3,74.7,6.4
77,302497,Alexander Sørloth,334,Norway,6,FirstHalf,Pass,Successful,74.7,6.4,62.2,10
78,320436,Julian Ryerson,334,Norway,6,FirstHalf,Pass,Successful,65,9.5,65.3,16.1
79,247454,Martin Ødegaard,334,Norway,6,FirstHalf,Pass,Successful,65.3,16.1,65.6,9.5
80,320436,Julian Ryerson,334,Norway,6,FirstHalf,Pass,Successful,68.1,7.4,57.9,12.8
81,247454,Martin Ødegaard,334,Norway,6,FirstHalf,Pass,Successful,61.6,18.3,69.1,29.5
82,321020,Sander Berge,334,Norway,6,FirstHalf,Pass,Successful,69.1,29.5,63.4,21
83,247454,Martin Ødegaard,334,Norway,6,FirstHalf,Pass,Successful,61.2,22.5,47.1,56.3
84,364336,Torbjørn Heggem,334,Norway,7,FirstHalf,Pass,Successful,57.1,62.1,46.9,84.1
85,415341,David Møller Wolfe,334,Norway,7,FirstHalf,Pass,Successful,46.6,86.3,69.9,89.7
86,416030,Antonio Nusa,334,Norway,7,FirstHalf,Pass,Unsuccessful,68.1,78.1,69.9,75.8
31,101949,Marquinhos,409,Brazil,7,FirstHalf,BlockedPass,Successful,31.8,23.1,,
87,321020,Sander Berge,334,Norway,7,FirstHalf,BallTouch,Unsuccessful,69.6,68.2,,
