eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,494,Saudi Arabia,0,FirstHalf,Start,Successful,0,0,,
2,,,2555,Cabo Verde,0,FirstHalf,Start,Successful,0,0,,
3,528208,Dailon Livramento,2555,Cabo Verde,0,FirstHalf,Pass,Successful,50.3,49.9,33.1,51.1
4,438902,Kevin Pina,2555,Cabo Verde,0,FirstHalf,Pass,Successful,33.3,50.8,26,19.9
5,430933,Pico Lopes,2555,Cabo Verde,0,FirstHalf,Pass,Successful,24.5,21,10.5,49.9
6,123577,Vozinha,2555,Cabo Verde,0,FirstHalf,Pass,Successful,15.3,47.5,21.8,80.8
7,235763,Diney Borges,2555,Cabo Verde,0,FirstHalf,Pass,Successful,20,78,11.9,54.9
8,123577,Vozinha,2555,Cabo Verde,0,FirstHalf,Pass,Unsuccessful,13.3,47.8,44.4,27
3,111560,Salem Al Dawsari,494,Saudi Arabia,0,FirstHalf,Pass,Successful,58.7,75.3,65.1,29.4
4,488541,Sultan Mandash,494,Saudi Arabia,0,FirstHalf,BallRecovery,Successful,65.7,33.1,,
5,488541,Sultan Mandash,494,Saudi Arabia,0,FirstHalf,Pass,Successful,65.7,33.1,64.9,59.1
6,447662,Nasser Al Dawsari,494,Saudi Arabia,0,FirstHalf,BallTouch,Unsuccessful,65,59.5,,
9,74790,Ryan Mendes,2555,Cabo Verde,0,FirstHalf,Dispossessed,Successful,33,36.8,,
7,488541,Sultan Mandash,494,Saudi Arabia,0,FirstHalf,Tackle,Unsuccessful,67,63.2,,
10,74790,Ryan Mendes,2555,Cabo Verde,0,FirstHalf,BallTouch,Successful,33.1,38.8,,
8,358782,Mohamed Kanno,494,Saudi Arabia,0,FirstHalf,Pass,Successful,71.1,59.7,62,74.4
9,447662,Nasser Al Dawsari,494,Saudi Arabia,0,FirstHalf,Pass,Successful,62,74.4,66.1,96.1
10,111560,Salem Al Dawsari,494,Saudi Arabia,0,FirstHalf,Pass,Successful,66.1,96.1,44.8,92.1
11,458392,Nawaf Bu Washl,494,Saudi Arabia,0,FirstHalf,Pass,Successful,44.8,92.1,37.7,65.7
12,447676,Hassan Al Tambakti,494,Saudi Arabia,0,FirstHalf,Pass,Successful,38.2,65.5,53.4,94.2
13,111560,Salem Al Dawsari,494,Saudi Arabia,1,FirstHalf,BallTouch,Successful,52.7,96,,
12,492313,Wagner Pina,2555,Cabo Verde,1,FirstHalf,Pass,Unsuccessful,44.7,0,78.9,22.9
15,447676,Hassan Al Tambakti,494,Saudi Arabia,1,FirstHalf,BallRecovery,Successful,21.6,75.1,,
16,447676,Hassan Al Tambakti,494,Saudi Arabia,1,FirstHalf,Pass,Successful,21.3,66.7,22,26.7
17,447660,Abdulelah Al Amri,494,Saudi Arabia,1,FirstHalf,Pass,Successful,27.6,26.7,33.2,4.9
18,457103,Saud Abdulhamid,494,Saudi Arabia,1,FirstHalf,Pass,Successful,33.2,5.1,35.6,16.2
19,333478,Abdullah Al Khaibari,494,Saudi Arabia,1,FirstHalf,Pass,Successful,32.2,9.9,29.8,2.8
20,457103,Saud Abdulhamid,494,Saudi Arabia,1,FirstHalf,Pass,Successful,29.8,2.8,41,8.2
21,488541,Sultan Mandash,494,Saudi Arabia,1,FirstHalf,Dispossessed,Successful,37.7,27.9,,
13,431439,João Paulo,2555,Cabo Verde,1,FirstHalf,Tackle,Successful,62.3,72.1,,
14,431439,João Paulo,2555,Cabo Verde,1,FirstHalf,Pass,Successful,63.8,61.2,63.1,45.7
15,74790,Ryan Mendes,2555,Cabo Verde,1,FirstHalf,BallRecovery,Successful,63.1,45.7,,
16,74790,Ryan Mendes,2555,Cabo Verde,1,FirstHalf,Pass,Successful,63.1,45.7,73.7,48.7
17,528208,Dailon Livramento,2555,Cabo Verde,1,FirstHalf,Dispossessed,Successful,73.2,46.5,,
23,447676,Hassan Al Tambakti,494,Saudi Arabia,1,FirstHalf,Tackle,Successful,26.8,53.5,,
33,447662,Nasser Al Dawsari,494,Saudi Arabia,1,FirstHalf,Pass,Successful,27,57.9,24.6,67.9
25,458392,Nawaf Bu Washl,494,Saudi Arabia,1,FirstHalf,BallRecovery,Successful,19.8,78.7,,
26,458392,Nawaf Bu Washl,494,Saudi Arabia,1,FirstHalf,Pass,Unsuccessful,19.8,78.7,44.1,64.6
18,438902,Kevin Pina,2555,Cabo Verde,1,FirstHalf,BallRecovery,Successful,59.7,38.1,,
19,438902,Kevin Pina,2555,Cabo Verde,1,FirstHalf,Pass,Successful,60,38.2,73.1,46.9
20,415948,Willy Semedo,2555,Cabo Verde,1,FirstHalf,BallTouch,Unsuccessful,71,46.6,,
27,458392,Nawaf Bu Washl,494,Saudi Arabia,2,FirstHalf,Clearance,Successful,31.9,67.9,74.2,82.6
21,430933,Pico Lopes,2555,Cabo Verde,2,FirstHalf,Pass,Successful,23.2,29.2,12.6,36
22,123577,Vozinha,2555,Cabo Verde,2,FirstHalf,KeeperPickup,Successful,12.6,36,,
23,123577,Vozinha,2555,Cabo Verde,2,FirstHalf,Pass,Successful,14.2,45.9,15.7,73.8
24,235763,Diney Borges,2555,Cabo Verde,2,FirstHalf,Pass,Successful,16.9,75.3,27.6,89.1
25,431439,João Paulo,2555,Cabo Verde,2,FirstHalf,Pass,Successful,28.9,95.4,13.5,85
26,235763,Diney Borges,2555,Cabo Verde,2,FirstHalf,Pass,Successful,13.8,78.9,3.6,45.6
27,123577,Vozinha,2555,Cabo Verde,2,FirstHalf,Pass,Successful,4.7,44.4,20.5,54
28,438902,Kevin Pina,2555,Cabo Verde,2,FirstHalf,Pass,Successful,25.8,54.9,37.1,94
29,431439,João Paulo,2555,Cabo Verde,2,FirstHalf,Pass,Successful,39.6,94.8,51.4,98.1
30,415948,Willy Semedo,2555,Cabo Verde,2,FirstHalf,Pass,Successful,48.5,97,35.9,92.1
31,296684,Jamiro Monteiro,2555,Cabo Verde,2,FirstHalf,Pass,Successful,35.9,89.1,30.7,36.7
32,430933,Pico Lopes,2555,Cabo Verde,2,FirstHalf,Pass,Successful,31.7,35.2,40,4.5
33,74790,Ryan Mendes,2555,Cabo Verde,2,FirstHalf,Pass,Successful,40,4.9,29.5,23.4
34,430933,Pico Lopes,2555,Cabo Verde,2,FirstHalf,Pass,Successful,29.8,23.5,36.3,47.2
35,438902,Kevin Pina,2555,Cabo Verde,2,FirstHalf,Pass,Successful,36.5,47.2,36.1,70
36,235763,Diney Borges,2555,Cabo Verde,2,FirstHalf,Pass,Unsuccessful,42.6,64.6,76.3,36.3
28,458392,Nawaf Bu Washl,494,Saudi Arabia,2,FirstHalf,Clearance,Successful,26.2,68.5,57.8,73.2
37,74790,Ryan Mendes,2555,Cabo Verde,2,FirstHalf,Dispossessed,Successful,42.8,29.6,,
29,447657,Feras Al Brikan,494,Saudi Arabia,2,FirstHalf,Tackle,Unsuccessful,57.2,70.4,,
38,235763,Diney Borges,2555,Cabo Verde,2,FirstHalf,Pass,Successful,30.5,53.4,3.4,48
39,123577,Vozinha,2555,Cabo Verde,3,FirstHalf,Pass,Successful,5,47.5,30.6,93.4
40,431439,João Paulo,2555,Cabo Verde,3,FirstHalf,Foul,Successful,33,90.6,,
30,457103,Saud Abdulhamid,494,Saudi Arabia,3,FirstHalf,Foul,Unsuccessful,67,9.4,,
31,457103,Saud Abdulhamid,494,Saudi Arabia,3,FirstHalf,Card,Successful,0,0,,
41,235763,Diney Borges,2555,Cabo Verde,4,FirstHalf,Pass,Successful,32,82,18.5,60.9
42,123577,Vozinha,2555,Cabo Verde,4,FirstHalf,Pass,Successful,18.7,53.8,23.8,22.8
43,430933,Pico Lopes,2555,Cabo Verde,4,FirstHalf,Pass,Successful,24.1,21.3,34.9,3.3
44,492313,Wagner Pina,2555,Cabo Verde,4,FirstHalf,Pass,Successful,34.9,3.3,42.6,13
45,328549,Deroy Duarte,2555,Cabo Verde,4,FirstHalf,BallTouch,Unsuccessful,40.1,13.2,,
34,447662,Nasser Al Dawsari,494,Saudi Arabia,4,FirstHalf,Pass,Successful,62.9,89.5,66.9,89.7
