eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,1160,Canada,0,FirstHalf,Start,Successful,0,0,,
2,,,768,Bosnia and Herzegovina,0,FirstHalf,Start,Successful,0,0,,
3,351744,Stephen Eustaquio,1160,Canada,0,FirstHalf,Pass,Successful,50,50,53.8,50.7
4,422851,Ismaël Koné,1160,Canada,0,FirstHalf,Pass,Successful,59,58.6,66,96.9
5,391821,Liam Millar,1160,Canada,0,FirstHalf,Pass,Successful,66.8,96.3,62.3,87.1
6,313012,Richie Laryea,1160,Canada,0,FirstHalf,Pass,Successful,62.4,87.1,87.9,96.6
7,445292,Tani Oluwaseyi,1160,Canada,0,FirstHalf,TakeOn,Unsuccessful,89,94.2,,
3,363666,Nikola Katic,768,Bosnia and Herzegovina,0,FirstHalf,Tackle,Successful,11,5.8,,
9,391821,Liam Millar,1160,Canada,0,FirstHalf,Pass,Unsuccessful,87,100,94.8,63.1
5,363666,Nikola Katic,768,Bosnia and Herzegovina,0,FirstHalf,Clearance,Successful,4.4,38,4.3,34.2
10,492688,Luc De Fougerolles,1160,Canada,0,FirstHalf,Pass,Unsuccessful,98.6,69.1,98,59.7
6,439533,Tarik Muharemovic,768,Bosnia and Herzegovina,0,FirstHalf,Clearance,Successful,3.1,39.5,0,32.4
7,439533,Tarik Muharemovic,768,Bosnia and Herzegovina,0,FirstHalf,CornerAwarded,Unsuccessful,0.8,35,,
11,492688,Luc De Fougerolles,1160,Canada,0,FirstHalf,CornerAwarded,Successful,99.2,65,,
12,351744,Stephen Eustaquio,1160,Canada,1,FirstHalf,Pass,Successful,99.5,99.5,95.8,67.8
13,371027,Tajon Buchanan,1160,Canada,1,FirstHalf,Pass,Unsuccessful,90.3,68.7,93.3,67.7
8,418203,Amar Dedic,768,Bosnia and Herzegovina,1,FirstHalf,BallTouch,Successful,3.3,40.1,,
9,351339,Ermedin Demirovic,768,Bosnia and Herzegovina,1,FirstHalf,Clearance,Successful,2.9,24.1,60,37.1
14,137263,Maxime Crépeau,1160,Canada,1,FirstHalf,KeeperSweeper,Successful,36.8,54,,
15,137263,Maxime Crépeau,1160,Canada,1,FirstHalf,Pass,Successful,37.2,54.4,46.3,36
16,422851,Ismaël Koné,1160,Canada,1,FirstHalf,Pass,Unsuccessful,46,34.9,65.4,7
10,110260,Sead Kolasinac,768,Bosnia and Herzegovina,1,FirstHalf,Pass,Successful,36.6,90.5,51.9,83.6
11,449011,Jovo Lukic,768,Bosnia and Herzegovina,1,FirstHalf,BallRecovery,Successful,50.3,83.2,,
12,449011,Jovo Lukic,768,Bosnia and Herzegovina,1,FirstHalf,Pass,Successful,50.3,83.2,37.1,91.2
13,439533,Tarik Muharemovic,768,Bosnia and Herzegovina,1,FirstHalf,Pass,Successful,36.3,90.8,60.4,96
14,110260,Sead Kolasinac,768,Bosnia and Herzegovina,1,FirstHalf,Foul,Successful,65.2,94.7,,
17,397859,Alistair Johnston,1160,Canada,1,FirstHalf,Foul,Unsuccessful,34.8,5.3,,
16,418212,Ivan Basic,768,Bosnia and Herzegovina,2,FirstHalf,Pass,Successful,63.1,93.3,91.7,29.7
17,363666,Nikola Katic,768,Bosnia and Herzegovina,2,FirstHalf,Aerial,Successful,91.7,29.7,,
19,422851,Ismaël Koné,1160,Canada,2,FirstHalf,Aerial,Unsuccessful,8.3,70.3,,
18,363666,Nikola Katic,768,Bosnia and Herzegovina,2,FirstHalf,Pass,Unsuccessful,91.7,29.7,91.5,37.9
21,397859,Alistair Johnston,1160,Canada,2,FirstHalf,Clearance,Successful,6.6,61.3,10.7,61.5
19,428102,Amar Memic,768,Bosnia and Herzegovina,2,FirstHalf,MissedShots,Successful,87.1,45.8,,
22,492688,Luc De Fougerolles,1160,Canada,2,FirstHalf,Pass,Successful,4.3,42.1,4.3,52.3
23,137263,Maxime Crépeau,1160,Canada,2,FirstHalf,Pass,Unsuccessful,5.8,54.9,39.2,96.4
21,445302,Esmir Bajraktarevic,768,Bosnia and Herzegovina,2,FirstHalf,Aerial,Successful,60.8,3.6,,
24,313012,Richie Laryea,1160,Canada,2,FirstHalf,Aerial,Unsuccessful,39.2,96.4,,
22,445302,Esmir Bajraktarevic,768,Bosnia and Herzegovina,2,FirstHalf,Pass,Unsuccessful,60.8,3.6,59.8,6.8
25,313012,Richie Laryea,1160,Canada,2,FirstHalf,BallTouch,Successful,39.3,96.4,,
23,445302,Esmir Bajraktarevic,768,Bosnia and Herzegovina,2,FirstHalf,Pass,Successful,61.6,5.9,65.3,9.7
24,449011,Jovo Lukic,768,Bosnia and Herzegovina,2,FirstHalf,TakeOn,Unsuccessful,65,7.8,,
26,313012,Richie Laryea,1160,Canada,2,FirstHalf,Tackle,Unsuccessful,35,92.3,,
25,351339,Ermedin Demirovic,768,Bosnia and Herzegovina,2,FirstHalf,BallTouch,Unsuccessful,64.8,15.4,,
28,313012,Richie Laryea,1160,Canada,2,FirstHalf,Pass,Unsuccessful,32.5,86.7,33.5,85.6
26,351339,Ermedin Demirovic,768,Bosnia and Herzegovina,2,FirstHalf,BallTouch,Successful,64.9,16.5,,
29,492688,Luc De Fougerolles,1160,Canada,2,FirstHalf,Pass,Unsuccessful,29.2,69.9,60.8,20.7
27,110260,Sead Kolasinac,768,Bosnia and Herzegovina,2,FirstHalf,Pass,Successful,37.4,88.4,37,73
28,439533,Tarik Muharemovic,768,Bosnia and Herzegovina,2,FirstHalf,BallRecovery,Successful,37,73,,
29,439533,Tarik Muharemovic,768,Bosnia and Herzegovina,2,FirstHalf,Pass,Unsuccessful,37,73,67.9,72.4
30,492688,Luc De Fougerolles,1160,Canada,2,FirstHalf,Clearance,Successful,31.2,35.2,44.9,19.3
31,371027,Tajon Buchanan,1160,Canada,2,FirstHalf,BallRecovery,Successful,38.3,6.4,,
32,371027,Tajon Buchanan,1160,Canada,2,FirstHalf,Pass,Successful,38,7.3,28.3,6
33,397859,Alistair Johnston,1160,Canada,3,FirstHalf,Pass,Successful,27.8,8.1,39.6,25.9
34,422851,Ismaël Koné,1160,Canada,3,FirstHalf,Pass,Successful,42.2,27.4,66,9.1
35,383855,Jonathan David,1160,Canada,3,FirstHalf,Pass,Successful,65,17.1,75.4,3.1
36,371027,Tajon Buchanan,1160,Canada,3,FirstHalf,Pass,Unsuccessful,77.6,9.1,84.8,55.9
31,445302,Esmir Bajraktarevic,768,Bosnia and Herzegovina,3,FirstHalf,Clearance,Successful,14.8,46.1,58.6,94.8
37,492688,Luc De Fougerolles,1160,Canada,3,FirstHalf,Clearance,Successful,38.1,4.2,41.4,0
33,110260,Sead Kolasinac,768,Bosnia and Herzegovina,3,FirstHalf,Pass,Unsuccessful,57,100,100,85.6
40,137263,Maxime Crépeau,1160,Canada,4,FirstHalf,Pass,Successful,3.7,49.1,6,70.9
43,371029,Derek Cornelius,1160,Canada,4,FirstHalf,Pass,Unsuccessful,5.6,72.6,48,100
36,418203,Amar Dedic,768,Bosnia and Herzegovina,4,FirstHalf,Pass,Successful,53.3,0,65.8,5.6
37,445302,Esmir Bajraktarevic,768,Bosnia and Herzegovina,4,FirstHalf,Pass,Successful,65.8,5.6,61.5,9.8
38,418203,Amar Dedic,768,Bosnia and Herzegovina,4,FirstHalf,Foul,Successful,59.2,5.8,,
42,391821,Liam Millar,1160,Canada,4,FirstHalf,Foul,Unsuccessful,40.8,94.2,,
39,418212,Ivan Basic,768,Bosnia and Herzegovina,4,FirstHalf,Pass,Successful,63.4,8.3,60.9,36.3
40,418203,Amar Dedic,768,Bosnia and Herzegovina,4,FirstHalf,Pass,Successful,61,36.1,63.7,9.4
41,418212,Ivan Basic,768,Bosnia and Herzegovina,4,FirstHalf,Pass,Successful,63.8,9.5,88.9,59.4
42,449011,Jovo Lukic,768,Bosnia and Herzegovina,4,FirstHalf,Aerial,Successful,88.9,59.4,,
44,371029,Derek Cornelius,1160,Canada,4,FirstHalf,Aerial,Unsuccessful,11.1,40.6,,
43,449011,Jovo Lukic,768,Bosnia and Herzegovina,4,FirstHalf,MissedShots,Successful,88.9,59.4,,
46,371029,Derek Cornelius,1160,Canada,5,FirstHalf,Pass,Successful,5.5,60.6,6.3,49
47,137263,Maxime Crépeau,1160,Canada,5,FirstHalf,Pass,Unsuccessful,9.5,47.2,72.6,26.4
45,110260,Sead Kolasinac,768,Bosnia and Herzegovina,5,FirstHalf,Pass,Successful,27.4,71.2,28.9,62.7
46,439533,Tarik Muharemovic,768,Bosnia and Herzegovina,5,FirstHalf,BallRecovery,Successful,28.9,62.7,,
47,439533,Tarik Muharemovic,768,Bosnia and Herzegovina,5,FirstHalf,Pass,Successful,28.8,61.7,10.8,51.2
48,145304,Nikola Vasilj,768,Bosnia and Herzegovina,5,FirstHalf,Pass,Unsuccessful,9,47,54.2,25.3
48,371029,Derek Cornelius,1160,Canada,5,FirstHalf,Pass,Unsuccessful,46.1,68.4,64.5,52.8
49,418212,Ivan Basic,768,Bosnia and Herzegovina,5,FirstHalf,Pass,Successful,35.9,52.5,35.2,76.7
50,110260,Sead Kolasinac,768,Bosnia and Herzegovina,5,FirstHalf,Pass,Unsuccessful,35.4,76.6,100,83.2
49,492688,Luc De Fougerolles,1160,Canada,5,FirstHalf,ShieldBallOpp,Successful,3.8,18,,
51,492688,Luc De Fougerolles,1160,Canada,5,FirstHalf,Pass,Successful,5.2,38.1,4.6,47.5
52,137263,Maxime Crépeau,1160,Canada,5,FirstHalf,Pass,Unsuccessful,4.3,48.9,42.9,100
53,418203,Amar Dedic,768,Bosnia and Herzegovina,6,FirstHalf,Pass,Successful,56.1,0,55.6,9.1
54,418212,Ivan Basic,768,Bosnia and Herzegovina,6,FirstHalf,Pass,Successful,55.6,9.1,55.1,2.5
55,418203,Amar Dedic,768,Bosnia and Herzegovina,6,FirstHalf,Pass,Unsuccessful,55.1,2.5,56.5,3.7
54,391821,Liam Millar,1160,Canada,6,FirstHalf,BlockedPass,Successful,43.5,96.3,,
57,418203,Amar Dedic,768,Bosnia and Herzegovina,6,FirstHalf,Pass,Successful,55.8,0,53.2,19.2
58,418212,Ivan Basic,768,Bosnia and Herzegovina,6,FirstHalf,Pass,Successful,53.2,19.2,36.3,38.5
59,439533,Tarik Muharemovic,768,Bosnia and Herzegovina,6,FirstHalf,Pass,Successful,34.8,40.9,38.4,20
60,363666,Nikola Katic,768,Bosnia and Herzegovina,6,FirstHalf,Pass,Unsuccessful,39.6,19.2,68.2,37
56,371029,Derek Cornelius,1160,Canada,6,FirstHalf,Pass,Successful,26.3,73.8,42.6,74.4
57,383855,Jonathan David,1160,Canada,6,FirstHalf,BallTouch,Unsuccessful,42.7,74.4,,
