eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,408,Colombia,0,FirstHalf,Start,Successful,0,0,,
2,,,340,Portugal,0,FirstHalf,Start,Successful,0,0,,
3,136904,Jhon Córdoba,408,Colombia,0,FirstHalf,Pass,Successful,50,50,37.3,42.2
4,424039,Jhon Arias,408,Colombia,0,FirstHalf,Pass,Successful,37.3,42.2,29.8,62.1
5,363653,Jhon Lucumí,408,Colombia,0,FirstHalf,Pass,Successful,29.5,62.7,32.4,69.7
6,472904,Gustavo Puerta,408,Colombia,0,FirstHalf,Pass,Successful,32.2,71.8,38.3,93.6
7,416148,Deiver Machado,408,Colombia,0,FirstHalf,Foul,Successful,57.4,93.2,,
3,337916,Pedro Neto,340,Portugal,0,FirstHalf,Foul,Unsuccessful,42.6,6.8,,
8,472904,Gustavo Puerta,408,Colombia,0,FirstHalf,Pass,Successful,56.5,93,46.4,82.9
9,133464,Jefferson Lerma,408,Colombia,0,FirstHalf,Pass,Successful,46.4,82.9,50.9,92.4
10,472904,Gustavo Puerta,408,Colombia,0,FirstHalf,Pass,Successful,42.1,88.4,28.3,90.8
11,363653,Jhon Lucumí,408,Colombia,0,FirstHalf,Pass,Successful,25.6,89.6,11.1,60.5
12,53362,Camilo Vargas,408,Colombia,0,FirstHalf,Pass,Successful,12.5,59.1,26.4,63.7
13,472904,Gustavo Puerta,408,Colombia,0,FirstHalf,Pass,Successful,26.4,63.7,26.4,86.8
14,363653,Jhon Lucumí,408,Colombia,0,FirstHalf,Pass,Successful,20.3,87.8,7.9,60.5
15,53362,Camilo Vargas,408,Colombia,0,FirstHalf,Pass,Successful,6.9,59,4.8,26.1
16,322655,Davinson Sánchez,408,Colombia,0,FirstHalf,Pass,Successful,33.9,32.1,85.8,75.4
11023,136904,Jhon Córdoba,408,Colombia,1,FirstHalf,OffsideGiven,Unsuccessful,67.4,33.1,,
17,377168,Luis Díaz,408,Colombia,1,FirstHalf,SavedShot,Successful,86.7,69.4,,
4,128967,João Cancelo,340,Portugal,1,FirstHalf,Save,Successful,9.7,35.9,,
66,313171,Rúben Dias,340,Portugal,1,FirstHalf,BallTouch,Successful,9.5,44.7,,
18,136904,Jhon Córdoba,408,Colombia,1,FirstHalf,MissedShots,Successful,92.6,46.7,,
6,373842,Diogo Costa,340,Portugal,1,FirstHalf,Pass,Successful,3.6,49.1,68,90.3
7,362431,João Félix,340,Portugal,1,FirstHalf,Pass,Unsuccessful,66.4,74.8,53,60.5
849,472904,Gustavo Puerta,408,Colombia,1,FirstHalf,BallRecovery,Successful,46.2,44.4,,
20,472904,Gustavo Puerta,408,Colombia,1,FirstHalf,Pass,Successful,44.6,36.6,39.3,8
21,88112,Santiago Arias,408,Colombia,1,FirstHalf,Pass,Successful,40.1,8.3,57.1,10.7
24,71182,James Rodríguez,408,Colombia,1,FirstHalf,Pass,Unsuccessful,56.8,10.7,55,12.9
31,395221,Nuno Mendes,340,Portugal,1,FirstHalf,BlockedPass,Successful,47.3,88.5,,
23,71182,James Rodríguez,408,Colombia,1,FirstHalf,OffsidePass,Successful,58,11.5,67.4,33.1
9,313171,Rúben Dias,340,Portugal,1,FirstHalf,OffsideProvoked,Successful,34,65.8,,
10,384887,Vitinha,340,Portugal,1,FirstHalf,Pass,Successful,32.1,68.1,24.9,69
11,434077,Renato Veiga,340,Portugal,1,FirstHalf,Pass,Successful,24.9,69,30.5,67.9
12,384887,Vitinha,340,Portugal,1,FirstHalf,Pass,Successful,30,59.7,30.9,28.5
13,313171,Rúben Dias,340,Portugal,2,FirstHalf,Pass,Successful,35.1,35.5,32.5,63.6
14,434077,Renato Veiga,340,Portugal,2,FirstHalf,Pass,Successful,32.9,64,36.2,32.4
15,313171,Rúben Dias,340,Portugal,2,FirstHalf,Pass,Successful,35.9,30.4,41.9,26.7
16,238244,Rúben Neves,340,Portugal,2,FirstHalf,Pass,Successful,38.1,33.3,31.1,62.1
17,434077,Renato Veiga,340,Portugal,2,FirstHalf,Pass,Successful,32,66,44.6,95.3
18,395221,Nuno Mendes,340,Portugal,2,FirstHalf,Pass,Successful,44.9,95.3,32.2,76.6
19,434077,Renato Veiga,340,Portugal,2,FirstHalf,Pass,Successful,37.1,65.8,42,87.5
20,384887,Vitinha,340,Portugal,2,FirstHalf,Pass,Successful,39.8,71.5,36.9,38.6
21,313171,Rúben Dias,340,Portugal,2,FirstHalf,Pass,Successful,37,39.5,36.6,63.6
22,434077,Renato Veiga,340,Portugal,2,FirstHalf,Pass,Successful,38.7,71.5,46.4,95.3
23,395221,Nuno Mendes,340,Portugal,2,FirstHalf,Pass,Successful,45.4,93,33.4,70.6
24,434077,Renato Veiga,340,Portugal,2,FirstHalf,Pass,Successful,31.7,63.7,36,86.8
25,384887,Vitinha,340,Portugal,2,FirstHalf,Pass,Successful,51.5,64,55.4,6.7
26,128967,João Cancelo,340,Portugal,2,FirstHalf,Pass,Successful,57.4,7.9,64.6,2.3
27,337916,Pedro Neto,340,Portugal,2,FirstHalf,Pass,Successful,64.6,2.3,59.6,18
28,384887,Vitinha,340,Portugal,3,FirstHalf,Pass,Successful,63.7,37.3,59.1,74.4
29,434077,Renato Veiga,340,Portugal,3,FirstHalf,Pass,Successful,59.1,74.4,66.7,96.2
30,395221,Nuno Mendes,340,Portugal,3,FirstHalf,Foul,Successful,70.8,95.3,,
25,424039,Jhon Arias,408,Colombia,3,FirstHalf,Foul,Unsuccessful,29.1,4.8,,
32,123761,Bruno Fernandes,340,Portugal,3,FirstHalf,Pass,Successful,71.2,92,87,82.2
33,395221,Nuno Mendes,340,Portugal,3,FirstHalf,Dispossessed,Successful,92.2,81,,
26,424039,Jhon Arias,408,Colombia,3,FirstHalf,Tackle,Unsuccessful,7.8,19,,
34,395221,Nuno Mendes,340,Portugal,3,FirstHalf,BallTouch,Successful,92.2,80.5,,
27,424039,Jhon Arias,408,Colombia,3,FirstHalf,BallRecovery,Successful,3.9,15.3,,
28,424039,Jhon Arias,408,Colombia,3,FirstHalf,Pass,Successful,2.7,14.3,3.4,2.9
29,88112,Santiago Arias,408,Colombia,3,FirstHalf,Pass,Unsuccessful,1.6,1.3,20.7,31.9
37,238244,Rúben Neves,340,Portugal,3,FirstHalf,BallRecovery,Successful,81.3,69.1,,
35,238244,Rúben Neves,340,Portugal,3,FirstHalf,MissedShots,Successful,81.1,71.1,,
31,53362,Camilo Vargas,408,Colombia,4,FirstHalf,Pass,Successful,4.2,45.2,8.6,28.5
32,322655,Davinson Sánchez,408,Colombia,4,FirstHalf,Pass,Unsuccessful,13.4,13.1,47.2,25.2
38,395221,Nuno Mendes,340,Portugal,4,FirstHalf,BallTouch,Successful,53.8,74.8,,
39,434077,Renato Veiga,340,Portugal,4,FirstHalf,BallRecovery,Successful,52.8,86.8,,
40,434077,Renato Veiga,340,Portugal,4,FirstHalf,Pass,Unsuccessful,52.8,86.8,77.1,100
34,88112,Santiago Arias,408,Colombia,4,FirstHalf,Pass,Successful,24.5,0,20.1,6.8
35,322655,Davinson Sánchez,408,Colombia,4,FirstHalf,Pass,Unsuccessful,17.3,7.7,85.4,16.2
42,434077,Renato Veiga,340,Portugal,4,FirstHalf,Clearance,Successful,12.5,83.3,13.2,100
37,472904,Gustavo Puerta,408,Colombia,5,FirstHalf,Pass,Unsuccessful,87.4,0,95.5,42.1
44,434077,Renato Veiga,340,Portugal,5,FirstHalf,Clearance,Successful,2,54.6,13,61.5
38,424039,Jhon Arias,408,Colombia,5,FirstHalf,Pass,Successful,86,33.3,85.3,55.8
39,377168,Luis Díaz,408,Colombia,5,FirstHalf,MissedShots,Successful,85.3,55.8,,
45,434077,Renato Veiga,340,Portugal,5,FirstHalf,Clearance,Successful,7.9,53.7,13.8,61.4
46,384887,Vitinha,340,Portugal,5,FirstHalf,Aerial,Successful,13.8,61.4,,
40,71182,James Rodríguez,408,Colombia,5,FirstHalf,Aerial,Unsuccessful,86.2,38.6,,
47,384887,Vitinha,340,Portugal,5,FirstHalf,Clearance,Successful,13.8,61.4,15.6,51.6
48,238244,Rúben Neves,340,Portugal,5,FirstHalf,Clearance,Successful,15.6,51.6,55.2,54.9
41,363653,Jhon Lucumí,408,Colombia,5,FirstHalf,BallTouch,Unsuccessful,44.5,45.4,,
49,5583,Cristiano Ronaldo,340,Portugal,5,FirstHalf,BallRecovery,Successful,55.3,71.1,,
50,5583,Cristiano Ronaldo,340,Portugal,5,FirstHalf,Pass,Successful,55.3,71.1,43.7,88.1
51,123761,Bruno Fernandes,340,Portugal,5,FirstHalf,Pass,Unsuccessful,50.3,88.1,58.3,69.6
42,133464,Jefferson Lerma,408,Colombia,5,FirstHalf,Interception,Successful,41.7,30.4,,
53,395221,Nuno Mendes,340,Portugal,5,FirstHalf,Pass,Successful,53.9,100,76.7,87.2
54,123761,Bruno Fernandes,340,Portugal,5,FirstHalf,Pass,Successful,76.7,87.2,76,96.3
55,362431,João Félix,340,Portugal,5,FirstHalf,TakeOn,Unsuccessful,77,94.8,,
44,322655,Davinson Sánchez,408,Colombia,5,FirstHalf,Tackle,Unsuccessful,23,5.2,,
56,362431,João Félix,340,Portugal,5,FirstHalf,BallTouch,Successful,75.7,94.7,,
46,133464,Jefferson Lerma,408,Colombia,5,FirstHalf,Pass,Unsuccessful,18.1,5.9,19.6,3.8
57,362431,João Félix,340,Portugal,5,FirstHalf,BlockedPass,Successful,80.4,96.2,,
60,395221,Nuno Mendes,340,Portugal,6,FirstHalf,Pass,Successful,63.5,100,35,87.7
61,434077,Renato Veiga,340,Portugal,6,FirstHalf,Pass,Successful,35,87.7,34.3,54.9
62,313171,Rúben Dias,340,Portugal,6,FirstHalf,Pass,Successful,44.9,46,65.4,66.3
63,123761,Bruno Fernandes,340,Portugal,6,FirstHalf,Pass,Successful,65.4,66.3,77.5,93.8
64,362431,João Félix,340,Portugal,6,FirstHalf,Pass,Unsuccessful,74.6,88,100,25.9
50,322655,Davinson Sánchez,408,Colombia,6,FirstHalf,Pass,Successful,4.1,40,3.8,47.3
51,53362,Camilo Vargas,408,Colombia,7,FirstHalf,Pass,Successful,9.8,51.6,64.7,40.4
52,136904,Jhon Córdoba,408,Colombia,7,FirstHalf,Pass,Successful,72.9,49.9,76.2,76.5
53,71182,James Rodríguez,408,Colombia,7,FirstHalf,Pass,Unsuccessful,77.6,79.1,100,35.8
68,373842,Diogo Costa,340,Portugal,7,FirstHalf,Pass,Successful,4.3,51.2,78.9,24.9
69,337916,Pedro Neto,340,Portugal,7,FirstHalf,Pass,Successful,74.7,28.9,68.9,43.9
70,238244,Rúben Neves,340,Portugal,7,FirstHalf,Pass,Successful,68.9,43.9,69.9,64
71,123761,Bruno Fernandes,340,Portugal,7,FirstHalf,Pass,Successful,70.7,59,97.2,10.6
72,128967,João Cancelo,340,Portugal,7,FirstHalf,Pass,Successful,85.6,7.4,66.1,8.9
73,238244,Rúben Neves,340,Portugal,7,FirstHalf,Pass,Successful,66.1,8.9,65.5,28.5
74,337916,Pedro Neto,340,Portugal,8,FirstHalf,Pass,Successful,66.5,32.5,73.1,37
75,123761,Bruno Fernandes,340,Portugal,8,FirstHalf,Pass,Successful,74.6,38,67.8,36
76,384887,Vitinha,340,Portugal,8,FirstHalf,Pass,Successful,67.8,35.5,63.9,10
77,238244,Rúben Neves,340,Portugal,8,FirstHalf,Pass,Unsuccessful,63.9,10,100,8.8
57,53362,Camilo Vargas,408,Colombia,8,FirstHalf,Pass,Successful,3.8,50.9,10.2,39.2
58,322655,Davinson Sánchez,408,Colombia,8,FirstHalf,Pass,Unsuccessful,12.5,27.7,64.9,16.7
79,434077,Renato Veiga,340,Portugal,8,FirstHalf,Pass,Successful,29.7,84.1,40.1,76
81,384887,Vitinha,340,Portugal,8,FirstHalf,BallRecovery,Successful,38.3,81.2,,
80,384887,Vitinha,340,Portugal,8,FirstHalf,Pass,Successful,40.1,76,34.6,94.4
82,395221,Nuno Mendes,340,Portugal,8,FirstHalf,Pass,Successful,34.6,94.4,35.2,85.6
83,384887,Vitinha,340,Portugal,8,FirstHalf,Pass,Successful,35.8,81.1,28.6,48.1
84,313171,Rúben Dias,340,Portugal,8,FirstHalf,Pass,Successful,31.5,42.5,43.1,1.4
59,377168,Luis Díaz,408,Colombia,8,FirstHalf,Challenge,Unsuccessful,57.1,93,,
85,337916,Pedro Neto,340,Portugal,8,FirstHalf,TakeOn,Successful,42.9,7,,
86,337916,Pedro Neto,340,Portugal,8,FirstHalf,Pass,Successful,40.4,19.4,40,27.7
87,384887,Vitinha,340,Portugal,8,FirstHalf,Pass,Successful,41.2,35.8,76.2,94.2
88,395221,Nuno Mendes,340,Portugal,8,FirstHalf,TakeOn,Unsuccessful,82.6,91.8,,
60,88112,Santiago Arias,408,Colombia,8,FirstHalf,Tackle,Unsuccessful,17.4,8.2,,
91,395221,Nuno Mendes,340,Portugal,9,FirstHalf,BallTouch,Unsuccessful,93.1,92.9,,
63,322655,Davinson Sánchez,408,Colombia,9,FirstHalf,Pass,Successful,3.2,40.7,5.3,48.1
64,53362,Camilo Vargas,408,Colombia,9,FirstHalf,Pass,Successful,8.5,52.2,12.4,38.9
65,322655,Davinson Sánchez,408,Colombia,9,FirstHalf,Pass,Successful,10.3,33,14.3,7.9
66,88112,Santiago Arias,408,Colombia,9,FirstHalf,Pass,Successful,14.7,7.3,28.3,5.9
67,424039,Jhon Arias,408,Colombia,9,FirstHalf,Pass,Successful,25.5,12.9,20.1,22.5
68,322655,Davinson Sánchez,408,Colombia,9,FirstHalf,Pass,Successful,22.9,28.8,8.1,49.3
69,53362,Camilo Vargas,408,Colombia,9,FirstHalf,Pass,Successful,8,50.3,20.1,80
70,363653,Jhon Lucumí,408,Colombia,9,FirstHalf,Pass,Successful,23.8,80.8,27.4,72.4
71,472904,Gustavo Puerta,408,Colombia,9,FirstHalf,Pass,Successful,31.9,71.2,40.7,65.1
72,377168,Luis Díaz,408,Colombia,9,FirstHalf,Pass,Successful,38.4,62.6,37.1,55.4
73,133464,Jefferson Lerma,408,Colombia,9,FirstHalf,Pass,Successful,37.1,55.4,42.6,71.2
74,472904,Gustavo Puerta,408,Colombia,9,FirstHalf,Pass,Successful,42.1,73,42.4,77.5
75,71182,James Rodríguez,408,Colombia,9,FirstHalf,Pass,Successful,42.4,77.5,42.9,63
76,377168,Luis Díaz,408,Colombia,10,FirstHalf,Pass,Successful,43.9,62.9,37.3,24.9
77,322655,Davinson Sánchez,408,Colombia,10,FirstHalf,Pass,Successful,39.7,23,51,24.4
78,133464,Jefferson Lerma,408,Colombia,10,FirstHalf,Pass,Successful,51,24.4,57.7,4.7
79,88112,Santiago Arias,408,Colombia,10,FirstHalf,Pass,Successful,57.7,4.7,53.9,13.4
80,133464,Jefferson Lerma,408,Colombia,10,FirstHalf,Pass,Unsuccessful,53.9,13.4,73.8,8.9
92,434077,Renato Veiga,340,Portugal,10,FirstHalf,Clearance,Successful,22.6,88.9,44.6,73.9
81,472904,Gustavo Puerta,408,Colombia,10,FirstHalf,Pass,Successful,56.4,21.8,58.2,13.7
82,133464,Jefferson Lerma,408,Colombia,10,FirstHalf,Pass,Unsuccessful,58.2,13.7,61.4,19.4
95,384887,Vitinha,340,Portugal,10,FirstHalf,BallRecovery,Successful,38.6,82.6,,
93,384887,Vitinha,340,Portugal,10,FirstHalf,Pass,Successful,33.4,70,33.7,53
94,238244,Rúben Neves,340,Portugal,10,FirstHalf,Pass,Unsuccessful,33.5,51.9,35.9,49.9
117,71182,James Rodríguez,408,Colombia,10,FirstHalf,BallTouch,Successful,65.3,47.9,,
96,337916,Pedro Neto,340,Portugal,10,FirstHalf,Pass,Successful,36.5,5.5,31.3,10
97,128967,João Cancelo,340,Portugal,10,FirstHalf,Pass,Successful,31.3,10,15.3,27.4
98,313171,Rúben Dias,340,Portugal,10,FirstHalf,Pass,Successful,15.3,27.4,20.6,56.1
99,434077,Renato Veiga,340,Portugal,10,FirstHalf,Pass,Successful,20.4,65.2,29,91.5
100,395221,Nuno Mendes,340,Portugal,10,FirstHalf,Pass,Successful,29,91.5,19.4,69.1
101,434077,Renato Veiga,340,Portugal,10,FirstHalf,Pass,Successful,19.1,66.3,24.4,33.3
102,313171,Rúben Dias,340,Portugal,10,FirstHalf,Pass,Successful,24.5,32.4,32,11.4
103,128967,João Cancelo,340,Portugal,10,FirstHalf,Pass,Successful,32,10.9,18.5,26.4
104,313171,Rúben Dias,340,Portugal,10,FirstHalf,Pass,Successful,31.8,42.7,37.3,46.9
105,384887,Vitinha,340,Portugal,10,FirstHalf,Pass,Successful,37.3,46.9,29.7,58.5
106,434077,Renato Veiga,340,Portugal,10,FirstHalf,Pass,Successful,30.3,59.9,39.5,61.7
