eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,337,Croatia,0,FirstHalf,Start,Successful,0,0,,
2,,,965,Ghana,0,FirstHalf,Start,Successful,0,0,,
3,20874,Luka Modric,337,Croatia,0,FirstHalf,Pass,Successful,50,50,41.3,54.9
4,93894,Mateo Kovacic,337,Croatia,0,FirstHalf,Pass,Successful,40.3,53,40,23.2
5,413272,Josip Stanisic,337,Croatia,0,FirstHalf,Pass,Successful,39.6,25.7,31.7,34.6
6,402666,Josip Sutalo,337,Croatia,0,FirstHalf,Pass,Successful,32,38.7,29.8,60.9
7,336048,Marin Pongracic,337,Croatia,0,FirstHalf,Pass,Successful,30.7,69.3,36.5,95.4
8,70524,Ivan Perisic,337,Croatia,0,FirstHalf,Pass,Successful,35.1,94.8,44.2,95.9
9,407944,Martin Baturina,337,Croatia,0,FirstHalf,Foul,Successful,42.4,95,,
3,404952,Marvin Senaya,965,Ghana,0,FirstHalf,Foul,Unsuccessful,57.6,5,,
10,70524,Ivan Perisic,337,Croatia,0,FirstHalf,Pass,Successful,44.3,95.9,39.3,94.3
11,93894,Mateo Kovacic,337,Croatia,0,FirstHalf,Pass,Successful,38.1,85.1,33,41.6
12,402666,Josip Sutalo,337,Croatia,0,FirstHalf,Pass,Successful,39.4,39.3,36.7,60.2
13,336048,Marin Pongracic,337,Croatia,0,FirstHalf,Pass,Successful,36.4,59.5,37.1,38.2
14,402666,Josip Sutalo,337,Croatia,0,FirstHalf,Pass,Successful,39.5,38.2,42,62.3
15,336048,Marin Pongracic,337,Croatia,0,FirstHalf,Pass,Successful,42.6,65.4,43.6,76
16,93894,Mateo Kovacic,337,Croatia,0,FirstHalf,Pass,Successful,43,68.7,38.9,38.7
17,402666,Josip Sutalo,337,Croatia,0,FirstHalf,Pass,Successful,41,34.8,44.5,29.3
18,20874,Luka Modric,337,Croatia,0,FirstHalf,Pass,Successful,42.3,27.4,34.6,40.2
19,402666,Josip Sutalo,337,Croatia,1,FirstHalf,Pass,Successful,36.6,43,42.7,53.7
20,93894,Mateo Kovacic,337,Croatia,1,FirstHalf,Pass,Successful,41.2,39.1,39.1,32.2
21,20874,Luka Modric,337,Croatia,1,FirstHalf,Pass,Successful,39.4,34,38.2,59.5
22,336048,Marin Pongracic,337,Croatia,1,FirstHalf,Pass,Successful,41.5,61.2,56.9,95.6
23,70524,Ivan Perisic,337,Croatia,1,FirstHalf,Pass,Successful,61.1,94,56.4,84.6
24,93894,Mateo Kovacic,337,Croatia,1,FirstHalf,Pass,Successful,57.8,75.6,52.9,43
