eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,332,Czechia,0,FirstHalf,Start,Successful,0,0,,
2,,,425,Denmark,0,FirstHalf,Start,Successful,0,0,,
3,243565,Patrik Schick,332,Czechia,0,FirstHalf,Pass,Successful,50,50,25.3,52.7
4,388668,Matej Kovár,332,Czechia,0,FirstHalf,Pass,Unsuccessful,25.3,52.7,62.1,89.9
3,401520,Alexander Bah,425,Denmark,0,FirstHalf,Pass,Unsuccessful,35.3,8.5,54.7,2.4
5,404245,Ladislav Krejcí,332,Czechia,0,FirstHalf,Pass,Unsuccessful,46.7,94.9,62.3,100
5,401520,Alexander Bah,425,Denmark,0,FirstHalf,Pass,Unsuccessful,43.6,0,67.8,6.3
7,404245,Ladislav Krejcí,332,Czechia,0,FirstHalf,Pass,Successful,31.5,87.4,38.2,89.6
8,412171,Pavel Sulc,332,Czechia,0,FirstHalf,Pass,Unsuccessful,38.2,89.6,45.5,92
6,231135,Joachim Andersen,425,Denmark,0,FirstHalf,Pass,Unsuccessful,52.7,8.4,74.9,9.9
9,404245,Ladislav Krejcí,332,Czechia,0,FirstHalf,Clearance,Successful,23.4,91.4,44.7,70.9
10,383685,Lukás Provod,332,Czechia,0,FirstHalf,Pass,Unsuccessful,44.4,70.3,59.7,76.8
7,231135,Joachim Andersen,425,Denmark,0,FirstHalf,Pass,Unsuccessful,40.4,5.7,74.5,4.2
11,404245,Ladislav Krejcí,332,Czechia,0,FirstHalf,Pass,Unsuccessful,24.4,89.3,29.2,90
8,504208,Victor Froholdt,425,Denmark,0,FirstHalf,Pass,Successful,73.8,6.5,76.2,9.8
9,439584,Rasmus Højlund,425,Denmark,0,FirstHalf,BallTouch,Unsuccessful,76.6,17.2,,
12,143595,Tomás Soucek,332,Czechia,0,FirstHalf,Pass,Unsuccessful,25.9,75,48.4,89.7
11,231135,Joachim Andersen,425,Denmark,0,FirstHalf,Pass,Successful,53.8,14.4,56.9,17.7
12,403647,Morten Hjulmand,425,Denmark,0,FirstHalf,Pass,Successful,56.9,17.7,48.5,14.8
13,231135,Joachim Andersen,425,Denmark,0,FirstHalf,Pass,Successful,46.9,15,52.3,21.3
14,403647,Morten Hjulmand,425,Denmark,0,FirstHalf,Pass,Successful,51.3,20.3,32.4,50.3
15,376805,Victor Nelsson,425,Denmark,0,FirstHalf,Pass,Successful,32.4,50.3,37.1,58.2
16,101859,Pierre-Emile Højbjerg,425,Denmark,0,FirstHalf,Pass,Successful,37.1,58.2,35.5,24.2
17,231135,Joachim Andersen,425,Denmark,0,FirstHalf,Pass,Successful,39.8,25.3,47.9,41.5
18,403647,Morten Hjulmand,425,Denmark,1,FirstHalf,Pass,Successful,47.1,32.4,59.3,13.6
19,401520,Alexander Bah,425,Denmark,1,FirstHalf,Pass,Unsuccessful,59.4,13,60.4,12.1
13,404245,Ladislav Krejcí,332,Czechia,1,FirstHalf,BlockedPass,Successful,39.6,87.9,,
21,401520,Alexander Bah,425,Denmark,1,FirstHalf,Pass,Successful,58.4,0,64.9,10.9
22,401168,Mikkel Damsgaard,425,Denmark,1,FirstHalf,Pass,Successful,64.9,10.9,63.1,3.6
23,403648,Gustav Isaksen,425,Denmark,1,FirstHalf,Pass,Successful,63.2,4.1,60.7,16.3
24,403647,Morten Hjulmand,425,Denmark,1,FirstHalf,Pass,Successful,65.9,20.4,60.6,87.6
25,363652,Joakim Mæhle,425,Denmark,1,FirstHalf,Pass,Successful,61.2,84.6,53.4,80.5
26,101859,Pierre-Emile Højbjerg,425,Denmark,1,FirstHalf,Pass,Successful,53.4,80.5,63.4,64.6
27,403647,Morten Hjulmand,425,Denmark,1,FirstHalf,Pass,Unsuccessful,64.1,64.4,100,78.8
16,388668,Matej Kovár,332,Czechia,1,FirstHalf,Pass,Successful,4.9,50.5,36.3,95
17,363731,Jaroslav Zeleny,332,Czechia,2,FirstHalf,Pass,Successful,33.8,85.2,34.9,69.1
18,143595,Tomás Soucek,332,Czechia,2,FirstHalf,Pass,Successful,34.9,69.1,39.3,95.9
19,84130,Vladimír Darida,332,Czechia,2,FirstHalf,Pass,Successful,39.2,95.9,32.1,80.5
20,363731,Jaroslav Zeleny,332,Czechia,2,FirstHalf,Pass,Successful,29.5,75.2,23.7,49.8
21,428031,Robin Hranác,332,Czechia,2,FirstHalf,Pass,Successful,23.6,49.5,31.4,16
22,499961,Stepán Chaloupek,332,Czechia,2,FirstHalf,Pass,Successful,31.9,15.7,93.2,5
23,383685,Lukás Provod,332,Czechia,2,FirstHalf,Pass,Unsuccessful,98.5,5.6,98.1,9.8
29,231135,Joachim Andersen,425,Denmark,2,FirstHalf,Clearance,Successful,1.9,90.2,,
24,383685,Lukás Provod,332,Czechia,2,FirstHalf,CornerAwarded,Successful,98.6,8.5,,
30,231135,Joachim Andersen,425,Denmark,2,FirstHalf,CornerAwarded,Unsuccessful,1.4,91.5,,
25,111372,Vladimír Coufal,332,Czechia,2,FirstHalf,Pass,Unsuccessful,99.5,0.5,91.6,51.1
31,363652,Joakim Mæhle,425,Denmark,2,FirstHalf,Clearance,Successful,8.7,46.6,16.5,40.1
26,412171,Pavel Sulc,332,Czechia,2,FirstHalf,Goal,Successful,84.3,56.4,,
32,439584,Rasmus Højlund,425,Denmark,3,FirstHalf,Pass,Successful,50.2,50.2,38,63
33,376805,Victor Nelsson,425,Denmark,4,FirstHalf,Pass,Successful,37.1,62.7,36.2,32.7
34,231135,Joachim Andersen,425,Denmark,4,FirstHalf,Pass,Successful,39.7,37.6,38.9,61.7
35,376805,Victor Nelsson,425,Denmark,4,FirstHalf,Pass,Successful,39.7,63.8,42.8,85.5
36,363652,Joakim Mæhle,425,Denmark,4,FirstHalf,Pass,Successful,42.8,85.5,48.6,67.3
37,403647,Morten Hjulmand,425,Denmark,4,FirstHalf,Pass,Successful,47.4,73.3,55,87.7
38,401168,Mikkel Damsgaard,425,Denmark,4,FirstHalf,Pass,Unsuccessful,55,87.7,57,85.3
27,499961,Stepán Chaloupek,332,Czechia,4,FirstHalf,BlockedPass,Successful,43,14.7,,
