eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,495,Morocco,0,FirstHalf,Start,Successful,0,0,,
2,,,341,France,0,FirstHalf,Start,Successful,0,0,,
3,392361,Azzedine Ounahi,495,Morocco,0,FirstHalf,Pass,Unsuccessful,50,50,81.5,0
4,89925,Lucas Digne,341,France,0,FirstHalf,Pass,Successful,23.1,100,21.1,47.1
5,327721,Dayot Upamecano,341,France,0,FirstHalf,Pass,Successful,20.9,39.4,25.4,15.9
6,301019,Jules Koundé,341,France,0,FirstHalf,Pass,Successful,26,11.9,37.7,8.2
7,371281,Michael Olise,341,France,0,FirstHalf,Pass,Successful,34.6,5.7,23.2,21
8,327721,Dayot Upamecano,341,France,0,FirstHalf,Pass,Successful,22.5,23.3,14.5,48.2
9,141646,Mike Maignan,341,France,0,FirstHalf,Pass,Successful,14.2,49.5,23.5,75.9
10,361822,William Saliba,341,France,0,FirstHalf,Pass,Successful,24.7,79.6,29.7,93.2
11,89925,Lucas Digne,341,France,0,FirstHalf,Pass,Successful,29.3,93.8,13.4,84.7
12,361822,William Saliba,341,France,0,FirstHalf,Pass,Successful,12.5,84.3,3.7,57.1
13,141646,Mike Maignan,341,France,0,FirstHalf,Pass,Successful,5,54.2,12,26.8
14,327721,Dayot Upamecano,341,France,0,FirstHalf,Pass,Unsuccessful,18.3,14.5,20.1,15.1
5,392361,Azzedine Ounahi,495,Morocco,0,FirstHalf,BlockedPass,Successful,79.9,84.9,,
16,301019,Jules Koundé,341,France,0,FirstHalf,Pass,Unsuccessful,20.1,0,41,22.6
7,504830,Ayyoub Bouaddi,495,Morocco,0,FirstHalf,Pass,Successful,58.1,86.7,67.9,75.7
8,433572,Bilal El Khannouss,495,Morocco,1,FirstHalf,Pass,Unsuccessful,67.9,75.7,63.6,95.8
89,369570,Manu Koné,341,France,1,FirstHalf,BallRecovery,Successful,43.7,7.4,,
17,369570,Manu Koné,341,France,1,FirstHalf,Foul,Successful,42.2,5.8,,
9,486734,Neil El Aynaoui,495,Morocco,1,FirstHalf,Foul,Unsuccessful,57.8,94.2,,
18,301019,Jules Koundé,341,France,1,FirstHalf,Pass,Successful,52.6,7.1,43.2,35.4
19,371281,Michael Olise,341,France,1,FirstHalf,Pass,Successful,43.7,35.1,42.1,60.5
20,361822,William Saliba,341,France,1,FirstHalf,Pass,Successful,41.7,63.5,45.5,86.2
21,89925,Lucas Digne,341,France,1,FirstHalf,Pass,Successful,45.1,88.5,35.6,71.8
22,361822,William Saliba,341,France,1,FirstHalf,Pass,Successful,35.3,70.9,33.3,43.6
23,327721,Dayot Upamecano,341,France,1,FirstHalf,Pass,Successful,37,42.4,42.2,19.2
24,369570,Manu Koné,341,France,1,FirstHalf,Pass,Unsuccessful,52.5,13.5,66.1,37.6
