eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,957,Senegal,0,FirstHalf,Start,Successful,0,0,,
2,,,341,France,0,FirstHalf,Start,Successful,0,0,,
3,353423,Aurélien Tchouaméni,341,France,0,FirstHalf,Pass,Unsuccessful,49.9,49.8,84,100
4,335692,Krépin Diatta,957,Senegal,0,FirstHalf,Pass,Successful,19.1,0,27.3,6.5
5,447689,Lamine Camara,957,Senegal,0,FirstHalf,Pass,Successful,27.3,6.5,22.7,6.7
6,335692,Krépin Diatta,957,Senegal,0,FirstHalf,Pass,Unsuccessful,22.7,6.7,43.7,9.9
5,303115,Théo Hernández,341,France,0,FirstHalf,Pass,Unsuccessful,58,88.9,79,69.9
7,90880,Kalidou Koulibaly,957,Senegal,0,FirstHalf,Interception,Successful,21,30.1,,
8,90880,Kalidou Koulibaly,957,Senegal,0,FirstHalf,Pass,Unsuccessful,24.4,27.4,61.6,71
6,301019,Jules Koundé,341,France,0,FirstHalf,Pass,Unsuccessful,38.5,25.6,45,25.6
7,371281,Michael Olise,341,France,0,FirstHalf,Challenge,Unsuccessful,42.4,30.4,,
9,109915,Sadio Mané,957,Senegal,0,FirstHalf,TakeOn,Successful,57.6,69.6,,
10,109915,Sadio Mané,957,Senegal,0,FirstHalf,Pass,Successful,59.1,74.1,64.8,71.6
11,426050,Nicolas Jackson,957,Senegal,0,FirstHalf,Pass,Successful,65.2,71.6,59,77.7
12,109915,Sadio Mané,957,Senegal,0,FirstHalf,Pass,Successful,59,82.2,63.3,95.8
13,479288,El Hadji Malick Diouf,957,Senegal,0,FirstHalf,Pass,Successful,63.1,95.8,37.3,76
14,296319,Moussa Niakhaté,957,Senegal,0,FirstHalf,Pass,Successful,37.2,76,41.7,72.4
15,399047,Pape Gueye,957,Senegal,0,FirstHalf,Pass,Successful,38.5,69,32.2,45
16,90880,Kalidou Koulibaly,957,Senegal,0,FirstHalf,Pass,Successful,30.8,41.6,37.9,5.6
17,335692,Krépin Diatta,957,Senegal,0,FirstHalf,Pass,Successful,39.1,19.1,47.2,29.2
18,80464,Idrissa Gueye,957,Senegal,0,FirstHalf,Pass,Successful,51.5,29.3,69,36.6
19,426050,Nicolas Jackson,957,Senegal,0,FirstHalf,Pass,Successful,69.8,37.4,61.5,46.5
20,447689,Lamine Camara,957,Senegal,0,FirstHalf,Pass,Successful,67.6,64,72.3,78.8
21,109915,Sadio Mané,957,Senegal,1,FirstHalf,Pass,Successful,72.9,78.6,87.7,89.8
22,479288,El Hadji Malick Diouf,957,Senegal,1,FirstHalf,Pass,Unsuccessful,89.2,90.4,95.9,44.3
8,303115,Théo Hernández,341,France,1,FirstHalf,Clearance,Successful,4.3,55.5,0,72.9
23,479288,El Hadji Malick Diouf,957,Senegal,1,FirstHalf,CornerAwarded,Successful,99.4,34,,
9,303115,Théo Hernández,341,France,1,FirstHalf,CornerAwarded,Unsuccessful,0.6,66,,
24,479288,El Hadji Malick Diouf,957,Senegal,2,FirstHalf,Pass,Successful,99.5,0.5,94,5.4
10,141646,Mike Maignan,341,France,2,FirstHalf,Foul,Successful,3.4,51.3,,
27,426050,Nicolas Jackson,957,Senegal,2,FirstHalf,Foul,Unsuccessful,96.6,48.7,,
11,141646,Mike Maignan,341,France,2,FirstHalf,Pass,Successful,7.1,49.1,12.4,61.3
12,361822,William Saliba,341,France,2,FirstHalf,Pass,Successful,30,64.4,32.1,36.7
13,327721,Dayot Upamecano,341,France,2,FirstHalf,Pass,Successful,32.5,36.4,30.5,53.3
14,361822,William Saliba,341,France,2,FirstHalf,Pass,Successful,29.2,57.7,34.4,69.6
15,353423,Aurélien Tchouaméni,341,France,2,FirstHalf,Pass,Successful,35.5,71.2,35.9,38.2
16,327721,Dayot Upamecano,341,France,2,FirstHalf,Pass,Successful,37.8,30.1,52.4,9.7
17,301019,Jules Koundé,341,France,2,FirstHalf,Pass,Successful,53.3,8.3,33.4,16.6
18,327721,Dayot Upamecano,341,France,3,FirstHalf,Pass,Successful,38.3,17.4,30.1,50.8
19,361822,William Saliba,341,France,3,FirstHalf,Pass,Successful,31.6,52.6,33.8,30
20,327721,Dayot Upamecano,341,France,3,FirstHalf,Pass,Successful,35.7,30.6,30.4,53.9
21,361822,William Saliba,341,France,3,FirstHalf,Pass,Successful,30.4,54.1,36.5,43
22,371281,Michael Olise,341,France,3,FirstHalf,Pass,Successful,35.2,43.6,26.4,19.4
23,327721,Dayot Upamecano,341,France,3,FirstHalf,Pass,Successful,26.1,17.4,45.7,23.2
24,299513,Ousmane Dembélé,341,France,3,FirstHalf,Pass,Successful,45.6,23.5,46.2,30.9
25,116609,Adrien Rabiot,341,France,3,FirstHalf,Pass,Successful,46.3,31.2,73.8,64.6
26,300713,Kylian Mbappé,341,France,3,FirstHalf,TakeOn,Unsuccessful,74.2,64,,
29,335692,Krépin Diatta,957,Senegal,3,FirstHalf,Tackle,Successful,25.8,36,,
30,399047,Pape Gueye,957,Senegal,3,FirstHalf,BallRecovery,Successful,31.3,48.2,,
31,399047,Pape Gueye,957,Senegal,3,FirstHalf,Pass,Successful,32.7,49.8,23.9,50.5
32,90880,Kalidou Koulibaly,957,Senegal,3,FirstHalf,Pass,Unsuccessful,22.2,49.9,33.9,64.2
33,109915,Sadio Mané,957,Senegal,3,FirstHalf,Foul,Successful,36.7,65.6,,
27,116609,Adrien Rabiot,341,France,3,FirstHalf,Foul,Unsuccessful,63.3,34.4,,
34,296319,Moussa Niakhaté,957,Senegal,4,FirstHalf,Pass,Successful,35.9,71.2,19.9,67
35,321390,Édouard Mendy,957,Senegal,4,FirstHalf,Pass,Unsuccessful,20.2,67.4,67.6,77.2
28,301019,Jules Koundé,341,France,4,FirstHalf,Pass,Successful,30.2,20.4,38.5,15.6
29,116609,Adrien Rabiot,341,France,4,FirstHalf,BallRecovery,Successful,39.9,13.5,,
30,116609,Adrien Rabiot,341,France,4,FirstHalf,Pass,Successful,42.1,8,30.7,7.6
31,301019,Jules Koundé,341,France,4,FirstHalf,Pass,Successful,30.9,7.7,24.7,25.4
32,327721,Dayot Upamecano,341,France,4,FirstHalf,Pass,Successful,23.6,27,15.4,59.9
33,141646,Mike Maignan,341,France,4,FirstHalf,Pass,Successful,15.4,59.9,15.9,78.3
34,361822,William Saliba,341,France,4,FirstHalf,Pass,Successful,18.7,81.5,25.2,70.2
35,353423,Aurélien Tchouaméni,341,France,4,FirstHalf,Pass,Successful,25.2,70.2,29.3,91.2
36,303115,Théo Hernández,341,France,4,FirstHalf,Pass,Successful,29.3,91.2,25.8,72.6
