eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,336,Germany,0,FirstHalf,Start,Successful,0,0,,
2,,,10649,Curacao,0,FirstHalf,Start,Successful,0,0,,
3,107622,Jürgen Locadia,10649,Curacao,0,FirstHalf,Pass,Successful,50,50,31.2,53.1
4,79967,Leandro Bacuna,10649,Curacao,0,FirstHalf,Pass,Successful,31.2,52.5,34.8,85.5
5,582294,Deveron Fonville,10649,Curacao,0,FirstHalf,Pass,Successful,29.1,84.9,20.5,78.2
6,345333,Armando Obispo,10649,Curacao,0,FirstHalf,Pass,Successful,20.4,82.5,8.1,52.7
7,67114,Eloy Room,10649,Curacao,0,FirstHalf,Pass,Unsuccessful,8.8,53,55.9,52.7
3,371275,Nico Schlotterbeck,336,Germany,0,FirstHalf,Pass,Unsuccessful,46.8,45.7,71.9,50.1
8,79967,Leandro Bacuna,10649,Curacao,0,FirstHalf,Aerial,Successful,28.1,49.9,,
4,326413,Kai Havertz,336,Germany,0,FirstHalf,Aerial,Unsuccessful,71.9,50.1,,
9,79967,Leandro Bacuna,10649,Curacao,0,FirstHalf,Clearance,Successful,28.1,49.9,28,58.7
5,395252,Jamal Musiala,336,Germany,0,FirstHalf,BallRecovery,Successful,68.8,39.1,,
6,395252,Jamal Musiala,336,Germany,0,FirstHalf,Pass,Successful,70,28,69.8,9
7,283323,Joshua Kimmich,336,Germany,0,FirstHalf,Pass,Unsuccessful,69.4,7,70.8,7.2
10,261143,Juninho Bacuna,10649,Curacao,0,FirstHalf,BlockedPass,Successful,29.2,92.8,,
9,283323,Joshua Kimmich,336,Germany,0,FirstHalf,Pass,Unsuccessful,71.8,0,81.6,10.5
12,582294,Deveron Fonville,10649,Curacao,0,FirstHalf,Pass,Successful,15.6,94.8,37,86.9
13,107622,Jürgen Locadia,10649,Curacao,0,FirstHalf,Pass,Successful,37.2,86.9,32.7,74.7
14,365244,Tahith Chong,10649,Curacao,0,FirstHalf,BallRecovery,Successful,32.6,74.7,,
744,365244,Tahith Chong,10649,Curacao,0,FirstHalf,TakeOn,Unsuccessful,37.6,76.9,,
15,365244,Tahith Chong,10649,Curacao,0,FirstHalf,Foul,Successful,34.6,72.4,,
11,481079,Aleksandar Pavlovic,336,Germany,0,FirstHalf,Foul,Unsuccessful,65.4,27.6,,
16,345333,Armando Obispo,10649,Curacao,1,FirstHalf,Pass,Successful,26.7,69.8,32,58.5
17,79967,Leandro Bacuna,10649,Curacao,1,FirstHalf,Pass,Successful,32.5,56.6,27.2,29
18,133959,Riechedly Bazoer,10649,Curacao,1,FirstHalf,Pass,Successful,24.7,25.4,9.1,48.4
19,67114,Eloy Room,10649,Curacao,1,FirstHalf,Pass,Successful,10.2,45.8,15.2,15.4
20,133959,Riechedly Bazoer,10649,Curacao,1,FirstHalf,Pass,Unsuccessful,25.2,9.1,66.4,39.2
12,371275,Nico Schlotterbeck,336,Germany,1,FirstHalf,Aerial,Successful,33.6,60.8,,
21,107622,Jürgen Locadia,10649,Curacao,1,FirstHalf,Aerial,Unsuccessful,66.4,39.2,,
13,371275,Nico Schlotterbeck,336,Germany,1,FirstHalf,Clearance,Successful,33.6,60.8,39.3,61.5
22,365244,Tahith Chong,10649,Curacao,1,FirstHalf,BallTouch,Unsuccessful,47.4,42.7,,
16,395252,Jamal Musiala,336,Germany,1,FirstHalf,Pass,Successful,54.9,56.5,62.6,38.2
17,394786,Florian Wirtz,336,Germany,1,FirstHalf,BallRecovery,Successful,60.5,38.2,,
18,394786,Florian Wirtz,336,Germany,1,FirstHalf,Pass,Unsuccessful,60.5,38.2,68.8,37
24,582294,Deveron Fonville,10649,Curacao,1,FirstHalf,Interception,Successful,31.2,63,,
25,79967,Leandro Bacuna,10649,Curacao,1,FirstHalf,BallTouch,Unsuccessful,33.9,64.5,,
19,367783,Felix Nmecha,336,Germany,1,FirstHalf,Pass,Successful,63.9,33.3,59.6,45.1
20,481079,Aleksandar Pavlovic,336,Germany,1,FirstHalf,Pass,Successful,59.9,46.8,62.5,67.5
21,445354,Nathaniel Brown,336,Germany,1,FirstHalf,Pass,Successful,61.6,67.5,42.3,74.8
22,371275,Nico Schlotterbeck,336,Germany,1,FirstHalf,Pass,Successful,36,70.8,40.7,59.5
23,481079,Aleksandar Pavlovic,336,Germany,1,FirstHalf,Pass,Successful,42.5,52.6,54,18.1
24,283323,Joshua Kimmich,336,Germany,1,FirstHalf,Pass,Successful,62.6,7.9,70.9,9
25,144711,Leroy Sané,336,Germany,1,FirstHalf,Pass,Successful,64,42.9,65.2,69.3
26,445354,Nathaniel Brown,336,Germany,1,FirstHalf,Pass,Successful,65.6,71.2,60.9,63.3
27,371275,Nico Schlotterbeck,336,Germany,1,FirstHalf,Pass,Successful,61.5,66,71,86.5
28,394786,Florian Wirtz,336,Germany,1,FirstHalf,Pass,Successful,70.8,86.5,79.5,73.5
29,445354,Nathaniel Brown,336,Germany,2,FirstHalf,Pass,Unsuccessful,92.1,67,93.3,57
27,133959,Riechedly Bazoer,10649,Curacao,2,FirstHalf,Clearance,Successful,4.8,47.2,15,65.9
30,367783,Felix Nmecha,336,Germany,2,FirstHalf,BallTouch,Unsuccessful,86.5,35.7,,
30,389945,Sontje Hansen,10649,Curacao,2,FirstHalf,BallRecovery,Successful,24.1,60.1,,
28,389945,Sontje Hansen,10649,Curacao,2,FirstHalf,Pass,Successful,28.1,67.8,25.3,79.7
31,283323,Joshua Kimmich,336,Germany,2,FirstHalf,Challenge,Unsuccessful,70.9,19.8,,
29,582294,Deveron Fonville,10649,Curacao,2,FirstHalf,TakeOn,Successful,29.1,80.2,,
745,582294,Deveron Fonville,10649,Curacao,2,FirstHalf,TakeOn,Unsuccessful,40,85.3,,
31,582294,Deveron Fonville,10649,Curacao,2,FirstHalf,Foul,Successful,39.6,84.6,,
32,481079,Aleksandar Pavlovic,336,Germany,2,FirstHalf,Foul,Unsuccessful,60.4,15.4,,
32,261143,Juninho Bacuna,10649,Curacao,2,FirstHalf,Pass,Successful,42,89.3,31.8,72.4
33,345333,Armando Obispo,10649,Curacao,2,FirstHalf,Pass,Successful,34.5,72.3,32.6,43.3
34,133959,Riechedly Bazoer,10649,Curacao,2,FirstHalf,Pass,Successful,32.2,41.6,36.3,7.3
35,322157,Sherel Floranus,10649,Curacao,2,FirstHalf,Pass,Successful,31.6,6.8,34.4,23.3
36,444161,Livano Comenencia,10649,Curacao,2,FirstHalf,Pass,Successful,34.2,23.3,30.2,10.9
37,322157,Sherel Floranus,10649,Curacao,2,FirstHalf,Pass,Successful,30,10.1,41.9,3.4
38,444161,Livano Comenencia,10649,Curacao,2,FirstHalf,Pass,Successful,43.4,3.7,74.4,2.8
39,107622,Jürgen Locadia,10649,Curacao,2,FirstHalf,Pass,Successful,85.9,9.2,78.2,16.6
40,365244,Tahith Chong,10649,Curacao,2,FirstHalf,TakeOn,Unsuccessful,83,16.4,,
33,371275,Nico Schlotterbeck,336,Germany,2,FirstHalf,Clearance,Successful,15.5,84,18.4,84.4
136,481079,Aleksandar Pavlovic,336,Germany,2,FirstHalf,BallTouch,Successful,14.7,82,,
34,445354,Nathaniel Brown,336,Germany,2,FirstHalf,BallRecovery,Successful,19.7,68.7,,
35,445354,Nathaniel Brown,336,Germany,2,FirstHalf,Pass,Successful,19.7,68.7,13.6,65.7
36,134946,Jonathan Tah,336,Germany,2,FirstHalf,Pass,Successful,13.5,65.4,14.2,75.4
37,371275,Nico Schlotterbeck,336,Germany,2,FirstHalf,Pass,Unsuccessful,12.3,77.5,13.9,78.7
42,107622,Jürgen Locadia,10649,Curacao,2,FirstHalf,BlockedPass,Successful,86.1,21.3,,
39,13754,Manuel Neuer,336,Germany,3,FirstHalf,Pass,Successful,2.8,58.7,8.3,44.8
40,134946,Jonathan Tah,336,Germany,3,FirstHalf,Pass,Successful,28.9,45,35.2,21.1
41,283323,Joshua Kimmich,336,Germany,3,FirstHalf,Pass,Successful,42.3,15.6,35.1,30.4
42,134946,Jonathan Tah,336,Germany,3,FirstHalf,Pass,Successful,39.4,32.2,45.1,32.4
43,481079,Aleksandar Pavlovic,336,Germany,3,FirstHalf,Pass,Successful,45.1,32.4,59.1,21.7
44,367783,Felix Nmecha,336,Germany,3,FirstHalf,Pass,Successful,59.1,21.6,52.3,9.1
