eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,336,Germany,0,FirstHalf,Start,Successful,0,0,,
2,,,973,Ivory Coast,0,FirstHalf,Start,Successful,0,0,,
3,144711,Leroy Sané,336,Germany,0,FirstHalf,Pass,Successful,50,50,33.6,48.3
4,134946,Jonathan Tah,336,Germany,0,FirstHalf,Pass,Successful,33.3,47.1,37.7,73.5
5,371275,Nico Schlotterbeck,336,Germany,0,FirstHalf,Pass,Unsuccessful,43.6,73,82.5,36
3,402810,Emmanuel Agbadou,973,Ivory Coast,0,FirstHalf,Aerial,Successful,17.5,64,,
6,326413,Kai Havertz,336,Germany,0,FirstHalf,Aerial,Unsuccessful,82.5,36,,
4,402810,Emmanuel Agbadou,973,Ivory Coast,0,FirstHalf,Clearance,Successful,17.5,64,19.1,46.1
7,394786,Florian Wirtz,336,Germany,0,FirstHalf,Pass,Successful,81.3,53.4,85.6,49.1
8,326413,Kai Havertz,336,Germany,0,FirstHalf,MissedShots,Successful,85.6,49.1,,
6,402810,Emmanuel Agbadou,973,Ivory Coast,0,FirstHalf,Pass,Successful,5.2,61.1,4.5,50
7,439446,Yahia Fofana,973,Ivory Coast,0,FirstHalf,Pass,Successful,8.5,49.5,11.8,16.2
8,384516,Odilon Kossounou,973,Ivory Coast,0,FirstHalf,Pass,Successful,13.6,14.6,23.8,2.9
9,371063,Wilfried Singo,973,Ivory Coast,0,FirstHalf,Pass,Successful,23,6.7,8,51.3
10,402810,Emmanuel Agbadou,973,Ivory Coast,0,FirstHalf,Pass,Successful,8,57.8,8,91.4
11,331567,Ghislain Konan,973,Ivory Coast,0,FirstHalf,Pass,Successful,8.7,92.3,29.7,93.3
12,557000,Yan Diomande,973,Ivory Coast,0,FirstHalf,BallTouch,Successful,30.4,93.2,,
10,283323,Joshua Kimmich,336,Germany,0,FirstHalf,Challenge,Unsuccessful,68,5.2,,
13,547352,Christ Inao Oulaï,973,Ivory Coast,0,FirstHalf,TakeOn,Successful,32,94.8,,
14,547352,Christ Inao Oulaï,973,Ivory Coast,0,FirstHalf,Pass,Successful,40.8,95.3,36.9,81.1
15,557000,Yan Diomande,973,Ivory Coast,0,FirstHalf,BallTouch,Successful,37.4,78.5,,
16,328075,Ibrahim Sangaré,973,Ivory Coast,0,FirstHalf,Pass,Successful,32.5,68.7,20.9,68.7
17,402810,Emmanuel Agbadou,973,Ivory Coast,0,FirstHalf,Pass,Successful,20.4,63,25.2,34.3
18,384516,Odilon Kossounou,973,Ivory Coast,1,FirstHalf,Pass,Successful,32.8,27.8,47.4,4.9
19,386634,Amad Diallo,973,Ivory Coast,1,FirstHalf,Pass,Successful,54,3.7,43.2,5.2
