eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,424,Scotland,0,FirstHalf,Start,Successful,0,0,,
2,,,2693,Haiti,0,FirstHalf,Start,Successful,0,0,,
3,384861,Lawrence Shankland,424,Scotland,0,FirstHalf,Pass,Successful,50.1,49.9,45.8,53.3
4,396971,Lewis Ferguson,424,Scotland,0,FirstHalf,Pass,Unsuccessful,46.4,51.9,78.2,11.6
3,555256,Martin Expérience,2693,Haiti,0,FirstHalf,Clearance,Successful,24.4,80.5,34.7,84.1
5,402367,Aaron Hickey,424,Scotland,0,FirstHalf,Pass,Successful,66.3,12.9,83.5,5.6
6,430350,Ben Gannon-Doak,424,Scotland,0,FirstHalf,TakeOn,Unsuccessful,78.6,8.3,,
4,555256,Martin Expérience,2693,Haiti,0,FirstHalf,Tackle,Successful,21.4,91.8,,
8,402367,Aaron Hickey,424,Scotland,0,FirstHalf,Pass,Successful,80.6,0,63.4,9.1
9,86593,Grant Hanley,424,Scotland,0,FirstHalf,Pass,Successful,62.9,16.7,45.6,55.5
10,280210,Jack Hendry,424,Scotland,0,FirstHalf,Pass,Successful,45,54.6,43.3,21
11,86593,Grant Hanley,424,Scotland,0,FirstHalf,Pass,Successful,42.2,22.1,47.3,6.4
12,402367,Aaron Hickey,424,Scotland,0,FirstHalf,Pass,Unsuccessful,46.9,7.3,100,22.2
7,367189,Hannes Delcroix,2693,Haiti,0,FirstHalf,Pass,Successful,4.6,57.3,4.3,50.3
8,34069,Johny Placide,2693,Haiti,0,FirstHalf,Pass,Unsuccessful,6.7,47.1,57.6,79
14,402367,Aaron Hickey,424,Scotland,1,FirstHalf,Pass,Unsuccessful,45.9,21.9,66.3,4
9,555256,Martin Expérience,2693,Haiti,1,FirstHalf,Pass,Unsuccessful,33,94.7,34.9,94.7
15,430350,Ben Gannon-Doak,424,Scotland,1,FirstHalf,BlockedPass,Successful,65.1,5.3,,
16,384861,Lawrence Shankland,424,Scotland,1,FirstHalf,BallTouch,Unsuccessful,65.6,7.6,,
11,555256,Martin Expérience,2693,Haiti,1,FirstHalf,Pass,Successful,29.7,100,30.7,94.7
12,320242,Jean-Ricner Bellegarde,2693,Haiti,1,FirstHalf,Pass,Unsuccessful,30.8,93.7,33.8,100
19,402367,Aaron Hickey,424,Scotland,1,FirstHalf,Pass,Successful,66.8,0,69,9.5
20,430350,Ben Gannon-Doak,424,Scotland,1,FirstHalf,Pass,Successful,70.9,9.8,64.2,3.4
21,402367,Aaron Hickey,424,Scotland,1,FirstHalf,Pass,Successful,62.5,3.1,43.9,8.3
22,86593,Grant Hanley,424,Scotland,1,FirstHalf,Pass,Successful,44,12,36,72.7
23,280210,Jack Hendry,424,Scotland,1,FirstHalf,Pass,Successful,47.8,78.1,37.5,65.7
24,396971,Lewis Ferguson,424,Scotland,1,FirstHalf,Pass,Successful,39.5,64.9,37.5,33.4
25,86593,Grant Hanley,424,Scotland,1,FirstHalf,Pass,Successful,37.5,33.4,43.1,13.2
26,402367,Aaron Hickey,424,Scotland,2,FirstHalf,Pass,Successful,40.1,13.7,46.1,21.8
27,336915,Scott McTominay,424,Scotland,2,FirstHalf,Pass,Successful,46.1,21.8,58.8,2.9
28,430350,Ben Gannon-Doak,424,Scotland,2,FirstHalf,Pass,Successful,57.8,3.5,42.6,5.5
29,336915,Scott McTominay,424,Scotland,2,FirstHalf,Pass,Successful,42.8,7,31.7,27.4
30,86593,Grant Hanley,424,Scotland,2,FirstHalf,Pass,Successful,29.7,34.2,32.9,71.5
31,280210,Jack Hendry,424,Scotland,2,FirstHalf,Pass,Successful,63.6,81.8,73.8,96.3
32,115726,Andy Robertson,424,Scotland,2,FirstHalf,Pass,Successful,74.5,96.8,85.2,67.8
33,256419,Ché Adams,424,Scotland,2,FirstHalf,Pass,Unsuccessful,80.1,66.7,82.8,63.3
16,145264,Ricardo Adé,2693,Haiti,2,FirstHalf,BallTouch,Successful,18.5,34.2,,
18,320242,Jean-Ricner Bellegarde,2693,Haiti,2,FirstHalf,Dispossessed,Successful,21.3,34.3,,
34,384861,Lawrence Shankland,424,Scotland,2,FirstHalf,Tackle,Unsuccessful,78.7,65.7,,
17,320242,Jean-Ricner Bellegarde,2693,Haiti,2,FirstHalf,TakeOn,Unsuccessful,20.1,32.5,,
35,384861,Lawrence Shankland,424,Scotland,2,FirstHalf,Tackle,Successful,79.9,67.5,,
36,256419,Ché Adams,424,Scotland,2,FirstHalf,Pass,Successful,72.2,60.9,76.9,70.2
37,115726,Andy Robertson,424,Scotland,2,FirstHalf,Pass,Successful,76.9,70.2,81.1,21.9
38,430350,Ben Gannon-Doak,424,Scotland,2,FirstHalf,Pass,Successful,77.5,17.3,65.5,22.4
39,402367,Aaron Hickey,424,Scotland,2,FirstHalf,Pass,Successful,65.5,22.4,70.1,9.4
19,555256,Martin Expérience,2693,Haiti,2,FirstHalf,Challenge,Unsuccessful,28.4,80.4,,
40,430350,Ben Gannon-Doak,424,Scotland,2,FirstHalf,TakeOn,Successful,71.6,19.6,,
41,430350,Ben Gannon-Doak,424,Scotland,2,FirstHalf,MissedShots,Successful,78.9,30.6,,
20,34069,Johny Placide,2693,Haiti,2,FirstHalf,Save,Successful,1,56.5,,
21,34069,Johny Placide,2693,Haiti,2,FirstHalf,KeeperPickup,Successful,1,56.5,,
22,34069,Johny Placide,2693,Haiti,2,FirstHalf,Pass,Unsuccessful,15.5,46.8,76.1,88.1
42,402367,Aaron Hickey,424,Scotland,3,FirstHalf,Foul,Successful,28.7,10.2,,
23,443795,Frantzdy Pierrot,2693,Haiti,3,FirstHalf,Foul,Unsuccessful,71.2,89.8,,
