eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,334,Norway,0,FirstHalf,Start,Successful,0,0,,
2,,,973,Ivory Coast,0,FirstHalf,Start,Successful,0,0,,
3,447489,Ange-Yoan Bonny,973,Ivory Coast,0,FirstHalf,Pass,Successful,50,50,34.6,52.2
4,277269,Franck Kessie,973,Ivory Coast,0,FirstHalf,Pass,Unsuccessful,36,56,77.9,100
4,357133,Marcus Pedersen,334,Norway,0,FirstHalf,Pass,Successful,32.8,0,46.6,6
5,302497,Alexander Sørloth,334,Norway,0,FirstHalf,Pass,Unsuccessful,43.1,6.9,46.1,6.9
6,402810,Emmanuel Agbadou,973,Ivory Coast,0,FirstHalf,Pass,Unsuccessful,55.4,92.3,68,83.3
6,320986,Patrick Berg,334,Norway,0,FirstHalf,Pass,Unsuccessful,41,14.1,71.9,30.4
7,384516,Odilon Kossounou,973,Ivory Coast,0,FirstHalf,Pass,Successful,38.3,68.2,48,70
8,328075,Ibrahim Sangaré,973,Ivory Coast,0,FirstHalf,Pass,Unsuccessful,47.9,69.9,53.9,70.3
7,321020,Sander Berge,334,Norway,0,FirstHalf,Pass,Unsuccessful,41,24,72.8,33.3
9,384516,Odilon Kossounou,973,Ivory Coast,0,FirstHalf,BallTouch,Unsuccessful,38.2,55.7,,
8,416030,Antonio Nusa,334,Norway,0,FirstHalf,Pass,Unsuccessful,77.7,67.2,80.3,52.6
10,328075,Ibrahim Sangaré,973,Ivory Coast,0,FirstHalf,Interception,Successful,19.7,47.4,,
9,415341,David Møller Wolfe,334,Norway,0,FirstHalf,Pass,Unsuccessful,74.7,80.1,77.9,87.1
11,239872,Nicolas Pépé,973,Ivory Coast,0,FirstHalf,Interception,Successful,22.1,12.9,,
11,415341,David Møller Wolfe,334,Norway,0,FirstHalf,Pass,Successful,80.1,100,53.4,94.8
12,364336,Torbjørn Heggem,334,Norway,1,FirstHalf,Pass,Successful,53.4,94.8,46,63.3
13,321085,Kristoffer Ajer,334,Norway,1,FirstHalf,Pass,Successful,47.6,63.4,49.7,80.5
14,364336,Torbjørn Heggem,334,Norway,1,FirstHalf,Pass,Successful,51.4,81.1,73.4,92.7
15,416030,Antonio Nusa,334,Norway,1,FirstHalf,Pass,Unsuccessful,73.1,92.5,93.9,81.7
13,384516,Odilon Kossounou,973,Ivory Coast,1,FirstHalf,BallRecovery,Successful,9.3,11.4,,
14,384516,Odilon Kossounou,973,Ivory Coast,1,FirstHalf,Pass,Successful,9.7,5.8,28.5,18.8
15,239872,Nicolas Pépé,973,Ivory Coast,1,FirstHalf,BallTouch,Unsuccessful,28.5,18.8,,
16,321020,Sander Berge,334,Norway,1,FirstHalf,BallRecovery,Successful,68,83.1,,
17,321020,Sander Berge,334,Norway,1,FirstHalf,Pass,Successful,55,68.1,46.4,42.6
18,321085,Kristoffer Ajer,334,Norway,1,FirstHalf,Pass,Successful,46,41.8,49.5,40.8
19,247454,Martin Ødegaard,334,Norway,1,FirstHalf,Pass,Successful,49.5,40.8,47.9,57
20,321020,Sander Berge,334,Norway,1,FirstHalf,Pass,Successful,47.9,57,50.6,58.2
21,247454,Martin Ødegaard,334,Norway,1,FirstHalf,Pass,Successful,63.2,17.7,72.9,5.4
22,302497,Alexander Sørloth,334,Norway,1,FirstHalf,Pass,Successful,74,5.4,49.1,5.2
23,357133,Marcus Pedersen,334,Norway,1,FirstHalf,Pass,Successful,48.8,5.1,42.8,25
24,321085,Kristoffer Ajer,334,Norway,1,FirstHalf,Pass,Successful,43.1,29.4,37.8,65.1
25,364336,Torbjørn Heggem,334,Norway,1,FirstHalf,Pass,Successful,39.4,67,48.3,55.3
26,321020,Sander Berge,334,Norway,1,FirstHalf,Pass,Successful,56.2,29.2,67.4,5.8
27,302497,Alexander Sørloth,334,Norway,1,FirstHalf,Pass,Successful,62.8,6.1,43.3,34.8
11038,302497,Alexander Sørloth,334,Norway,2,FirstHalf,OffsideGiven,Unsuccessful,87.5,10.5,,
28,321085,Kristoffer Ajer,334,Norway,2,FirstHalf,Pass,Successful,45,34.8,52.6,41.4
29,321020,Sander Berge,334,Norway,2,FirstHalf,Pass,Successful,52.6,41.4,38.4,61.3
30,364336,Torbjørn Heggem,334,Norway,2,FirstHalf,Pass,Successful,45.3,65.1,42.3,32.8
31,321085,Kristoffer Ajer,334,Norway,2,FirstHalf,Pass,Successful,46.2,27.3,73.2,8.8
32,302497,Alexander Sørloth,334,Norway,2,FirstHalf,Pass,Successful,75,8.8,97.1,17.7
33,357133,Marcus Pedersen,334,Norway,2,FirstHalf,Pass,Successful,97.1,17.7,88.6,58.2
34,315227,Erling Haaland,334,Norway,2,FirstHalf,SavedShot,Successful,88.6,58.2,,
16,384516,Odilon Kossounou,973,Ivory Coast,2,FirstHalf,Save,Successful,6.6,47.3,,
879,320986,Patrick Berg,334,Norway,2,FirstHalf,BallTouch,Successful,93,50.4,,
17,447449,Guéla Doué,973,Ivory Coast,2,FirstHalf,Clearance,Successful,7.5,45.6,14.5,100
36,357133,Marcus Pedersen,334,Norway,2,FirstHalf,Pass,Successful,75.3,0,72.2,8.5
37,247454,Martin Ødegaard,334,Norway,2,FirstHalf,Pass,Successful,72.2,8.5,77.4,5.4
38,357133,Marcus Pedersen,334,Norway,2,FirstHalf,OffsidePass,Successful,75.6,3.7,87.5,10.5
19,331567,Ghislain Konan,973,Ivory Coast,2,FirstHalf,OffsideProvoked,Successful,14.4,89.1,,
20,402810,Emmanuel Agbadou,973,Ivory Coast,2,FirstHalf,Pass,Successful,14,87.3,25.2,73.2
28,328075,Ibrahim Sangaré,973,Ivory Coast,2,FirstHalf,Pass,Successful,22.8,74.7,14.3,86.7
31,402810,Emmanuel Agbadou,973,Ivory Coast,2,FirstHalf,Pass,Successful,14.3,86.7,22.8,96.7
21,331567,Ghislain Konan,973,Ivory Coast,2,FirstHalf,Pass,Unsuccessful,23.6,95,35.9,100
40,357133,Marcus Pedersen,334,Norway,3,FirstHalf,Pass,Successful,65.2,0,69.7,8.2
41,247454,Martin Ødegaard,334,Norway,3,FirstHalf,Pass,Successful,69.5,10,66.2,4.5
42,357133,Marcus Pedersen,334,Norway,3,FirstHalf,Pass,Successful,66.2,4.5,66.1,10.2
43,321020,Sander Berge,334,Norway,3,FirstHalf,Pass,Successful,66.1,10.2,42.4,8.8
44,321085,Kristoffer Ajer,334,Norway,3,FirstHalf,Pass,Successful,43,11.5,46.3,45.3
45,364336,Torbjørn Heggem,334,Norway,3,FirstHalf,Pass,Successful,48.2,50.7,48,34.9
46,321085,Kristoffer Ajer,334,Norway,3,FirstHalf,Pass,Successful,48.2,35.2,44.4,63.7
47,364336,Torbjørn Heggem,334,Norway,3,FirstHalf,Pass,Successful,54.2,64.6,50.2,36.4
48,247454,Martin Ødegaard,334,Norway,3,FirstHalf,Pass,Unsuccessful,50.6,37.8,85.3,59.7
25,384516,Odilon Kossounou,973,Ivory Coast,3,FirstHalf,BallRecovery,Successful,14.2,44.5,,
26,384516,Odilon Kossounou,973,Ivory Coast,3,FirstHalf,Pass,Unsuccessful,14.2,44.8,20,100
50,247454,Martin Ødegaard,334,Norway,3,FirstHalf,Pass,Successful,76.7,0,68.3,9.1
51,357133,Marcus Pedersen,334,Norway,3,FirstHalf,Pass,Successful,67.6,9.4,55.1,17.1
52,321085,Kristoffer Ajer,334,Norway,3,FirstHalf,Pass,Successful,55.7,17.4,67.4,8.2
53,357133,Marcus Pedersen,334,Norway,3,FirstHalf,Pass,Successful,67.4,8.4,64.5,26.1
54,321020,Sander Berge,334,Norway,3,FirstHalf,Pass,Successful,64.5,26.1,66.2,12.7
