eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,344,Sweden,0,FirstHalf,Start,Successful,0,0,,
2,,,986,Japan,0,FirstHalf,Start,Successful,0,0,,
3,413211,Anthony Elanga,344,Sweden,0,FirstHalf,Pass,Successful,50,50,25.1,50.2
4,470688,Jacob Widell Zetterström,344,Sweden,0,FirstHalf,Pass,Unsuccessful,26,50.4,72.7,63.8
3,369525,Ko Itakura,986,Japan,0,FirstHalf,Clearance,Successful,22.8,33.6,24.6,10.2
5,614510,Elliot Stroud,344,Sweden,0,FirstHalf,Pass,Unsuccessful,97.1,75.7,96.9,72.8
5,423347,Ao Tanaka,986,Japan,0,FirstHalf,BlockedPass,Successful,3.1,27.2,,
6,614510,Elliot Stroud,344,Sweden,0,FirstHalf,CornerAwarded,Successful,99.4,74.2,,
6,423347,Ao Tanaka,986,Japan,0,FirstHalf,CornerAwarded,Unsuccessful,0.5,25.8,,
7,470690,Yasin Ayari,344,Sweden,1,FirstHalf,Pass,Unsuccessful,99.5,99.5,98.7,45.6
7,447570,Zion Suzuki,986,Japan,1,FirstHalf,Aerial,Successful,1.3,54.4,,
8,100008,Victor Lindelöf,344,Sweden,1,FirstHalf,Aerial,Unsuccessful,98.7,45.6,,
8,447570,Zion Suzuki,986,Japan,1,FirstHalf,Punch,Unsuccessful,1.3,54.4,11.2,95.3
9,413211,Anthony Elanga,344,Sweden,1,FirstHalf,Pass,Unsuccessful,89,9.5,89.6,12
9,343435,Ritsu Doan,986,Japan,1,FirstHalf,Clearance,Successful,10.4,88,,
10,413211,Anthony Elanga,344,Sweden,1,FirstHalf,CornerAwarded,Successful,96.4,10.8,,
10,343435,Ritsu Doan,986,Japan,1,FirstHalf,CornerAwarded,Unsuccessful,3.6,89.2,,
11,330549,Gabriel Gudmundsson,344,Sweden,1,FirstHalf,Pass,Unsuccessful,99.5,0.5,96.3,37
11,377287,Daizen Maeda,986,Japan,1,FirstHalf,Clearance,Successful,2.7,60.7,43.8,85.8
12,614510,Elliot Stroud,344,Sweden,1,FirstHalf,Pass,Successful,54.1,24.7,31,50.7
13,470688,Jacob Widell Zetterström,344,Sweden,2,FirstHalf,Pass,Successful,33.6,48.8,79.6,1
14,413211,Anthony Elanga,344,Sweden,2,FirstHalf,Pass,Unsuccessful,79.3,0.8,75.6,10.6
12,379700,Keito Nakamura,986,Japan,2,FirstHalf,BallRecovery,Successful,24.9,91.9,,
13,379700,Keito Nakamura,986,Japan,2,FirstHalf,Pass,Successful,24,90.6,45.2,82.9
14,343435,Ritsu Doan,986,Japan,2,FirstHalf,BallTouch,Unsuccessful,45.2,82.9,,
15,428096,Gustaf Lagerbielke,344,Sweden,2,FirstHalf,BallRecovery,Successful,47.3,29.2,,
16,428096,Gustaf Lagerbielke,344,Sweden,2,FirstHalf,Pass,Successful,46.9,33.1,46.5,60
17,614510,Elliot Stroud,344,Sweden,2,FirstHalf,Pass,Successful,56.1,68.1,53.2,59.2
18,470690,Yasin Ayari,344,Sweden,2,FirstHalf,Pass,Successful,52.7,59.4,43.5,68.6
19,330549,Gabriel Gudmundsson,344,Sweden,2,FirstHalf,Pass,Successful,44.3,67.2,38.8,48.1
20,454908,Isak Hien,344,Sweden,2,FirstHalf,Pass,Successful,38.8,46.8,42.5,30.3
21,428096,Gustaf Lagerbielke,344,Sweden,2,FirstHalf,Pass,Successful,42.1,25,53.3,3.3
22,470693,Alexander Bernhardsson,344,Sweden,2,FirstHalf,Pass,Unsuccessful,51.7,3.9,52.1,5.9
15,379700,Keito Nakamura,986,Japan,2,FirstHalf,BlockedPass,Successful,47.9,94.1,,
24,470693,Alexander Bernhardsson,344,Sweden,2,FirstHalf,Pass,Successful,45.4,0,29.3,14.5
25,428096,Gustaf Lagerbielke,344,Sweden,2,FirstHalf,Pass,Successful,16.9,19.3,8.2,38.4
26,470688,Jacob Widell Zetterström,344,Sweden,2,FirstHalf,Pass,Unsuccessful,8.3,36.1,30.3,0
