eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
3,,,26,Liverpool,0,FirstHalf,Start,Successful,0,0,,
3,,,32,Man Utd,0,FirstHalf,Start,Successful,0,0,,
4,369875,Dominik Szoboszlai,26,Liverpool,0,FirstHalf,Pass,Successful,50.2,50,26.5,47.4
5,136466,Freddie Woodman,26,Liverpool,0,FirstHalf,Pass,Successful,27.1,46.5,74.3,71.2
6,352825,Cody Gakpo,26,Liverpool,0,FirstHalf,Pass,Unsuccessful,74.3,71.2,96.3,29.7
4,402184,Senne Lammens,32,Man Utd,0,FirstHalf,BallRecovery,Successful,5.8,68.1,,
5,402184,Senne Lammens,32,Man Utd,0,FirstHalf,Pass,Successful,14.3,49.9,22.1,34.2
6,88526,Casemiro,32,Man Utd,0,FirstHalf,Pass,Successful,22.1,34.2,18.2,31.2
7,99487,Harry Maguire,32,Man Utd,0,FirstHalf,Pass,Successful,18.3,31.2,8.1,49.6
8,402184,Senne Lammens,32,Man Utd,0,FirstHalf,Pass,Successful,8.2,49.6,16.2,76.2
9,517341,Ayden Heaven,32,Man Utd,0,FirstHalf,Pass,Successful,18.4,76.9,5.5,64.2
10,402184,Senne Lammens,32,Man Utd,0,FirstHalf,Pass,Unsuccessful,8.1,66.4,55.9,91.2
7,355354,Curtis Jones,26,Liverpool,0,FirstHalf,Aerial,Successful,44.1,8.8,,
11,362758,Matheus Cunha,32,Man Utd,0,FirstHalf,Aerial,Unsuccessful,55.9,91.2,,
8,355354,Curtis Jones,26,Liverpool,0,FirstHalf,Pass,Unsuccessful,44.1,8.8,54.6,16
12,118244,Luke Shaw,32,Man Utd,0,FirstHalf,Aerial,Successful,44.3,88.4,,
9,392644,Jeremie Frimpong,26,Liverpool,0,FirstHalf,Aerial,Unsuccessful,55.7,11.6,,
29,118244,Luke Shaw,32,Man Utd,0,FirstHalf,Pass,Unsuccessful,33.3,90.4,35.2,89.8
10,392644,Jeremie Frimpong,26,Liverpool,0,FirstHalf,BallTouch,Successful,54.7,15.6,,
11,369875,Dominik Szoboszlai,26,Liverpool,0,FirstHalf,Pass,Successful,63.3,14.8,61.9,23.2
12,345319,Alexis Mac Allister,26,Liverpool,0,FirstHalf,Pass,Successful,61.9,23.2,68.4,23.2
13,394786,Florian Wirtz,26,Liverpool,0,FirstHalf,BallRecovery,Successful,68.4,23.2,,
14,394786,Florian Wirtz,26,Liverpool,0,FirstHalf,Pass,Successful,68.4,21.8,68.6,10.1
15,392644,Jeremie Frimpong,26,Liverpool,0,FirstHalf,Pass,Successful,68.6,8.5,67.7,11.6
16,394786,Florian Wirtz,26,Liverpool,0,FirstHalf,Pass,Unsuccessful,67.7,11.8,73.4,0
11028,424191,Benjamin Sesko,32,Man Utd,1,FirstHalf,OffsideGiven,Unsuccessful,89.3,53.2,,
14,118244,Luke Shaw,32,Man Utd,1,FirstHalf,Pass,Successful,34.3,100,13.4,87.4
