eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
123,,,972,Mexico,0,FirstHalf,Start,Successful,0,0,,
87,,,485,South Africa,0,FirstHalf,Start,Successful,0,0,,
2,396565,Brian Gutiérrez,972,Mexico,0,FirstHalf,Pass,Successful,49.7,50.1,30.1,56.3
3,447638,Érik Lira,972,Mexico,0,FirstHalf,Pass,Successful,30,53.6,37,79.9
4,425115,Johan Vásquez,972,Mexico,0,FirstHalf,Pass,Successful,38.9,79.4,31.1,66.4
5,447638,Érik Lira,972,Mexico,0,FirstHalf,Pass,Successful,31.4,63.9,31.9,26.1
6,447631,César Montes,972,Mexico,0,FirstHalf,Pass,Successful,32.7,22.8,30.6,41.5
7,447638,Érik Lira,972,Mexico,0,FirstHalf,Pass,Successful,33.9,41.8,39.5,69.6
8,425115,Johan Vásquez,972,Mexico,0,FirstHalf,Pass,Successful,40.7,70.5,32.8,55.7
9,447638,Érik Lira,972,Mexico,0,FirstHalf,Pass,Successful,35.6,44.8,39.8,17
10,447631,César Montes,972,Mexico,0,FirstHalf,Pass,Successful,40.2,16.2,31,34.9
11,447638,Érik Lira,972,Mexico,0,FirstHalf,Pass,Successful,38,50.9,44.2,79.9
12,425115,Johan Vásquez,972,Mexico,0,FirstHalf,Pass,Successful,44.2,79.9,39.5,67.2
13,447638,Érik Lira,972,Mexico,0,FirstHalf,Pass,Successful,43.6,54.5,61.4,6.7
14,447634,Israel Reyes,972,Mexico,0,FirstHalf,Pass,Successful,61.9,7.6,43.9,52.5
15,425115,Johan Vásquez,972,Mexico,0,FirstHalf,Pass,Successful,56.4,68.8,60.7,81.7
16,509557,Julián Quiñones,972,Mexico,0,FirstHalf,Pass,Successful,63.1,83.6,50.9,79.6
17,425115,Johan Vásquez,972,Mexico,0,FirstHalf,Pass,Successful,50.9,79.6,53.1,66.3
18,447638,Érik Lira,972,Mexico,0,FirstHalf,Pass,Successful,53.1,66.3,54.7,79.7
19,425115,Johan Vásquez,972,Mexico,1,FirstHalf,Pass,Successful,57.2,79,62.9,94.7
20,452407,Álvaro Fidalgo,972,Mexico,1,FirstHalf,Pass,Successful,63.7,93.8,55.6,73.8
21,447638,Érik Lira,972,Mexico,1,FirstHalf,Pass,Successful,53.9,60.5,46.7,41.2
22,447631,César Montes,972,Mexico,1,FirstHalf,Pass,Successful,46.7,41.2,45.7,70.5
23,425115,Johan Vásquez,972,Mexico,1,FirstHalf,Pass,Successful,53,73,57.5,84.7
24,452407,Álvaro Fidalgo,972,Mexico,1,FirstHalf,Pass,Successful,57.8,84.2,54,63.9
25,447638,Érik Lira,972,Mexico,1,FirstHalf,Pass,Successful,54,63.9,45.9,72.7
26,425115,Johan Vásquez,972,Mexico,1,FirstHalf,Pass,Successful,46.1,72,43.6,34.3
27,447631,César Montes,972,Mexico,1,FirstHalf,Pass,Successful,44.9,33,56.3,12.8
28,447634,Israel Reyes,972,Mexico,1,FirstHalf,Pass,Successful,56.6,12.6,68.2,16.5
29,396565,Brian Gutiérrez,972,Mexico,1,FirstHalf,Pass,Successful,67.9,16.1,65,11.4
30,447636,Roberto Alvarado,972,Mexico,1,FirstHalf,Dispossessed,Successful,64.5,14.8,,
2,452622,Aubrey Modiba,485,South Africa,1,FirstHalf,Tackle,Successful,35.5,85.2,,
31,447636,Roberto Alvarado,972,Mexico,1,FirstHalf,Challenge,Unsuccessful,61,15.2,,
22,456637,Jayden Adams,485,South Africa,1,FirstHalf,TakeOn,Successful,39,84.8,,
3,456637,Jayden Adams,485,South Africa,1,FirstHalf,BallRecovery,Successful,36.9,81.8,,
4,456637,Jayden Adams,485,South Africa,1,FirstHalf,Pass,Successful,34.5,67.5,32.8,22.2
5,457250,Khuliso Mudau,485,South Africa,1,FirstHalf,Pass,Successful,32.3,23.1,20.8,27.4
6,457254,Nkosinathi Sibisi,485,South Africa,1,FirstHalf,Pass,Successful,18,28.5,3.6,48.8
7,99002,Ronwen Williams,485,South Africa,1,FirstHalf,Pass,Successful,3.3,49.4,4.2,73.5
8,504648,Ime Okon,485,South Africa,1,FirstHalf,Pass,Successful,4.2,75.1,29.9,72.3
9,386978,Yaya Sithole,485,South Africa,1,FirstHalf,Pass,Successful,26.3,69.4,22.6,30.3
10,457254,Nkosinathi Sibisi,485,South Africa,1,FirstHalf,Pass,Successful,23.5,24.4,35.8,14
11,457247,Teboho Mokoena,485,South Africa,1,FirstHalf,Pass,Successful,35.9,12.8,41.7,2.8
12,457250,Khuliso Mudau,485,South Africa,1,FirstHalf,Pass,Successful,39.6,4.6,35.4,10.6
13,457247,Teboho Mokoena,485,South Africa,2,FirstHalf,Pass,Successful,34.4,13.8,15.4,39.5
14,99002,Ronwen Williams,485,South Africa,2,FirstHalf,Pass,Successful,15.2,43.6,22.8,70.9
15,504648,Ime Okon,485,South Africa,2,FirstHalf,Pass,Successful,26.8,82.6,29,93
16,563880,Mbekezeli Mbokazi,485,South Africa,2,FirstHalf,Pass,Successful,30.3,90.5,23.9,85.4
17,504648,Ime Okon,485,South Africa,2,FirstHalf,Pass,Successful,19.8,91.4,2.3,59.3
18,99002,Ronwen Williams,485,South Africa,2,FirstHalf,Pass,Successful,2.9,60.6,38,92.9
19,452622,Aubrey Modiba,485,South Africa,2,FirstHalf,BallTouch,Unsuccessful,38,92.9,,
33,447634,Israel Reyes,972,Mexico,2,FirstHalf,Pass,Successful,62.4,0,68.3,21
34,447636,Roberto Alvarado,972,Mexico,2,FirstHalf,Foul,Successful,67.4,25.2,,
21,452622,Aubrey Modiba,485,South Africa,2,FirstHalf,Foul,Unsuccessful,32.5,74.9,,
35,396565,Brian Gutiérrez,972,Mexico,3,FirstHalf,SavedShot,Successful,66.8,24,,
23,456637,Jayden Adams,485,South Africa,3,FirstHalf,Save,Successful,22.3,67.2,,
37,447634,Israel Reyes,972,Mexico,3,FirstHalf,Pass,Successful,64.7,0,71.5,20.7
38,108186,Raúl Jiménez,972,Mexico,3,FirstHalf,Pass,Successful,71.5,20.7,77.4,5.9
39,447636,Roberto Alvarado,972,Mexico,4,FirstHalf,Pass,Successful,76.4,6.4,87.5,7.3
40,447634,Israel Reyes,972,Mexico,4,FirstHalf,Pass,Successful,87.5,7.3,84.5,47.8
41,108186,Raúl Jiménez,972,Mexico,4,FirstHalf,SavedShot,Successful,84.5,47.8,,
25,99002,Ronwen Williams,485,South Africa,4,FirstHalf,Save,Successful,2.1,50.9,,
26,99002,Ronwen Williams,485,South Africa,4,FirstHalf,CornerAwarded,Unsuccessful,7.4,50.4,,
42,108186,Raúl Jiménez,972,Mexico,4,FirstHalf,CornerAwarded,Successful,92.6,49.6,,
43,396565,Brian Gutiérrez,972,Mexico,4,FirstHalf,Pass,Unsuccessful,99.5,99.5,94.1,56
27,99002,Ronwen Williams,485,South Africa,4,FirstHalf,Punch,Unsuccessful,5.9,44,7.7,24.9
28,563880,Mbekezeli Mbokazi,485,South Africa,4,FirstHalf,Clearance,Successful,3.5,54.2,4.6,59.9
44,447631,César Montes,972,Mexico,4,FirstHalf,Pass,Successful,85.6,71.1,95.9,30.9
45,108186,Raúl Jiménez,972,Mexico,4,FirstHalf,Aerial,Successful,95.9,30.9,,
29,504648,Ime Okon,485,South Africa,4,FirstHalf,Aerial,Unsuccessful,4.1,69.1,,
46,108186,Raúl Jiménez,972,Mexico,4,FirstHalf,Pass,Unsuccessful,95.9,30.9,92.8,43.3
30,457247,Teboho Mokoena,485,South Africa,4,FirstHalf,Clearance,Successful,5.5,51.9,12.5,60.3
31,452622,Aubrey Modiba,485,South Africa,4,FirstHalf,BallTouch,Unsuccessful,13,60.8,,
47,425115,Johan Vásquez,972,Mexico,4,FirstHalf,BallTouch,Unsuccessful,81,47.4,,
32,371447,Lyle Foster,485,South Africa,4,FirstHalf,BallTouch,Successful,17.3,52.2,,
415,425115,Johan Vásquez,972,Mexico,4,FirstHalf,Pass,Unsuccessful,75.5,48.2,70.3,57.8
33,456637,Jayden Adams,485,South Africa,4,FirstHalf,Pass,Successful,31.7,41,50.6,44.3
34,498795,Iqraam Rayners,485,South Africa,4,FirstHalf,BallRecovery,Successful,50.8,44.3,,
35,498795,Iqraam Rayners,485,South Africa,4,FirstHalf,Pass,Successful,59,37.9,56.9,34
36,456637,Jayden Adams,485,South Africa,4,FirstHalf,Pass,Successful,55.2,42.5,65.9,65.1
37,371447,Lyle Foster,485,South Africa,4,FirstHalf,Pass,Unsuccessful,75.6,67.1,91.5,60.7
48,527319,Raúl Rangel,972,Mexico,4,FirstHalf,KeeperPickup,Successful,8.2,37.1,,
49,527319,Raúl Rangel,972,Mexico,5,FirstHalf,Pass,Successful,8.8,42.3,20.2,39.9
84,447638,Érik Lira,972,Mexico,5,FirstHalf,Pass,Successful,20.2,41.8,21.6,70.3
50,425115,Johan Vásquez,972,Mexico,5,FirstHalf,Pass,Successful,27.3,71.8,27.7,59.4
51,447638,Érik Lira,972,Mexico,5,FirstHalf,Pass,Successful,28.1,56.3,36.5,15
52,447634,Israel Reyes,972,Mexico,5,FirstHalf,Pass,Successful,38.6,13.7,43,24.3
53,447638,Érik Lira,972,Mexico,5,FirstHalf,Pass,Successful,43,24.3,60,94.7
54,252248,Jesús Gallardo,972,Mexico,5,FirstHalf,Pass,Unsuccessful,61.9,93.9,72.5,70
38,457247,Teboho Mokoena,485,South Africa,5,FirstHalf,Interception,Successful,27.5,30,,
39,457254,Nkosinathi Sibisi,485,South Africa,5,FirstHalf,Pass,Successful,31.9,22.5,31.9,33.9
40,386978,Yaya Sithole,485,South Africa,5,FirstHalf,BallRecovery,Successful,31.9,34.2,,
41,386978,Yaya Sithole,485,South Africa,5,FirstHalf,Pass,Successful,33,35.7,37.1,53.1
42,456637,Jayden Adams,485,South Africa,5,FirstHalf,Pass,Successful,38.9,60.2,49.2,57.2
43,371447,Lyle Foster,485,South Africa,5,FirstHalf,Pass,Unsuccessful,49.6,54.6,62.3,0
