eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,944,Egypt,0,FirstHalf,Start,Successful,0,0,,
2,,,1918,New Zealand,0,FirstHalf,Start,Successful,0,0,,
3,455336,Elijah Just,1918,New Zealand,0,FirstHalf,Pass,Successful,50.1,49.3,37.5,47.8
4,395377,Joe Bell,1918,New Zealand,0,FirstHalf,Pass,Successful,37.2,47.5,54.1,53.8
5,455336,Elijah Just,1918,New Zealand,0,FirstHalf,Pass,Successful,54,54.6,52.4,43.3
6,379696,Sarpreet Singh,1918,New Zealand,0,FirstHalf,Pass,Unsuccessful,52.4,43.3,65.7,45.1
3,431069,Mohanad Lasheen,944,Egypt,0,FirstHalf,BallTouch,Unsuccessful,37,53.6,,
8,114686,Tim Payne,1918,New Zealand,0,FirstHalf,Pass,Successful,52.4,0,66.2,4.9
9,379696,Sarpreet Singh,1918,New Zealand,0,FirstHalf,Pass,Successful,62.3,4.6,36.4,11.8
10,483919,Finn Surman,1918,New Zealand,0,FirstHalf,Pass,Successful,37,12.6,31.6,50.2
11,42898,Michael Boxall,1918,New Zealand,0,FirstHalf,Pass,Successful,28.1,51,31.4,21.1
12,483919,Finn Surman,1918,New Zealand,0,FirstHalf,Pass,Successful,34.2,21.6,96.3,17.7
13,455331,Callum McCowatt,1918,New Zealand,0,FirstHalf,Pass,Unsuccessful,97.2,21,96.6,46.5
5,519797,Mostafa Shobeir,944,Egypt,0,FirstHalf,Clearance,Successful,4,56.1,9,59.7
6,431063,Hamdi Fathy,944,Egypt,0,FirstHalf,BallRecovery,Successful,9,59.7,,
7,431063,Hamdi Fathy,944,Egypt,0,FirstHalf,Pass,Successful,9.2,61.2,7.1,71.3
8,431065,Ahmed Fatouh,944,Egypt,0,FirstHalf,Pass,Unsuccessful,5.2,80,26.4,77.6
14,395377,Joe Bell,1918,New Zealand,0,FirstHalf,BallRecovery,Successful,66.5,17.7,,
15,395377,Joe Bell,1918,New Zealand,0,FirstHalf,Pass,Successful,64.6,16.8,82.1,12.3
16,455331,Callum McCowatt,1918,New Zealand,0,FirstHalf,Pass,Successful,80.4,10.6,88.9,5.4
17,379696,Sarpreet Singh,1918,New Zealand,0,FirstHalf,TakeOn,Unsuccessful,90.2,9.6,,
9,431065,Ahmed Fatouh,944,Egypt,0,FirstHalf,Tackle,Successful,9.8,90.4,,
19,455331,Callum McCowatt,1918,New Zealand,0,FirstHalf,Pass,Successful,90.7,0,75.5,5.2
20,114686,Tim Payne,1918,New Zealand,0,FirstHalf,Pass,Unsuccessful,77,5.4,87.8,45.6
11,431063,Hamdi Fathy,944,Egypt,0,FirstHalf,Clearance,Successful,8.8,54.6,24.8,56.4
12,394749,Omar Marmoush,944,Egypt,1,FirstHalf,Foul,Successful,26,58.2,,
21,483919,Finn Surman,1918,New Zealand,1,FirstHalf,Foul,Unsuccessful,74,41.8,,
13,476815,Marwan Attia,944,Egypt,1,FirstHalf,Pass,Successful,26.2,52.8,39.7,22.3
14,450471,Mohamed Hany,944,Egypt,1,FirstHalf,Pass,Successful,52.7,11.2,59.4,8.2
15,512753,Mostafa Zico,944,Egypt,1,FirstHalf,Pass,Successful,60.5,8.2,50.1,16.9
16,476815,Marwan Attia,944,Egypt,1,FirstHalf,Pass,Successful,49.3,17,35.9,50.7
17,431063,Hamdi Fathy,944,Egypt,1,FirstHalf,Pass,Successful,37.1,51.8,43.3,67.5
18,431069,Mohanad Lasheen,944,Egypt,1,FirstHalf,Pass,Successful,45.9,68.4,59.5,86.7
19,431065,Ahmed Fatouh,944,Egypt,1,FirstHalf,Pass,Successful,64.4,87,85,84.6
20,394749,Omar Marmoush,944,Egypt,1,FirstHalf,BallTouch,Unsuccessful,92.6,74.6,,
22,134040,Max Crocombe,1918,New Zealand,1,FirstHalf,KeeperPickup,Successful,1.2,39.9,,
24,134040,Max Crocombe,1918,New Zealand,1,FirstHalf,Pass,Successful,9.2,48,70.2,57.6
25,73380,Chris Wood,1918,New Zealand,1,FirstHalf,BallTouch,Unsuccessful,70.9,57.3,,
21,450472,Yasser Ibrahim,944,Egypt,1,FirstHalf,BallRecovery,Successful,28,40.9,,
22,450472,Yasser Ibrahim,944,Egypt,1,FirstHalf,Pass,Successful,29.1,38.9,28.9,56.1
23,431063,Hamdi Fathy,944,Egypt,1,FirstHalf,Pass,Successful,28.8,62.7,35.5,87.8
24,431068,Emam Ashour,944,Egypt,1,FirstHalf,Pass,Successful,36.4,84.3,31.4,87.6
25,431065,Ahmed Fatouh,944,Egypt,1,FirstHalf,Pass,Successful,30.7,87,27.6,73.8
26,431063,Hamdi Fathy,944,Egypt,1,FirstHalf,Pass,Successful,25.4,65.6,23.7,37.4
27,450472,Yasser Ibrahim,944,Egypt,2,FirstHalf,Pass,Successful,26,32.3,35.1,10
28,450471,Mohamed Hany,944,Egypt,2,FirstHalf,Pass,Successful,35.7,8.6,25.7,24.5
29,450472,Yasser Ibrahim,944,Egypt,2,FirstHalf,Pass,Successful,25.4,25,25.8,57
30,431063,Hamdi Fathy,944,Egypt,2,FirstHalf,Pass,Successful,25.6,58.2,27.6,92.6
31,431065,Ahmed Fatouh,944,Egypt,2,FirstHalf,Pass,Successful,27.6,93.6,36.2,92.3
32,431068,Emam Ashour,944,Egypt,2,FirstHalf,Foul,Successful,34.8,82.6,,
27,395377,Joe Bell,1918,New Zealand,2,FirstHalf,Foul,Unsuccessful,65.2,17.4,,
34,431065,Ahmed Fatouh,944,Egypt,2,FirstHalf,Pass,Successful,32.3,93,37.5,88.9
39,431068,Emam Ashour,944,Egypt,2,FirstHalf,Pass,Successful,37.3,92.6,31.7,96.1
43,431065,Ahmed Fatouh,944,Egypt,2,FirstHalf,Pass,Successful,31.8,93.4,30.3,85.4
46,431063,Hamdi Fathy,944,Egypt,2,FirstHalf,Pass,Successful,27.8,75,34.9,92.9
33,431065,Ahmed Fatouh,944,Egypt,2,FirstHalf,Pass,Unsuccessful,33.8,91.8,86.2,58.1
28,134040,Max Crocombe,1918,New Zealand,2,FirstHalf,BallRecovery,Successful,13.7,46.2,,
29,134040,Max Crocombe,1918,New Zealand,2,FirstHalf,Pass,Successful,14.8,41.5,21.5,25.2
30,483919,Finn Surman,1918,New Zealand,2,FirstHalf,Pass,Successful,22.6,24.4,29.1,4.3
31,114686,Tim Payne,1918,New Zealand,2,FirstHalf,Pass,Unsuccessful,30.7,5.8,33.6,8.4
35,431068,Emam Ashour,944,Egypt,2,FirstHalf,BlockedPass,Successful,66.4,91.6,,
33,114686,Tim Payne,1918,New Zealand,3,FirstHalf,Pass,Successful,38.5,0,65.8,7.8
34,73380,Chris Wood,1918,New Zealand,3,FirstHalf,BallTouch,Unsuccessful,66,7.3,,
37,431063,Hamdi Fathy,944,Egypt,3,FirstHalf,Pass,Unsuccessful,35.9,92.4,38.2,92.8
35,73380,Chris Wood,1918,New Zealand,3,FirstHalf,BallTouch,Unsuccessful,62.5,4.3,,
40,431065,Ahmed Fatouh,944,Egypt,3,FirstHalf,Pass,Successful,47.1,100,57.7,79.1
41,394749,Omar Marmoush,944,Egypt,3,FirstHalf,Pass,Successful,52.5,75.9,46.7,28.7
42,450471,Mohamed Hany,944,Egypt,3,FirstHalf,Pass,Successful,60.1,22.1,67.5,19.7
44,108226,Mohamed Salah,944,Egypt,3,FirstHalf,Pass,Successful,65.3,24.5,44.5,32.8
45,450472,Yasser Ibrahim,944,Egypt,3,FirstHalf,Pass,Successful,43.9,31.9,30.5,58.8
47,431063,Hamdi Fathy,944,Egypt,3,FirstHalf,Pass,Successful,33.7,58.1,36.9,39.7
48,450472,Yasser Ibrahim,944,Egypt,3,FirstHalf,Pass,Successful,43.4,31.1,62.2,11.5
49,108226,Mohamed Salah,944,Egypt,3,FirstHalf,Pass,Unsuccessful,62.9,10.9,87.9,38.2
37,134040,Max Crocombe,1918,New Zealand,4,FirstHalf,KeeperPickup,Successful,14.4,59.8,,
