eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,957,Senegal,0,FirstHalf,Start,Successful,0,0,,
2,,,334,Norway,0,FirstHalf,Start,Successful,0,0,,
3,247454,Martin Ødegaard,334,Norway,0,FirstHalf,Pass,Successful,50.2,49.8,19.8,45.1
4,39187,Ørjan Nyland,334,Norway,0,FirstHalf,Pass,Unsuccessful,21.4,40.6,71.4,10.3
3,399047,Pape Gueye,957,Senegal,0,FirstHalf,Aerial,Successful,28.6,89.7,,
5,302497,Alexander Sørloth,334,Norway,0,FirstHalf,Aerial,Unsuccessful,71.4,10.3,,
4,399047,Pape Gueye,957,Senegal,0,FirstHalf,Clearance,Successful,28.6,89.7,24.4,89.3
6,302497,Alexander Sørloth,334,Norway,0,FirstHalf,BallTouch,Successful,71.4,10.3,,
7,247454,Martin Ødegaard,334,Norway,0,FirstHalf,Dispossessed,Successful,71.4,11.4,,
5,109915,Sadio Mané,957,Senegal,0,FirstHalf,Tackle,Successful,28.6,88.4,,
9,320436,Julian Ryerson,334,Norway,0,FirstHalf,Pass,Unsuccessful,87,0,91.1,25.6
7,296319,Moussa Niakhaté,957,Senegal,0,FirstHalf,Aerial,Successful,8.9,74.4,,
10,302497,Alexander Sørloth,334,Norway,0,FirstHalf,Aerial,Unsuccessful,91.1,25.6,,
8,296319,Moussa Niakhaté,957,Senegal,0,FirstHalf,Clearance,Successful,8.9,74.4,0,87.9
9,296319,Moussa Niakhaté,957,Senegal,0,FirstHalf,CornerAwarded,Unsuccessful,1.6,88.4,,
11,320436,Julian Ryerson,334,Norway,0,FirstHalf,CornerAwarded,Successful,98.4,11.6,,
12,247454,Martin Ødegaard,334,Norway,1,FirstHalf,Pass,Unsuccessful,99.5,0.5,94.1,47.8
10,426050,Nicolas Jackson,957,Senegal,1,FirstHalf,Aerial,Successful,5.9,52.2,,
13,302497,Alexander Sørloth,334,Norway,1,FirstHalf,Aerial,Unsuccessful,94.1,47.8,,
11,426050,Nicolas Jackson,957,Senegal,1,FirstHalf,Clearance,Successful,5.9,52.2,19,35.1
14,416030,Antonio Nusa,334,Norway,1,FirstHalf,MissedShots,Successful,81.6,67.7,,
12,90880,Kalidou Koulibaly,957,Senegal,1,FirstHalf,BallTouch,Successful,9.3,48.7,,
15,416030,Antonio Nusa,334,Norway,1,FirstHalf,CornerAwarded,Successful,90.1,48.8,,
13,90880,Kalidou Koulibaly,957,Senegal,1,FirstHalf,CornerAwarded,Unsuccessful,9.9,51.2,,
16,247454,Martin Ødegaard,334,Norway,1,FirstHalf,Pass,Unsuccessful,99.5,0.5,97,55.9
14,479288,El Hadji Malick Diouf,957,Senegal,1,FirstHalf,Clearance,Successful,3.2,42.2,0,32.9
17,247454,Martin Ødegaard,334,Norway,1,FirstHalf,CornerAwarded,Successful,99.8,62.8,,
15,479288,El Hadji Malick Diouf,957,Senegal,1,FirstHalf,CornerAwarded,Unsuccessful,0.2,37.3,,
18,320436,Julian Ryerson,334,Norway,2,FirstHalf,Pass,Successful,99.5,99.5,95.2,51.3
19,321085,Kristoffer Ajer,334,Norway,2,FirstHalf,SavedShot,Successful,95.2,51.3,,
16,321390,Édouard Mendy,957,Senegal,2,FirstHalf,Save,Successful,1.9,49.8,,
17,90880,Kalidou Koulibaly,957,Senegal,2,FirstHalf,BallTouch,Unsuccessful,5.8,49.3,,
20,321085,Kristoffer Ajer,334,Norway,2,FirstHalf,CornerAwarded,Successful,94.4,52.3,,
18,90880,Kalidou Koulibaly,957,Senegal,2,FirstHalf,CornerAwarded,Unsuccessful,5.6,47.8,,
11022,426050,Nicolas Jackson,957,Senegal,3,FirstHalf,OffsideGiven,Unsuccessful,68.5,32.7,,
21,320436,Julian Ryerson,334,Norway,3,FirstHalf,Pass,Unsuccessful,99.5,99.5,95.2,49.6
19,447689,Lamine Camara,957,Senegal,3,FirstHalf,Clearance,Successful,3.2,42.5,27.8,42.2
22,416030,Antonio Nusa,334,Norway,3,FirstHalf,Pass,Unsuccessful,65.3,51.9,70,32.4
20,399047,Pape Gueye,957,Senegal,3,FirstHalf,Pass,Successful,27.7,58.6,41.9,73.3
21,109915,Sadio Mané,957,Senegal,3,FirstHalf,BallRecovery,Successful,43.5,72.5,,
22,109915,Sadio Mané,957,Senegal,3,FirstHalf,OffsidePass,Successful,43.7,73.2,68.5,32.7
23,415341,David Møller Wolfe,334,Norway,3,FirstHalf,OffsideProvoked,Successful,35.2,55.2,,
24,321020,Sander Berge,334,Norway,3,FirstHalf,Pass,Successful,35.9,63.4,37.1,35.5
25,247454,Martin Ødegaard,334,Norway,3,FirstHalf,Pass,Successful,37.8,34,37.5,10.5
26,320436,Julian Ryerson,334,Norway,3,FirstHalf,Pass,Successful,37.5,10.5,34.1,29.7
