eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,2694,Panama,0,FirstHalf,Start,Successful,0,0,,
2,,,345,England,0,FirstHalf,Start,Successful,0,0,,
3,458333,Tomás Rodríguez,2694,Panama,0,FirstHalf,Pass,Successful,49.8,50.1,29.1,49.2
4,458339,José Córdoba,2694,Panama,0,FirstHalf,Pass,Unsuccessful,30,51.6,74.7,70.6
3,301440,Ezri Konsa,345,England,0,FirstHalf,BallTouch,Unsuccessful,29.6,39.9,,
5,458333,Tomás Rodríguez,2694,Panama,0,FirstHalf,SavedShot,Successful,76.8,60,,
4,110189,Jordan Pickford,345,England,0,FirstHalf,Save,Successful,4.5,49.6,,
5,110189,Jordan Pickford,345,England,0,FirstHalf,KeeperPickup,Successful,4.5,49.6,,
6,110189,Jordan Pickford,345,England,0,FirstHalf,Pass,Successful,13.4,56.1,15.2,72.1
7,374631,Marc Guéhi,345,England,0,FirstHalf,Pass,Successful,14.7,71.1,23.9,71.7
8,379868,Jude Bellingham,345,England,0,FirstHalf,Pass,Successful,28.4,72.4,33.2,96.4
9,468847,Nico O'Reilly,345,England,0,FirstHalf,Pass,Successful,33.4,96.1,28.6,73
10,379868,Jude Bellingham,345,England,0,FirstHalf,Pass,Successful,29.9,70.9,29.2,44.2
11,402596,Elliot Anderson,345,England,0,FirstHalf,Pass,Successful,29.5,37.2,40.1,3.3
12,430019,Jarell Quansah,345,England,0,FirstHalf,Pass,Successful,39.2,3.1,28.7,18.3
13,301440,Ezri Konsa,345,England,0,FirstHalf,Pass,Successful,29.8,30.1,29.4,59.5
14,374631,Marc Guéhi,345,England,0,FirstHalf,Pass,Successful,33.8,67.2,37.2,43.3
15,402596,Elliot Anderson,345,England,0,FirstHalf,Pass,Successful,37.6,43.2,31.9,33
16,301440,Ezri Konsa,345,England,0,FirstHalf,Pass,Successful,32.9,44.8,34.1,33.9
17,402596,Elliot Anderson,345,England,0,FirstHalf,Pass,Unsuccessful,41.2,28.6,93.6,19.8
6,448768,Orlando Mosquera,2694,Panama,0,FirstHalf,KeeperPickup,Successful,5.1,75.6,,
7,448768,Orlando Mosquera,2694,Panama,1,FirstHalf,Pass,Successful,9.2,65.8,19.7,95.2
8,397267,Andrés Andrade,2694,Panama,1,FirstHalf,Pass,Successful,22.9,94.2,63.7,96.3
