eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,341,France,0,FirstHalf,Start,Successful,0,0,,
2,,,417,Paraguay,0,FirstHalf,Start,Successful,0,0,,
3,371281,Michael Olise,341,France,0,FirstHalf,Pass,Unsuccessful,50.2,49.7,96.3,100
4,392316,Juan José Cáceres,417,Paraguay,0,FirstHalf,Pass,Unsuccessful,8.4,0,33.7,3.3
5,116609,Adrien Rabiot,341,France,0,FirstHalf,Pass,Unsuccessful,57.7,89.6,63.5,91.4
5,446133,Diego Gómez,417,Paraguay,0,FirstHalf,BallTouch,Successful,31.8,3.7,,
6,303924,Miguel Almirón,417,Paraguay,0,FirstHalf,Pass,Unsuccessful,30.8,4.6,56,9.1
6,327721,Dayot Upamecano,341,France,0,FirstHalf,BallRecovery,Successful,36,81,,
7,327721,Dayot Upamecano,341,France,0,FirstHalf,Pass,Successful,36,81,2.9,79.1
8,141646,Mike Maignan,341,France,0,FirstHalf,Pass,Successful,3.5,82.9,15.9,89.6
9,361822,William Saliba,341,France,0,FirstHalf,Pass,Successful,5.4,89.9,11.8,81
10,369570,Manu Koné,341,France,0,FirstHalf,Pass,Successful,12,81,17.8,93.9
11,89925,Lucas Digne,341,France,0,FirstHalf,Pass,Successful,18.2,94.2,29,62.5
12,371281,Michael Olise,341,France,0,FirstHalf,Pass,Successful,29,62.5,19.8,58.3
13,327721,Dayot Upamecano,341,France,0,FirstHalf,Pass,Successful,19.9,58.4,37.6,13.4
14,301019,Jules Koundé,341,France,0,FirstHalf,Pass,Successful,81.2,25.1,88.8,12.9
15,299513,Ousmane Dembélé,341,France,0,FirstHalf,Pass,Unsuccessful,92.9,11.9,87.8,40.1
9,303656,Andrés Cubas,417,Paraguay,0,FirstHalf,Interception,Successful,12.2,59.9,,
10,344639,Omar Alderete,417,Paraguay,0,FirstHalf,Clearance,Successful,10.6,62.4,59.8,97.9
16,327721,Dayot Upamecano,341,France,1,FirstHalf,Pass,Successful,46.4,9.5,61.3,7.8
17,371281,Michael Olise,341,France,1,FirstHalf,Pass,Successful,62.5,6.7,71.3,5.5
18,299513,Ousmane Dembélé,341,France,1,FirstHalf,Pass,Successful,71,5.2,66.2,21.8
19,371281,Michael Olise,341,France,1,FirstHalf,Pass,Successful,68.2,43.2,66.4,63.7
20,116609,Adrien Rabiot,341,France,1,FirstHalf,Pass,Successful,68.8,67.3,78.8,91
21,425366,Bradley Barcola,341,France,1,FirstHalf,Pass,Successful,78.8,91,70.6,76.7
22,116609,Adrien Rabiot,341,France,1,FirstHalf,Pass,Successful,70.6,76.7,66.4,91.3
23,89925,Lucas Digne,341,France,1,FirstHalf,Pass,Successful,65.3,93.1,56.6,74.4
24,361822,William Saliba,341,France,1,FirstHalf,Pass,Successful,57,72.6,61.7,30.9
25,369570,Manu Koné,341,France,1,FirstHalf,Pass,Successful,62.5,29.8,74.2,5.1
26,299513,Ousmane Dembélé,341,France,1,FirstHalf,Pass,Successful,75.7,9.2,69.9,25.9
27,369570,Manu Koné,341,France,1,FirstHalf,Pass,Successful,70.7,26,78,37.2
28,300713,Kylian Mbappé,341,France,1,FirstHalf,Pass,Unsuccessful,78,37.2,76.3,27.5
11,303656,Andrés Cubas,417,Paraguay,1,FirstHalf,BallRecovery,Successful,24.1,70.8,,
12,303656,Andrés Cubas,417,Paraguay,1,FirstHalf,Pass,Successful,24.4,70.6,21.5,77.7
13,436554,Matías Galarza,417,Paraguay,1,FirstHalf,Pass,Unsuccessful,21,76.9,32.8,72
29,369570,Manu Koné,341,France,1,FirstHalf,Pass,Successful,61.8,16.7,70.7,8.1
30,301019,Jules Koundé,341,France,1,FirstHalf,BallRecovery,Successful,70.7,8.1,,
31,301019,Jules Koundé,341,France,1,FirstHalf,Pass,Successful,69.2,5.8,75.6,9.9
32,299513,Ousmane Dembélé,341,France,1,FirstHalf,Pass,Successful,68.3,12.8,54.7,19.9
33,327721,Dayot Upamecano,341,France,1,FirstHalf,Pass,Successful,57.5,24.4,55.2,50.6
34,361822,William Saliba,341,France,1,FirstHalf,Pass,Successful,56.2,48.6,60.8,35.4
35,369570,Manu Koné,341,France,1,FirstHalf,Pass,Successful,62.9,35.7,63.8,54.5
36,116609,Adrien Rabiot,341,France,1,FirstHalf,Pass,Unsuccessful,70.2,59.5,84.5,43.2
14,344639,Omar Alderete,417,Paraguay,1,FirstHalf,Clearance,Successful,12.7,58.5,38.7,43.9
37,361822,William Saliba,341,France,2,FirstHalf,Pass,Successful,54.8,58.4,57.3,84.7
38,89925,Lucas Digne,341,France,2,FirstHalf,Pass,Successful,61.6,87.5,69.6,94.3
39,425366,Bradley Barcola,341,France,2,FirstHalf,TakeOn,Unsuccessful,68,94.8,,
15,392316,Juan José Cáceres,417,Paraguay,2,FirstHalf,Tackle,Successful,32,5.2,,
41,89925,Lucas Digne,341,France,2,FirstHalf,Pass,Successful,49.2,100,44.3,75.2
42,361822,William Saliba,341,France,2,FirstHalf,Pass,Successful,44.9,73.5,60.8,30
43,369570,Manu Koné,341,France,2,FirstHalf,Pass,Successful,60.8,27.7,76.6,6.4
44,371281,Michael Olise,341,France,2,FirstHalf,TakeOn,Unsuccessful,77.9,10.1,,
17,436554,Matías Galarza,417,Paraguay,2,FirstHalf,Tackle,Successful,22.1,89.9,,
18,436554,Matías Galarza,417,Paraguay,2,FirstHalf,BallRecovery,Successful,20.2,88.9,,
19,436554,Matías Galarza,417,Paraguay,2,FirstHalf,Pass,Unsuccessful,22.4,89.8,27.2,80.5
45,327721,Dayot Upamecano,341,France,2,FirstHalf,Interception,Successful,72.8,19.5,,
46,327721,Dayot Upamecano,341,France,2,FirstHalf,BallRecovery,Successful,68.6,6.6,,
47,327721,Dayot Upamecano,341,France,2,FirstHalf,Pass,Successful,73.7,7.9,67.7,17.6
