eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,1563,Uzbekistan,0,FirstHalf,Start,Successful,0,0,,
2,,,340,Portugal,0,FirstHalf,Start,Successful,0,0,,
3,274624,Otabek Shukurov,1563,Uzbekistan,0,FirstHalf,Pass,Successful,49.8,50.4,24.3,50.8
4,457150,Abduvokhid Nematov,1563,Uzbekistan,0,FirstHalf,Pass,Unsuccessful,26.1,47.4,76,93.9
3,128967,João Cancelo,340,Portugal,0,FirstHalf,Pass,Successful,25.5,6.8,35.8,7.4
4,123761,Bruno Fernandes,340,Portugal,0,FirstHalf,Pass,Successful,35.8,7.4,45.9,3.4
5,337916,Pedro Neto,340,Portugal,0,FirstHalf,BallRecovery,Successful,45.9,3.4,,
6,337916,Pedro Neto,340,Portugal,0,FirstHalf,TakeOn,Unsuccessful,64,6.6,,
5,280961,Rustam Ashurmatov,1563,Uzbekistan,0,FirstHalf,Tackle,Successful,36,93.4,,
8,128967,João Cancelo,340,Portugal,0,FirstHalf,Pass,Successful,65,0,43,6.1
9,313171,Rúben Dias,340,Portugal,0,FirstHalf,Pass,Successful,40.5,16.8,46.3,37.9
10,384887,Vitinha,340,Portugal,0,FirstHalf,Pass,Successful,52.7,56,47,40
11,313171,Rúben Dias,340,Portugal,0,FirstHalf,Pass,Successful,53.3,47.2,60.3,87.2
12,362431,João Félix,340,Portugal,0,FirstHalf,Pass,Successful,57.7,77.5,47.3,51.9
13,313171,Rúben Dias,340,Portugal,0,FirstHalf,Pass,Successful,53.1,44.8,58.6,8.3
14,128967,João Cancelo,340,Portugal,0,FirstHalf,Pass,Successful,54.4,18.6,39.6,38.5
15,313171,Rúben Dias,340,Portugal,0,FirstHalf,Pass,Successful,40.1,40.9,40.2,65.4
16,434077,Renato Veiga,340,Portugal,0,FirstHalf,Pass,Successful,40.2,65.4,43.9,58.5
17,384887,Vitinha,340,Portugal,0,FirstHalf,Pass,Successful,43.9,58.5,36.3,70.5
18,434077,Renato Veiga,340,Portugal,0,FirstHalf,Pass,Successful,35,70.9,39,95
19,395221,Nuno Mendes,340,Portugal,1,FirstHalf,Pass,Unsuccessful,39,95,42.6,94.1
7,616229,Bekhruz Karimov,1563,Uzbekistan,1,FirstHalf,BlockedPass,Successful,57.4,5.9,,
21,395221,Nuno Mendes,340,Portugal,1,FirstHalf,Pass,Successful,41.7,100,36.1,87.7
22,384887,Vitinha,340,Portugal,1,FirstHalf,Pass,Successful,43.8,72.4,63,64.5
23,123761,Bruno Fernandes,340,Portugal,1,FirstHalf,Pass,Successful,63,64.5,55.4,51.2
24,465388,João Neves,340,Portugal,1,FirstHalf,Pass,Successful,55.4,51,62,26.8
25,128967,João Cancelo,340,Portugal,1,FirstHalf,Pass,Successful,62,26.8,68.1,3.5
26,337916,Pedro Neto,340,Portugal,1,FirstHalf,Pass,Successful,67.8,23.3,67.7,37.3
27,384887,Vitinha,340,Portugal,1,FirstHalf,Pass,Successful,67.7,37.3,72.9,18.6
28,465388,João Neves,340,Portugal,1,FirstHalf,Pass,Successful,72.9,18.6,93.3,23.6
29,123761,Bruno Fernandes,340,Portugal,1,FirstHalf,Pass,Unsuccessful,92,22.7,92.9,54.8
9,455411,Abdulla Abdullaev,1563,Uzbekistan,1,FirstHalf,Clearance,Successful,7,51.1,18.9,100
