eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,1159,Republic of Korea,0,FirstHalf,Start,Successful,0,0,,
2,,,332,Czechia,0,FirstHalf,Start,Successful,0,0,,
3,383685,Lukás Provod,332,Czechia,0,FirstHalf,Pass,Successful,50.3,49.7,21.8,49.6
4,388668,Matej Kovár,332,Czechia,0,FirstHalf,Pass,Successful,22,49.4,61.9,94.5
5,363731,Jaroslav Zeleny,332,Czechia,0,FirstHalf,Pass,Unsuccessful,61.9,94.5,69.8,100
4,477549,Seol Young-Woo,1159,Republic of Korea,0,FirstHalf,Pass,Successful,31.6,0,28.4,12.7
5,371030,Hwang In-Beom,1159,Republic of Korea,0,FirstHalf,Pass,Unsuccessful,26.9,5.4,54.3,8.8
7,404245,Ladislav Krejcí,332,Czechia,0,FirstHalf,Pass,Successful,46.4,93,51.4,84.4
8,143595,Tomás Soucek,332,Czechia,0,FirstHalf,BallRecovery,Successful,48.2,83.6,,
9,143595,Tomás Soucek,332,Czechia,0,FirstHalf,Pass,Successful,48.2,83.6,41.4,94.2
10,404245,Ladislav Krejcí,332,Czechia,0,FirstHalf,Pass,Successful,41.4,94.2,51.5,93.9
11,363731,Jaroslav Zeleny,332,Czechia,0,FirstHalf,Pass,Successful,51.5,94.1,44.2,86.1
12,143595,Tomás Soucek,332,Czechia,0,FirstHalf,Pass,Successful,44.2,86.1,38.2,93
13,404245,Ladislav Krejcí,332,Czechia,0,FirstHalf,Pass,Successful,35.8,93,30.2,79.3
14,428031,Robin Hranác,332,Czechia,0,FirstHalf,Pass,Successful,19,71.9,8.2,41.5
15,388668,Matej Kovár,332,Czechia,0,FirstHalf,Pass,Unsuccessful,15,24.7,62.2,47.5
6,531031,Lee Han-Beom,1159,Republic of Korea,0,FirstHalf,Pass,Unsuccessful,36.8,48.3,53.6,66.6
16,111372,Vladimír Coufal,332,Czechia,0,FirstHalf,Pass,Unsuccessful,45.7,35.2,54.2,52.8
10,371030,Hwang In-Beom,1159,Republic of Korea,0,FirstHalf,Interception,Successful,45.8,47.2,,
7,477549,Seol Young-Woo,1159,Republic of Korea,0,FirstHalf,BallRecovery,Successful,34.8,25.6,,
8,477549,Seol Young-Woo,1159,Republic of Korea,0,FirstHalf,Pass,Unsuccessful,34.1,25.8,54.7,30.3
17,404245,Ladislav Krejcí,332,Czechia,0,FirstHalf,Pass,Unsuccessful,44.3,70.1,60,67.5
9,371030,Hwang In-Beom,1159,Republic of Korea,0,FirstHalf,Pass,Unsuccessful,41.4,33.1,43.5,31.2
39,533874,Alexandr Sojka,332,Czechia,0,FirstHalf,BlockedPass,Successful,56.5,68.8,,
38,243565,Patrik Schick,332,Czechia,0,FirstHalf,Pass,Successful,65,64.4,59.3,68.4
18,412171,Pavel Sulc,332,Czechia,0,FirstHalf,BallRecovery,Successful,61.8,84.3,,
19,412171,Pavel Sulc,332,Czechia,0,FirstHalf,Pass,Successful,61.8,84.3,60,91.5
20,363731,Jaroslav Zeleny,332,Czechia,0,FirstHalf,Pass,Successful,60.1,92,59.8,81.9
21,143595,Tomás Soucek,332,Czechia,1,FirstHalf,Pass,Successful,60,82.2,64.3,92.7
22,363731,Jaroslav Zeleny,332,Czechia,1,FirstHalf,Pass,Successful,64.4,92.7,67.8,85.2
23,533874,Alexandr Sojka,332,Czechia,1,FirstHalf,Pass,Successful,67.8,85.2,79.4,92.3
24,412171,Pavel Sulc,332,Czechia,1,FirstHalf,Pass,Unsuccessful,79.6,92.7,92.8,88.5
11,531031,Lee Han-Beom,1159,Republic of Korea,1,FirstHalf,BallTouch,Unsuccessful,11.9,10.3,,
25,383685,Lukás Provod,332,Czechia,1,FirstHalf,Pass,Successful,90.8,92.7,82.5,85.7
26,412171,Pavel Sulc,332,Czechia,1,FirstHalf,Pass,Successful,82.5,85.7,86.7,95.1
49,363731,Jaroslav Zeleny,332,Czechia,1,FirstHalf,Pass,Successful,77.8,94.5,82,94.5
27,383685,Lukás Provod,332,Czechia,1,FirstHalf,Pass,Successful,86.7,95.1,73.6,92
28,404245,Ladislav Krejcí,332,Czechia,1,FirstHalf,Pass,Unsuccessful,73.6,91,85.3,63
12,362786,Paik Seung-Ho,1159,Republic of Korea,1,FirstHalf,Clearance,Successful,14.7,34.6,24.2,39.1
13,142959,Lee Jae-Sung,1159,Republic of Korea,1,FirstHalf,BallRecovery,Successful,27.8,42,,
14,142959,Lee Jae-Sung,1159,Republic of Korea,1,FirstHalf,Pass,Unsuccessful,28,43.6,60,97.9
29,111372,Vladimír Coufal,332,Czechia,1,FirstHalf,BallRecovery,Successful,39.9,2.2,,
30,111372,Vladimír Coufal,332,Czechia,1,FirstHalf,Pass,Successful,39.6,2.2,14.6,25.9
31,388668,Matej Kovár,332,Czechia,1,FirstHalf,Pass,Successful,14.5,27.8,22.7,70.1
32,404245,Ladislav Krejcí,332,Czechia,1,FirstHalf,Pass,Unsuccessful,25.4,73.8,90.1,100
11024,91909,Son Heung-Min,1159,Republic of Korea,2,FirstHalf,OffsideGiven,Unsuccessful,67.8,68.1,,
16,531031,Lee Han-Beom,1159,Republic of Korea,2,FirstHalf,Pass,Unsuccessful,17.9,0,39.5,4.6
34,404245,Ladislav Krejcí,332,Czechia,2,FirstHalf,Aerial,Successful,60.5,95.4,,
