eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,424,Scotland,0,FirstHalf,Start,Successful,0,0,,
2,,,409,Brazil,0,FirstHalf,Start,Successful,0,0,,
3,396971,Lewis Ferguson,424,Scotland,0,FirstHalf,Pass,Successful,49.9,50,26.3,49.9
4,318896,Angus Gunn,424,Scotland,0,FirstHalf,Pass,Unsuccessful,28.6,37,77.8,17.6
3,334087,Gabriel Magalhães,409,Brazil,0,FirstHalf,Aerial,Successful,22.2,82.4,,
5,430350,Ben Gannon-Doak,424,Scotland,0,FirstHalf,Aerial,Unsuccessful,77.8,17.6,,
4,334087,Gabriel Magalhães,409,Brazil,0,FirstHalf,Pass,Successful,22.2,82.4,35.1,63.9
5,338780,Bruno Guimarães,409,Brazil,0,FirstHalf,BallRecovery,Successful,34.2,64.2,,
6,338780,Bruno Guimarães,409,Brazil,0,FirstHalf,Pass,Successful,34.2,64.2,39.2,71.4
7,319756,Lucas Paquetá,409,Brazil,0,FirstHalf,Pass,Successful,39.2,71.4,33.7,70.2
8,338780,Bruno Guimarães,409,Brazil,0,FirstHalf,Pass,Successful,33.5,70.8,47.1,95.8
9,337782,Vinícius Júnior,409,Brazil,0,FirstHalf,Dispossessed,Successful,63,91.4,,
6,396975,Nathan Patterson,424,Scotland,0,FirstHalf,Tackle,Unsuccessful,37,8.6,,
11,337782,Vinícius Júnior,409,Brazil,0,FirstHalf,BallTouch,Successful,63.5,89.4,,
8,396975,Nathan Patterson,424,Scotland,0,FirstHalf,Pass,Successful,23.5,0,30.5,17.1
9,82917,Kenny McLean,424,Scotland,0,FirstHalf,Pass,Successful,30.5,17.4,25,4.3
10,396975,Nathan Patterson,424,Scotland,0,FirstHalf,Pass,Successful,24.5,4.6,29.3,12.2
11,82917,Kenny McLean,424,Scotland,1,FirstHalf,BallTouch,Unsuccessful,29.1,11.6,,
12,319756,Lucas Paquetá,409,Brazil,1,FirstHalf,BallRecovery,Successful,63.5,91.2,,
13,319756,Lucas Paquetá,409,Brazil,1,FirstHalf,Dispossessed,Successful,64.7,90.7,,
34,336915,Scott McTominay,424,Scotland,1,FirstHalf,Tackle,Successful,35.3,9.3,,
12,82917,Kenny McLean,424,Scotland,1,FirstHalf,BallRecovery,Successful,32.8,25,,
