eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,863,Cameroon,0,FirstHalf,Start,Successful,0,0,,
2,,,485,South Africa,0,FirstHalf,Start,Successful,0,0,,
3,371447,Lyle Foster,485,South Africa,0,FirstHalf,Pass,Successful,50,50,35.7,55.4
4,457247,Teboho Mokoena,485,South Africa,0,FirstHalf,Pass,Successful,35.7,55.4,45.1,91.8
5,554736,Samukele Kabini,485,South Africa,0,FirstHalf,Pass,Successful,45.1,91.8,30.2,73.6
6,563880,Mbekezeli Mbokazi,485,South Africa,0,FirstHalf,Pass,Successful,27.9,69.3,23.9,48.2
7,457254,Nkosinathi Sibisi,485,South Africa,0,FirstHalf,Pass,Successful,23.8,46.1,26.6,26.2
8,458440,Siyabonga Ngezana,485,South Africa,0,FirstHalf,Pass,Successful,30.6,17,32.9,7.4
9,457250,Khuliso Mudau,485,South Africa,0,FirstHalf,Pass,Successful,34.3,5.3,56.5,27.4
10,371447,Lyle Foster,485,South Africa,0,FirstHalf,Pass,Successful,53.6,25.8,47.5,17.7
11,457247,Teboho Mokoena,485,South Africa,0,FirstHalf,Pass,Successful,47.5,17.7,59.6,6.5
12,457250,Khuliso Mudau,485,South Africa,0,FirstHalf,Pass,Successful,59.6,6.5,71.6,4.6
14,509374,Oswin Appollis,485,South Africa,0,FirstHalf,TakeOn,Unsuccessful,74.8,11.6,,
3,444789,Darlin Yongwa,863,Cameroon,0,FirstHalf,Tackle,Successful,25.2,88.4,,
4,444789,Darlin Yongwa,863,Cameroon,0,FirstHalf,BallRecovery,Successful,19.7,75.7,,
5,444789,Darlin Yongwa,863,Cameroon,0,FirstHalf,Pass,Successful,26.1,88.1,25.2,84
15,468190,Arthur Avom,863,Cameroon,0,FirstHalf,BallTouch,Successful,27.3,87.6,,
16,509374,Oswin Appollis,485,South Africa,0,FirstHalf,BallTouch,Unsuccessful,71.6,7.9,,
7,436048,Carlos Baleba,863,Cameroon,0,FirstHalf,BallTouch,Unsuccessful,18.6,77.2,,
17,457250,Khuliso Mudau,485,South Africa,0,FirstHalf,Pass,Successful,70.4,7.9,65.6,8.8
18,457247,Teboho Mokoena,485,South Africa,0,FirstHalf,Pass,Unsuccessful,65.6,9.8,68.5,17.4
8,342857,Danny Namaso,863,Cameroon,0,FirstHalf,Interception,Successful,31.5,82.6,,
9,463416,Che Malone,863,Cameroon,0,FirstHalf,Pass,Successful,6.2,75.7,14.1,90.1
10,335583,Nouhou Tolo,863,Cameroon,0,FirstHalf,BallTouch,Unsuccessful,17.4,88.1,,
20,457247,Teboho Mokoena,485,South Africa,0,FirstHalf,Foul,Successful,78.2,11.5,,
11,335583,Nouhou Tolo,863,Cameroon,0,FirstHalf,Foul,Unsuccessful,21.8,88.5,,
12,335583,Nouhou Tolo,863,Cameroon,1,FirstHalf,Card,Successful,0,0,,
23,509374,Oswin Appollis,485,South Africa,2,FirstHalf,Pass,Successful,76,8.8,90.5,43.8
24,371447,Lyle Foster,485,South Africa,2,FirstHalf,MissedShots,Successful,90.5,43.8,,
17,139110,Dévis Epassy,863,Cameroon,3,FirstHalf,Pass,Successful,4.4,51.3,9.4,57.1
18,443793,Samuel Kotto,863,Cameroon,3,FirstHalf,Pass,Successful,11.4,55.8,15.5,28.5
19,463416,Che Malone,863,Cameroon,3,FirstHalf,Pass,Unsuccessful,20.5,22.8,56,29.5
26,563880,Mbekezeli Mbokazi,485,South Africa,3,FirstHalf,Aerial,Successful,44,70.5,,
20,353377,Bryan Mbeumo,863,Cameroon,3,FirstHalf,Aerial,Unsuccessful,56,29.5,,
27,563880,Mbekezeli Mbokazi,485,South Africa,3,FirstHalf,Pass,Successful,43,72.6,53.1,83.8
28,554736,Samukele Kabini,485,South Africa,3,FirstHalf,BallRecovery,Successful,47.7,84.7,,
29,554736,Samukele Kabini,485,South Africa,3,FirstHalf,Pass,Unsuccessful,40.2,88.1,41.9,88.3
21,407649,Junior Tchamadeu,863,Cameroon,3,FirstHalf,BlockedPass,Successful,58.1,11.7,,
22,342857,Danny Namaso,863,Cameroon,3,FirstHalf,BallTouch,Unsuccessful,53.8,16.6,,
30,464874,Bathusi Aubaas,485,South Africa,3,FirstHalf,Pass,Successful,40.5,84.1,34.6,90.5
