eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,335,Netherlands,0,FirstHalf,Start,Successful,0,0,,
2,,,959,Tunisia,0,FirstHalf,Start,Successful,0,0,,
3,343382,Tijjani Reijnders,335,Netherlands,0,FirstHalf,Pass,Successful,50,50,28,52.3
4,400138,Bart Verbruggen,335,Netherlands,0,FirstHalf,Pass,Successful,32,47.5,40.9,56.8
5,95408,Virgil van Dijk,335,Netherlands,0,FirstHalf,Pass,Successful,43.9,64,52.1,76
6,122945,Nathan Aké,335,Netherlands,0,FirstHalf,Pass,Successful,57.3,82.5,46.2,41.8
7,365402,Jan Paul van Hecke,335,Netherlands,0,FirstHalf,Pass,Successful,52.3,43,57.1,66.4
8,95408,Virgil van Dijk,335,Netherlands,0,FirstHalf,Pass,Successful,57.4,67.3,70.9,93.9
9,352825,Cody Gakpo,335,Netherlands,0,FirstHalf,Pass,Successful,70.9,93.9,62.5,79.8
10,122945,Nathan Aké,335,Netherlands,0,FirstHalf,Pass,Successful,60.4,77.2,51.8,45.4
11,365402,Jan Paul van Hecke,335,Netherlands,0,FirstHalf,Pass,Successful,52.3,43,55.4,15.3
12,322153,Denzel Dumfries,335,Netherlands,0,FirstHalf,Pass,Successful,54.1,14.5,52.5,36.3
13,365402,Jan Paul van Hecke,335,Netherlands,0,FirstHalf,Pass,Successful,53,38.1,55,57.9
14,95408,Virgil van Dijk,335,Netherlands,0,FirstHalf,Pass,Successful,59.5,57.9,63.7,28.6
15,279423,Frenkie de Jong,335,Netherlands,0,FirstHalf,Pass,Successful,63.1,25.6,78.1,4.6
16,351354,Donyell Malen,335,Netherlands,0,FirstHalf,Pass,Successful,76.8,3.1,83.4,3.7
17,322153,Denzel Dumfries,335,Netherlands,0,FirstHalf,Pass,Unsuccessful,84.9,3.4,100,15
4,431118,Aymen Dahmen,959,Tunisia,1,FirstHalf,Pass,Successful,4.4,55.6,75.9,98.4
5,551652,Hazem Mastouri,959,Tunisia,1,FirstHalf,Pass,Successful,90.8,86.2,88.7,53.2
6,413187,Ismaël Gharbi,959,Tunisia,1,FirstHalf,MissedShots,Successful,88.7,53.2,,
20,400138,Bart Verbruggen,335,Netherlands,1,FirstHalf,Pass,Successful,2.9,57.6,25.2,47.1
21,279423,Frenkie de Jong,335,Netherlands,1,FirstHalf,Pass,Successful,54.6,61.9,61.2,94.8
22,352825,Cody Gakpo,335,Netherlands,1,FirstHalf,Pass,Successful,63.5,92.4,56,78.4
23,122945,Nathan Aké,335,Netherlands,1,FirstHalf,Pass,Successful,55.2,74.1,57.4,45.6
24,363884,Ryan Gravenberch,335,Netherlands,1,FirstHalf,Pass,Successful,57.7,46.3,55.8,61.8
25,95408,Virgil van Dijk,335,Netherlands,1,FirstHalf,Pass,Successful,59.3,64.5,71.3,92.4
26,352825,Cody Gakpo,335,Netherlands,1,FirstHalf,Pass,Successful,71.8,84.3,62.9,73
27,95408,Virgil van Dijk,335,Netherlands,1,FirstHalf,Pass,Successful,63.8,70.2,73,91.3
28,122945,Nathan Aké,335,Netherlands,1,FirstHalf,Pass,Successful,75,90.7,66.5,77.5
29,95408,Virgil van Dijk,335,Netherlands,2,FirstHalf,Pass,Successful,66.7,76,66.8,43
30,279423,Frenkie de Jong,335,Netherlands,2,FirstHalf,Pass,Successful,65.9,36.7,69.6,11.5
31,322153,Denzel Dumfries,335,Netherlands,2,FirstHalf,Pass,Successful,69.4,10.9,64.8,23.4
32,279423,Frenkie de Jong,335,Netherlands,2,FirstHalf,Pass,Successful,65.7,24,60.5,58.3
33,365402,Jan Paul van Hecke,335,Netherlands,2,FirstHalf,Pass,Successful,64,55.2,68.1,34.9
34,279423,Frenkie de Jong,335,Netherlands,2,FirstHalf,Pass,Successful,68.3,34.3,81.9,50.8
35,404568,Brian Brobbey,335,Netherlands,2,FirstHalf,Pass,Successful,82.2,49.9,80.9,36.8
36,351354,Donyell Malen,335,Netherlands,2,FirstHalf,Pass,Successful,84.3,31.3,91.5,22.9
37,322153,Denzel Dumfries,335,Netherlands,2,FirstHalf,Pass,Unsuccessful,90.9,24.7,95.6,49.3
8,238903,Ellyes Skhiri,959,Tunisia,2,FirstHalf,Goal,Successful,4.6,49.8,,
24,110266,Rani Khedira,959,Tunisia,3,FirstHalf,Pass,Successful,50,50,38.9,50.6
32,238903,Ellyes Skhiri,959,Tunisia,3,FirstHalf,Pass,Successful,29.6,51.5,26,27.4
9,361797,Montassar Talbi,959,Tunisia,3,FirstHalf,Pass,Successful,30.1,23.5,37.2,6
10,323791,Yan Valery,959,Tunisia,3,FirstHalf,Pass,Successful,62.7,7.3,62,27.9
11,413187,Ismaël Gharbi,959,Tunisia,3,FirstHalf,Pass,Successful,62,27.9,41,25
12,361797,Montassar Talbi,959,Tunisia,3,FirstHalf,Pass,Successful,42.7,30.3,32.9,50.1
13,238903,Ellyes Skhiri,959,Tunisia,3,FirstHalf,Pass,Successful,33.5,53.2,32,93.1
14,431371,Mohamed Amine Ben Hmida,959,Tunisia,3,FirstHalf,Pass,Successful,32,93.1,64.8,89.8
15,551652,Hazem Mastouri,959,Tunisia,3,FirstHalf,Pass,Successful,64.8,89.8,73.4,98.2
16,416207,Hannibal Mejbri,959,Tunisia,3,FirstHalf,BallTouch,Unsuccessful,73.4,98.1,,
38,363884,Ryan Gravenberch,335,Netherlands,3,FirstHalf,BallRecovery,Successful,13,7.9,,
39,363884,Ryan Gravenberch,335,Netherlands,3,FirstHalf,BallTouch,Unsuccessful,15.9,2.2,,
20,232278,Ali Abdi,959,Tunisia,3,FirstHalf,Pass,Successful,80.7,100,97.4,97.3
21,416207,Hannibal Mejbri,959,Tunisia,3,FirstHalf,Pass,Successful,82.7,94.2,64.7,45.7
22,413187,Ismaël Gharbi,959,Tunisia,3,FirstHalf,Pass,Successful,65.6,44.5,76.2,9
23,323791,Yan Valery,959,Tunisia,4,FirstHalf,Pass,Successful,75,14.7,62.2,13.6
25,361797,Montassar Talbi,959,Tunisia,4,FirstHalf,Pass,Successful,62.2,13.6,69.7,39.3
26,110266,Rani Khedira,959,Tunisia,4,FirstHalf,Pass,Unsuccessful,69.7,39.3,81.1,29.4
41,122945,Nathan Aké,335,Netherlands,4,FirstHalf,Pass,Unsuccessful,20.3,70.9,32.2,67.6
27,110266,Rani Khedira,959,Tunisia,4,FirstHalf,Pass,Unsuccessful,69.2,38.8,92.3,22.3
42,122945,Nathan Aké,335,Netherlands,4,FirstHalf,Clearance,Successful,9.2,83.2,33.6,98.2
28,361797,Montassar Talbi,959,Tunisia,4,FirstHalf,BallTouch,Unsuccessful,69.2,3.1,,
44,122945,Nathan Aké,335,Netherlands,4,FirstHalf,Pass,Successful,32.2,100,23.2,81.4
45,95408,Virgil van Dijk,335,Netherlands,4,FirstHalf,Pass,Successful,31.9,69.7,35.9,37
46,365402,Jan Paul van Hecke,335,Netherlands,4,FirstHalf,Pass,Successful,41.9,34,65.7,6.4
47,322153,Denzel Dumfries,335,Netherlands,4,FirstHalf,Pass,Unsuccessful,71.1,4.5,95,43.9
