eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,339,Belgium,0,FirstHalf,Start,Successful,0,0,,
2,,,461,USA,0,FirstHalf,Start,Successful,0,0,,
3,113994,Leandro Trossard,339,Belgium,0,FirstHalf,Pass,Successful,50.1,50,29,54.3
4,129832,Brandon Mechele,339,Belgium,0,FirstHalf,Pass,Unsuccessful,31.1,49.9,73.9,27.4
3,85006,Tim Ream,461,USA,0,FirstHalf,Clearance,Successful,24.2,68.7,35.2,52.3
5,136345,Youri Tielemans,339,Belgium,0,FirstHalf,Pass,Unsuccessful,64.1,35.8,76.7,36.9
4,315275,Tyler Adams,461,USA,0,FirstHalf,Clearance,Successful,22.8,56,22.1,38.7
970,315275,Tyler Adams,461,USA,0,FirstHalf,Error,Successful,24.3,58.8,,
6,113994,Leandro Trossard,339,Belgium,0,FirstHalf,SavedShot,Successful,79.9,59.1,,
5,440159,Alex Freeman,461,USA,0,FirstHalf,Save,Successful,17.3,41,,
6,379205,Sergiño Dest,461,USA,0,FirstHalf,ShieldBallOpp,Successful,11,3.1,,
8,392647,Maxim De Cuyper,339,Belgium,0,FirstHalf,Pass,Unsuccessful,91.6,100,92.5,59.3
8,395401,Chris Richards,461,USA,0,FirstHalf,Clearance,Successful,9.9,34.8,16.4,36.4
9,302692,Christian Pulisic,461,USA,0,FirstHalf,Dispossessed,Successful,12.8,36.8,,
9,399999,Nicolas Raskin,339,Belgium,0,FirstHalf,Tackle,Successful,87.2,63.2,,
13,302692,Christian Pulisic,461,USA,0,FirstHalf,Error,Successful,11.9,41.7,,
10,136345,Youri Tielemans,339,Belgium,0,FirstHalf,SavedShot,Successful,80.9,50.5,,
10,306581,Antonee Robinson,461,USA,0,FirstHalf,Save,Successful,15,50.3,,
11,141169,Timothy Castagne,339,Belgium,0,FirstHalf,SavedShot,Successful,74.3,45.2,,
11,371610,Matt Freese,461,USA,0,FirstHalf,Save,Successful,1.6,47.8,,
12,141169,Timothy Castagne,339,Belgium,0,FirstHalf,CornerAwarded,Successful,89,48.8,,
12,371610,Matt Freese,461,USA,0,FirstHalf,CornerAwarded,Unsuccessful,11,51.2,,
13,392647,Maxim De Cuyper,339,Belgium,1,FirstHalf,Pass,Successful,99.5,99.5,89.3,45.4
15,386390,Charles De Ketelaere,339,Belgium,1,FirstHalf,Aerial,Successful,89.3,45.4,,
30,384065,Folarin Balogun,461,USA,1,FirstHalf,Aerial,Unsuccessful,10.7,54.6,,
14,386390,Charles De Ketelaere,339,Belgium,1,FirstHalf,SavedShot,Successful,89.3,45.4,,
14,371610,Matt Freese,461,USA,1,FirstHalf,Save,Successful,1.8,51.7,,
15,371610,Matt Freese,461,USA,1,FirstHalf,KeeperPickup,Successful,2.2,50.2,,
16,371610,Matt Freese,461,USA,1,FirstHalf,Pass,Successful,10.6,49.3,20,71.1
