eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,461,USA,0,FirstHalf,Start,Successful,0,0,,
2,,,417,Paraguay,0,FirstHalf,Start,Successful,0,0,,
3,384065,Folarin Balogun,461,USA,0,FirstHalf,Pass,Successful,49.7,49.8,46,53.7
4,397465,Malik Tillman,461,USA,0,FirstHalf,Pass,Unsuccessful,45.9,53.7,89.3,100
4,392316,Juan José Cáceres,417,Paraguay,0,FirstHalf,Pass,Unsuccessful,14.4,0,41.9,5.4
6,85006,Tim Ream,461,USA,0,FirstHalf,Pass,Unsuccessful,55.7,91.9,66.9,96.7
5,446133,Diego Gómez,417,Paraguay,0,FirstHalf,Pass,Unsuccessful,31.8,9.9,40.1,22.6
7,315275,Tyler Adams,461,USA,0,FirstHalf,Interception,Successful,59.9,77.4,,
8,384065,Folarin Balogun,461,USA,0,FirstHalf,Pass,Successful,70.7,71.4,64.5,56.5
9,379205,Sergiño Dest,461,USA,0,FirstHalf,TakeOn,Unsuccessful,65.2,59,,
6,202096,Júnior Alonso,417,Paraguay,0,FirstHalf,Tackle,Successful,34.8,41,,
7,417747,Julio Enciso,417,Paraguay,0,FirstHalf,Foul,Successful,44.8,42.4,,
10,315275,Tyler Adams,461,USA,0,FirstHalf,Foul,Unsuccessful,55.2,57.6,,
8,103383,Gustavo Gómez,417,Paraguay,1,FirstHalf,Pass,Successful,51.6,39,47.1,68.4
9,344639,Omar Alderete,417,Paraguay,1,FirstHalf,Pass,Successful,47.9,71.5,83.7,65.4
10,135057,Antonio Sanabria,417,Paraguay,1,FirstHalf,Pass,Successful,94.8,73.3,93.5,61.5
11,446133,Diego Gómez,417,Paraguay,1,FirstHalf,MissedShots,Successful,98.2,64.6,,
13,371610,Matt Freese,461,USA,1,FirstHalf,Save,Successful,0.5,45.4,,
12,392316,Juan José Cáceres,417,Paraguay,1,FirstHalf,Pass,Unsuccessful,92.8,15.9,92.5,47.1
11,395401,Chris Richards,461,USA,1,FirstHalf,Clearance,Successful,3.3,58.3,33.3,100
14,392316,Juan José Cáceres,417,Paraguay,1,FirstHalf,Pass,Unsuccessful,70.4,0,92.5,30.1
14,306581,Antonee Robinson,461,USA,1,FirstHalf,Clearance,Successful,9.6,70.6,20.8,83.2
15,303656,Andrés Cubas,417,Paraguay,1,FirstHalf,Pass,Unsuccessful,82,18.7,90.7,13.6
15,306581,Antonee Robinson,461,USA,1,FirstHalf,Aerial,Successful,9.3,86.4,,
16,446133,Diego Gómez,417,Paraguay,1,FirstHalf,Aerial,Unsuccessful,90.7,13.6,,
