eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,967,Uruguay,0,FirstHalf,Start,Successful,0,0,,
2,,,2555,Cabo Verde,0,FirstHalf,Start,Successful,0,0,,
3,421897,Gilson Benchimol,2555,Cabo Verde,0,FirstHalf,Pass,Successful,50.3,49.7,35.6,50.6
4,438902,Kevin Pina,2555,Cabo Verde,0,FirstHalf,Pass,Successful,35.1,51,25.4,63.6
5,235763,Diney Borges,2555,Cabo Verde,0,FirstHalf,Pass,Successful,34.9,69.3,53.6,61.1
6,395962,Telmo Arcanjo,2555,Cabo Verde,0,FirstHalf,Pass,Unsuccessful,55.4,68.7,65.4,74.1
3,303657,Rodrigo Bentancur,967,Uruguay,0,FirstHalf,Interception,Successful,34.6,25.9,,
5,448735,Sebastián Cáceres,967,Uruguay,0,FirstHalf,Clearance,Successful,29.4,37.5,35.2,40.5
6,347178,Mathías Olivera,967,Uruguay,0,FirstHalf,BallTouch,Successful,35.2,40.5,,
16,142431,Garry Rodrigues,2555,Cabo Verde,0,FirstHalf,BallTouch,Successful,71,56.5,,
7,408962,Manuel Ugarte,967,Uruguay,0,FirstHalf,Pass,Unsuccessful,36.9,36.9,56.8,42
8,430933,Pico Lopes,2555,Cabo Verde,0,FirstHalf,Pass,Successful,40.9,60.9,47,68.7
9,296684,Jamiro Monteiro,2555,Cabo Verde,0,FirstHalf,Pass,Successful,47,68.7,45.4,49.6
10,438902,Kevin Pina,2555,Cabo Verde,0,FirstHalf,Pass,Unsuccessful,45.4,49.6,57.1,6.1
8,403752,Juan Manuel Sanabria,967,Uruguay,0,FirstHalf,BallRecovery,Successful,36,92.7,,
9,403752,Juan Manuel Sanabria,967,Uruguay,0,FirstHalf,Pass,Unsuccessful,36,92.7,42.6,95.8
11,129648,Steven Moreira,2555,Cabo Verde,0,FirstHalf,BlockedPass,Successful,57.4,4.2,,
11,403752,Juan Manuel Sanabria,967,Uruguay,0,FirstHalf,Pass,Successful,39.1,100,20.5,93
12,347178,Mathías Olivera,967,Uruguay,0,FirstHalf,Pass,Successful,21.3,92.7,40.5,84.4
13,344644,Federico Valverde,967,Uruguay,0,FirstHalf,Pass,Unsuccessful,40.5,84.4,48.1,88.6
12,129648,Steven Moreira,2555,Cabo Verde,0,FirstHalf,BallRecovery,Successful,55.1,16.8,,
13,129648,Steven Moreira,2555,Cabo Verde,0,FirstHalf,Pass,Successful,55.1,16.8,54.1,33.1
14,296684,Jamiro Monteiro,2555,Cabo Verde,0,FirstHalf,Pass,Successful,54,34.9,39.6,54.9
15,235763,Diney Borges,2555,Cabo Verde,0,FirstHalf,Pass,Unsuccessful,39.6,54.9,63.4,62.4
14,448735,Sebastián Cáceres,967,Uruguay,0,FirstHalf,BallRecovery,Successful,30.7,33.7,,
15,448735,Sebastián Cáceres,967,Uruguay,0,FirstHalf,Pass,Successful,30.7,33.7,43.2,15.1
16,436657,Agustín Canobbio,967,Uruguay,0,FirstHalf,Pass,Successful,44.2,15.3,28.6,20.2
17,448735,Sebastián Cáceres,967,Uruguay,0,FirstHalf,Pass,Successful,27.6,21.1,37.8,33.6
18,408962,Manuel Ugarte,967,Uruguay,0,FirstHalf,Pass,Successful,37.6,46,35.1,64.2
19,347178,Mathías Olivera,967,Uruguay,0,FirstHalf,Pass,Successful,41.6,67.5,47.9,55.6
20,408962,Manuel Ugarte,967,Uruguay,1,FirstHalf,Pass,Successful,52.8,65.7,56.7,93.9
