eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,338,Spain,0,FirstHalf,Start,Successful,0,0,,
2,,,967,Uruguay,0,FirstHalf,Start,Successful,0,0,,
3,298839,Mikel Oyarzabal,338,Spain,0,FirstHalf,Pass,Successful,49.8,50.4,38.2,51.5
4,303139,Rodri,338,Spain,0,FirstHalf,Pass,Successful,47,66,39.8,28.9
5,498386,Pau Cubarsí,338,Spain,0,FirstHalf,Pass,Successful,39.3,28.1,41.7,7.4
6,254582,Marcos Llorente,338,Spain,0,FirstHalf,Pass,Successful,38.3,6.8,8.9,25
7,332823,Unai Simón,338,Spain,0,FirstHalf,Pass,Unsuccessful,8.5,24.7,37.4,0
4,403752,Juan Manuel Sanabria,967,Uruguay,0,FirstHalf,Pass,Unsuccessful,74.8,100,75.9,75
16,498386,Pau Cubarsí,338,Spain,0,FirstHalf,Aerial,Successful,24.1,25,,
5,400828,Darwin Núñez,967,Uruguay,0,FirstHalf,Aerial,Unsuccessful,75.9,75,,
9,498386,Pau Cubarsí,338,Spain,0,FirstHalf,Clearance,Successful,24.1,25,27,25.7
6,400828,Darwin Núñez,967,Uruguay,0,FirstHalf,BallTouch,Successful,76,74.7,,
10,298839,Mikel Oyarzabal,338,Spain,0,FirstHalf,BallRecovery,Successful,35.9,29.9,,
11,298839,Mikel Oyarzabal,338,Spain,0,FirstHalf,Pass,Successful,36.4,30.2,27.9,43.3
12,303139,Rodri,338,Spain,0,FirstHalf,Pass,Successful,27.9,49.9,27,71
13,363496,Marc Cucurella,338,Spain,0,FirstHalf,Pass,Successful,27.8,74.7,34.1,97.2
14,395242,Álex Baena,338,Spain,0,FirstHalf,BallTouch,Unsuccessful,34.1,97.2,,
8,145385,Guillermo Varela,967,Uruguay,0,FirstHalf,Pass,Successful,65.4,0,38.3,9
9,448735,Sebastián Cáceres,967,Uruguay,0,FirstHalf,Pass,Successful,35.6,10.2,13.2,31.6
10,30966,Fernando Muslera,967,Uruguay,0,FirstHalf,Pass,Successful,13.2,31.6,31.3,18.1
11,408962,Manuel Ugarte,967,Uruguay,0,FirstHalf,Pass,Successful,31.3,18.1,23.7,7.3
23,145385,Guillermo Varela,967,Uruguay,0,FirstHalf,Pass,Successful,67.4,0,37,18.8
12,448735,Sebastián Cáceres,967,Uruguay,0,FirstHalf,Pass,Successful,24.9,6.4,45.3,18.7
13,303657,Rodrigo Bentancur,967,Uruguay,0,FirstHalf,Pass,Unsuccessful,43.3,19.6,34.2,41.7
24,238916,Mikel Merino,338,Spain,0,FirstHalf,Interception,Successful,65.8,58.3,,
17,480249,Lamine Yamal,338,Spain,1,FirstHalf,TakeOn,Unsuccessful,69.3,49.2,,
14,347178,Mathías Olivera,967,Uruguay,1,FirstHalf,Tackle,Unsuccessful,30.6,50.8,,
19,480249,Lamine Yamal,338,Spain,1,FirstHalf,BallRecovery,Successful,74.6,60,,
18,480249,Lamine Yamal,338,Spain,1,FirstHalf,TakeOn,Successful,75.8,57.7,,
15,303657,Rodrigo Bentancur,967,Uruguay,1,FirstHalf,Challenge,Unsuccessful,24.2,42.3,,
20,480249,Lamine Yamal,338,Spain,1,FirstHalf,Pass,Successful,75.6,60.6,90.9,71.7
21,298839,Mikel Oyarzabal,338,Spain,1,FirstHalf,Pass,Unsuccessful,91,71.7,91.5,68
16,448735,Sebastián Cáceres,967,Uruguay,1,FirstHalf,BlockedPass,Successful,8.5,32,,
22,298839,Mikel Oyarzabal,338,Spain,1,FirstHalf,CornerAwarded,Successful,97.8,66.6,,
17,448735,Sebastián Cáceres,967,Uruguay,1,FirstHalf,CornerAwarded,Unsuccessful,2.3,33.4,,
23,395242,Álex Baena,338,Spain,1,FirstHalf,Pass,Unsuccessful,99.5,99.5,97.3,47.8
19,30966,Fernando Muslera,967,Uruguay,1,FirstHalf,Claim,Successful,2.7,52.2,,
20,30966,Fernando Muslera,967,Uruguay,1,FirstHalf,Pass,Unsuccessful,16,48,61.3,78.4
25,363496,Marc Cucurella,338,Spain,1,FirstHalf,Pass,Successful,41.5,19.7,48.5,32.9
26,498386,Pau Cubarsí,338,Spain,1,FirstHalf,Pass,Successful,48.5,32.9,62.4,14.9
27,303139,Rodri,338,Spain,1,FirstHalf,BallRecovery,Successful,64,14.3,,
28,303139,Rodri,338,Spain,2,FirstHalf,Pass,Successful,67.5,8.2,46.1,30.5
29,498386,Pau Cubarsí,338,Spain,2,FirstHalf,Pass,Successful,46.2,32.3,47.5,53.9
